Assembly_No,MyNeta_education,MLAs_var
15,10th Pass,15
15,12th Pass,34
15,5th Pass,4
15,8th Pass,10
15,Doctorate,6
15,Graduate,43
15,Graduate Professional,25
15,Illiterate,1
15,Literate,1
15,Others,2
15,Post Graduate,33
15,Unknown,1
14,10th Pass,22
14,12th Pass,25
14,5th Pass,4
14,8th Pass,7
14,Doctorate,3
14,Graduate,43
14,Graduate Professional,36
14,Literate,2
14,Others,4
14,Post Graduate,29
13,10th Pass,33
13,12th Pass,42
13,5th Pass,6
13,8th Pass,4
13,Doctorate,3
13,Graduate,74
13,Graduate Professional,42
13,Literate,2
13,Others,1
13,Post Graduate,41
13,Unknown,46
