Assembly_No,Total_Candidates,Contesting_Incumbents,Successful_Incumbents,Total_Seats,Turncoats,Successful_Turncoats,Recontesting_Candidates,First_Contests,Second_Contests,Multiple_Contests,No_first_time_winners,First_Contest_Winners,Year,Recontesting_Candidates_pct,First_Contests_pct,Second_Contests_pct,Multiple_Contests_pct,Contesting_Incumbents_pct,Successful_Incumbents_pct,No_first_time_winners_pct,First_Contest_Winners_pct,Incumbent_Strike_Rate,Turncoat_Strike_Rate
15,2118,130,52,175,108,28,385,1589,322,207,78,46,2019,18.18,75.02,15.2,9.77,74.29,29.71,44.57,26.29,40,25.93
14,2241,94,33,175,140,49,281,1858,223,160,107,76,2014,12.54,82.91,9.95,7.14,53.71,18.86,61.14,43.43,35.11,35
13,3655,106,47,294,70,16,203,3219,197,239,179,152,2009,5.55,88.07,5.39,6.54,36.05,15.99,60.88,51.7,44.34,22.86
12,1896,98,38,294,22,7,193,1629,100,167,224,195,2004,10.18,85.92,5.27,8.81,33.33,12.93,76.19,66.33,38.78,31.82
11,2104,183,101,294,44,9,390,1605,220,279,138,101,1999,18.54,76.28,10.46,13.26,62.24,34.35,46.94,34.35,55.19,20.45
10,3219,194,80,294,29,7,378,2657,273,289,155,120,1994,11.74,82.54,8.48,8.98,65.99,27.21,52.72,40.82,41.24,24.14
9,1704,166,90,294,25,13,293,1262,234,208,169,129,1989,17.19,74.06,13.73,12.21,56.46,30.61,57.48,43.88,54.22,52
8,1972,123,86,294,26,16,272,1608,225,139,188,139,1985,13.79,81.54,11.41,7.05,41.84,29.25,63.95,47.28,69.92,61.54
7,1720,171,46,294,52,8,304,1339,259,122,227,196,1983,17.67,77.85,15.06,7.09,58.16,15.65,77.21,66.67,26.9,15.38
6,1538,126,42,294,65,20,242,1220,230,88,233,203,1978,15.73,79.32,14.95,5.72,42.86,14.29,79.25,69.05,33.33,30.77
5,1013,26,15,287,21,6,44,850,154,9,235,201,1972,4.34,83.91,15.2,0.89,9.06,5.23,81.88,70.03,57.69,28.57
4,1067,19,11,287,2,0,32,1035,32,0,276,272,1967,3,97,3,0,6.62,3.83,96.17,94.77,57.89,0
3,988,0,0,300,0,0,0,988,0,0,300,300,1962,0,100,0,0,0,0,100,100,0,0
