State_Name,Year,Assembly_No,Constituency_No,Constituency_Name,Constituency_Type,Candidate,Party,Votes,Position,Vote_Share_Percentage,Last_Position,Last_Candidate,Position_Change,Vote_Share_Change_pct
Andhra_Pradesh,2019,15,1,ICHCHAPURAM,GEN,ASHOK BENDALAM,TDP,79992,1,46.39,1,ASHOK BENDALAM,0,-7.56
Andhra_Pradesh,2019,15,1,ICHCHAPURAM,GEN,PIRIYA SAIRAJ,YSRCP,72847,2,42.25,2,NARTU RAMA RAO,0,4.01
Andhra_Pradesh,2019,15,1,ICHCHAPURAM,GEN,DASARI RAJU,JnP,11123,3,6.45,,,,6.45
Andhra_Pradesh,2019,15,1,ICHCHAPURAM,GEN,NOTA,NOTA,3880,4,2.25,7,None of the Above,3,1.72
Andhra_Pradesh,2019,15,1,ICHCHAPURAM,GEN,ESWARA RAO KOLLI,INC,2138,5,1.24,3,AGARWAL NARESH (LALLU),-2,-2.85
Andhra_Pradesh,2019,15,1,ICHCHAPURAM,GEN,JANNALA SURYAVARA PRASADA RAO,BJP,1826,6,1.06,,,,1.06
Andhra_Pradesh,2019,15,2,PALASA,GEN,APPALARAJU SEEDIRI,YSRCP,76603,1,50.83,2,BABU RAO VAJJA,1,12.86
Andhra_Pradesh,2019,15,2,PALASA,GEN,GOUTHU SIREESHA,TDP,60356,2,40.05,1,GOUTHU SYAM SUNDER SIVAJI,-1,-10.69
Andhra_Pradesh,2019,15,2,PALASA,GEN,KOTHA PURNACHANDRA RAO,JnP,6133,3,4.07,,,,4.07
Andhra_Pradesh,2019,15,2,PALASA,GEN,NOTA,NOTA,3044,4,2.02,11,None of the Above,7,1.49
Andhra_Pradesh,2019,15,2,PALASA,GEN,KORRAYI BALAKRISHNA,BJP,1574,5,1.04,,,,1.04
Andhra_Pradesh,2019,15,2,PALASA,GEN,MAJJI SARADA,INC,1255,6,0.83,4,NAGESWARA RAO VANKA,-2,-0.53
Andhra_Pradesh,2019,15,2,PALASA,GEN,KAMESWARA RAO POTHANAPALLI,CPI(ML)(L),369,9,0.24,7,TAMADA SANYASI RAO,-2,-0.42
Andhra_Pradesh,2019,15,3,TEKKALI,GEN,ATCHANNAIDU KINJARAPU,TDP,87658,1,49.64,1,ATCHANNAIDU KINJARAPU,0,-0.96
Andhra_Pradesh,2019,15,3,TEKKALI,GEN,PERADA TILAK,YSRCP,79113,2,44.8,2,DUVVADA SRINIVAS,0,-0.58
Andhra_Pradesh,2019,15,3,TEKKALI,GEN,NOTA,NOTA,2935,3,1.66,6,None of the Above,3,1.12
Andhra_Pradesh,2019,15,3,TEKKALI,GEN,Kaniti Kiran Kumar,JnP,2806,4,1.59,,,,1.59
Andhra_Pradesh,2019,15,3,TEKKALI,GEN,Chintada Dileep Kumar,INC,1743,5,0.99,4,KILLI RAMMOHANA RAO,-1,-0.16
Andhra_Pradesh,2019,15,3,TEKKALI,GEN,HANUMANTHU UDAY BHASKAR,BJP,929,6,0.53,,,,0.53
Andhra_Pradesh,2019,15,3,TEKKALI,GEN,Chandrasekhara Patnaik,AIFB,216,9,0.12,,,,0.12
Andhra_Pradesh,2019,15,4,PATHAPATNAM,GEN,REDDY SHANTHI,YSRCP,76941,1,50.42,1,KALAMATA VENKATA RAMANA MURTHY,0,1.27
Andhra_Pradesh,2019,15,4,PATHAPATNAM,GEN,KALAMATA VENKATA RAMANA MURTHY,TDP,61390,2,40.23,2,SATRUCHARLA VIJAYA RAMA RAJU,0,-6.18
Andhra_Pradesh,2019,15,4,PATHAPATNAM,GEN,GEDELA GYANA SAGAR,JnP,5508,3,3.61,,,,3.61
Andhra_Pradesh,2019,15,4,PATHAPATNAM,GEN,NOTA,NOTA,4217,4,2.76,7,None of the Above,3,2.05
Andhra_Pradesh,2019,15,4,PATHAPATNAM,GEN,BANNA RAMU,INC,1702,5,1.12,3,PALAVALASA KARUNAKARA RAO,-2,0.05
Andhra_Pradesh,2019,15,4,PATHAPATNAM,GEN,RAGHAVA RAO SALANA,BJP,1450,6,0.95,,,,0.95
Andhra_Pradesh,2019,15,4,PATHAPATNAM,GEN,KANTUBHUKTA BHASKARA RAO,ACP,526,7,0.34,,,,0.34
Andhra_Pradesh,2019,15,5,SRIKAKULAM,GEN,DHARMANA PRASADA RAO,YSRCP,84084,1,47.43,2,DHARMANA PRASADA RAO,1,8.11
