State_Name,Year,Assembly_No,Party,Total_Cand,Winners,Deposit_Lost,Avg_Winning_Margin,Strike_Rate,position
Andhra_Pradesh,2019,15,JnP,137,1,121,0,0.73,3
Andhra_Pradesh,2019,15,TDP,175,23,1,0.88,13.14,2
Andhra_Pradesh,2019,15,YSRCP,175,151,0,11.49,86.29,1
Andhra_Pradesh,2014,14,BJP,13,4,4,3.86,30.77,4
Andhra_Pradesh,2014,14,IND,843,1,838,0.03,0.12,5
Andhra_Pradesh,2014,14,NPT,3,1,2,2.23,33.33,3
Andhra_Pradesh,2014,14,TDP,165,102,1,5.24,61.82,1
Andhra_Pradesh,2014,14,YSRCP,174,67,0,2.9,38.51,2
Andhra_Pradesh,2009,13,AIMIM,8,7,1,19.77,87.5,1
Andhra_Pradesh,2009,13,BJP,271,2,263,0.13,0.74,8
Andhra_Pradesh,2009,13,CPI,14,4,4,1.64,28.57,4
Andhra_Pradesh,2009,13,CPM,18,1,6,0.16,5.56,7
Andhra_Pradesh,2009,13,INC,293,156,8,3.72,53.24,2
Andhra_Pradesh,2009,13,IND,1407,3,1392,0.01,0.21,10
Andhra_Pradesh,2009,13,LSP,246,1,245,0.03,0.41,9
Andhra_Pradesh,2009,13,PRAP,288,18,165,0.28,6.25,6
Andhra_Pradesh,2009,13,TDP,225,92,6,3.29,40.89,3
Andhra_Pradesh,2009,13,TRS,45,10,13,2.89,22.22,5
Andhra_Pradesh,2004,12,AIMIM,7,4,2,17.44,57.14,3
Andhra_Pradesh,2004,12,BJP,27,2,4,1.78,7.41,7
Andhra_Pradesh,2004,12,BSP,160,1,159,0.04,0.62,11
Andhra_Pradesh,2004,12,CPI,12,6,0,7.3,50.0,4
Andhra_Pradesh,2004,12,CPM,14,9,3,6.64,64.29,2
Andhra_Pradesh,2004,12,INC,234,185,8,10.35,79.06,1
Andhra_Pradesh,2004,12,IND,872,11,837,0.06,1.26,10
Andhra_Pradesh,2004,12,JP,37,2,30,0.25,5.41,8
Andhra_Pradesh,2004,12,SP,19,1,18,1.42,5.26,9
Andhra_Pradesh,2004,12,TDP,267,47,3,1.5,17.6,6
Andhra_Pradesh,2004,12,TRS,54,26,17,8.06,48.15,5
Andhra_Pradesh,1999,11,AIMIM,5,4,0,17.09,80.0,1
Andhra_Pradesh,1999,11,BJP,24,12,0,6.6,50.0,3
Andhra_Pradesh,1999,11,CPM,48,2,38,0.2,4.17,5
Andhra_Pradesh,1999,11,INC,293,91,11,2.44,31.06,4
