Assembly_No,TCPD_Prof_Main,MLAs_var
15,Agriculture,34
15,Business,74
15,Education,1
15,Former Government,2
15,Labourer or Daily Wage,1
15,Liberal Profession or Professional,12
15,Other,7
15,Politics,26
15,Retired or Pension,3
15,Salaried Work or Employed,8
15,Small Business or Self-employed,2
15,Social Work,4
15,Unknown,1
14,Agriculture,44
14,Business,61
14,Education,1
14,Former Government,1
14,Liberal Profession or Professional,17
14,Other,7
14,Politics,23
14,Retired or Pension,5
14,Salaried Work or Employed,4
14,Small Business or Self-employed,1
14,Social Work,10
14,Student,1
13,Other,264
13,Unknown,30
