Assembly_No,Party_ID,MyNeta_education,MLAs_var_Party,Party_MLAs,Year,Party,pty_mla_var_perc
15,17069,10th Pass,1,1,2019,JnP,100
15,8300,12th Pass,3,23,2019,TDP,13.04
15,8300,Doctorate,1,23,2019,TDP,4.35
15,8300,Graduate,9,23,2019,TDP,39.13
15,8300,Graduate Professional,4,23,2019,TDP,17.39
15,8300,Others,1,23,2019,TDP,4.35
15,8300,Post Graduate,4,23,2019,TDP,17.39
15,8300,Unknown,1,23,2019,TDP,4.35
15,8615,10th Pass,14,151,2019,YSRCP,9.27
15,8615,12th Pass,31,151,2019,YSRCP,20.53
15,8615,5th Pass,4,151,2019,YSRCP,2.65
15,8615,8th Pass,10,151,2019,YSRCP,6.62
15,8615,Doctorate,5,151,2019,YSRCP,3.31
15,8615,Graduate,34,151,2019,YSRCP,22.52
15,8615,Graduate Professional,21,151,2019,YSRCP,13.91
15,8615,Illiterate,1,151,2019,YSRCP,0.66
15,8615,Literate,1,151,2019,YSRCP,0.66
15,8615,Others,1,151,2019,YSRCP,0.66
15,8615,Post Graduate,29,151,2019,YSRCP,19.21
14,1605,12th Pass,1,4,2014,BJP,25
14,1605,Graduate,1,4,2014,BJP,25
14,1605,Post Graduate,2,4,2014,BJP,50
14,10809,12th Pass,1,1,2014,IND,100
14,5841,Graduate,1,1,2014,NPT,100
14,8300,10th Pass,15,102,2014,TDP,14.71
14,8300,12th Pass,15,102,2014,TDP,14.71
14,8300,5th Pass,2,102,2014,TDP,1.96
14,8300,8th Pass,3,102,2014,TDP,2.94
14,8300,Doctorate,2,102,2014,TDP,1.96
14,8300,Graduate,24,102,2014,TDP,23.53
14,8300,Graduate Professional,19,102,2014,TDP,18.63
14,8300,Literate,2,102,2014,TDP,1.96
14,8300,Others,4,102,2014,TDP,3.92
14,8300,Post Graduate,16,102,2014,TDP,15.69
14,8615,10th Pass,7,67,2014,YSRCP,10.45
14,8615,12th Pass,8,67,2014,YSRCP,11.94
14,8615,5th Pass,2,67,2014,YSRCP,2.99
14,8615,8th Pass,4,67,2014,YSRCP,5.97
14,8615,Doctorate,1,67,2014,YSRCP,1.49
14,8615,Graduate,17,67,2014,YSRCP,25.37
14,8615,Graduate Professional,17,67,2014,YSRCP,25.37
14,8615,Post Graduate,11,67,2014,YSRCP,16.42
13,706,10th Pass,1,7,2009,AIMIM,14.29
13,706,12th Pass,2,7,2009,AIMIM,28.57
13,706,Graduate,1,7,2009,AIMIM,14.29
13,706,Unknown,3,7,2009,AIMIM,42.86
13,1605,10th Pass,1,2,2009,BJP,50
13,1605,Graduate,1,2,2009,BJP,50
13,2444,Graduate,1,4,2009,CPI,25
13,2444,Graduate Professional,1,4,2009,CPI,25
13,2444,Unknown,2,4,2009,CPI,50
13,14635,10th Pass,1,1,2009,CPM,100
13,3482,10th Pass,19,156,2009,INC,12.18
13,3482,12th Pass,21,156,2009,INC,13.46
13,3482,5th Pass,1,156,2009,INC,0.64
13,3482,8th Pass,3,156,2009,INC,1.92
13,3482,Doctorate,1,156,2009,INC,0.64
13,3482,Graduate,35,156,2009,INC,22.44
13,3482,Graduate Professional,25,156,2009,INC,16.03
13,3482,Post Graduate,27,156,2009,INC,17.31
13,3482,Unknown,24,156,2009,INC,15.38
13,10809,10th Pass,1,3,2009,IND,33.33
13,10809,Unknown,2,3,2009,IND,66.67
13,5107,Unknown,1,1,2009,LSP,100
13,6132,10th Pass,2,18,2009,PRAP,11.11
13,6132,12th Pass,3,18,2009,PRAP,16.67
13,6132,5th Pass,1,18,2009,PRAP,5.56
13,6132,Graduate,5,18,2009,PRAP,27.78
13,6132,Graduate Professional,1,18,2009,PRAP,5.56
13,6132,Post Graduate,2,18,2009,PRAP,11.11
13,6132,Unknown,4,18,2009,PRAP,22.22
13,8300,10th Pass,7,92,2009,TDP,7.61
13,8300,12th Pass,16,92,2009,TDP,17.39
13,8300,5th Pass,3,92,2009,TDP,3.26
13,8300,8th Pass,1,92,2009,TDP,1.09
13,8300,Doctorate,2,92,2009,TDP,2.17
13,8300,Graduate,24,92,2009,TDP,26.09
13,8300,Graduate Professional,15,92,2009,TDP,16.3
13,8300,Literate,2,92,2009,TDP,2.17
13,8300,Others,1,92,2009,TDP,1.09
13,8300,Post Graduate,11,92,2009,TDP,11.96
13,8300,Unknown,10,92,2009,TDP,10.87
13,8284,10th Pass,1,10,2009,TRS,10
13,8284,5th Pass,1,10,2009,TRS,10
13,8284,Graduate,7,10,2009,TRS,70
13,8284,Post Graduate,1,10,2009,TRS,10
