Assembly_No,Total_Candidates,No_Incumbents,Successful_Incumbents,Total_Seats,Turncoats,Successful_Turncoats,No_Recontests,First_contests,Second_contests,Multiple_contests,No_first_time_winners,First_Contest_winners,Year,Party_ID,pty_Total_Candidates,pty_Incumbents,pty_Turncoats,pty_Recontests,pty_First_contests,pty_Second_contests,pty_Multiple_contests,pty_first_time_winners,pty_First_Contest_winners,pty_Successful_Incumbents,pty_Successful_Turncoats,Party,pty_recontests_pct,Color,pty_incm_recontests_pct,hover_pty_incm_recontests_pct,pty_incm_Strike_Rate,hover_pty_incm_Strike_Rate,pty_turn_Strike_Rate,hover_pty_turn_Strike_Rate,pty_fist_time_winners_pct
15,2118,130,52,175,108,28,385,1589,322,207,78,46,2019,17074,4,0,0,0,4,0,0,0,0,0,0,ACP,0,,0,0 (0.0%),nan,nan% (0/0),nan,nan% (0/0),0
15,2118,130,52,175,108,28,385,1589,322,207,78,46,2019,107,1,0,0,0,1,0,0,0,0,0,0,AHNP,0,,0,0 (0.0%),nan,nan% (0/0),nan,nan% (0/0),0
15,2118,130,52,175,108,28,385,1589,322,207,78,46,2019,3040,13,0,3,2,7,6,0,0,0,0,0,AIFB,0.52,#DA0000,0,0 (0.0%),nan,nan% (0/0),0,0.0% (0/3),0
15,2118,130,52,175,108,28,385,1589,322,207,78,46,2019,18180,6,0,0,0,6,0,0,0,0,0,0,AINPP,0,,0,0 (0.0%),nan,nan% (0/0),nan,nan% (0/0),0
15,2118,130,52,175,108,28,385,1589,322,207,78,46,2019,17268,1,0,0,0,1,0,0,0,0,0,0,AIP,0,,0,0 (0.0%),nan,nan% (0/0),nan,nan% (0/0),0
15,2118,130,52,175,108,28,385,1589,322,207,78,46,2019,840,8,0,0,0,7,1,0,0,0,0,0,ANC,0,,0,0 (0.0%),nan,nan% (0/0),nan,nan% (0/0),0
15,2118,130,52,175,108,28,385,1589,322,207,78,46,2019,880,1,0,0,0,1,0,0,0,0,0,0,APoI,0,,0,0 (0.0%),nan,nan% (0/0),nan,nan% (0/0),0
15,2118,130,52,175,108,28,385,1589,322,207,78,46,2019,927,1,0,0,0,1,0,0,0,0,0,0,ARPS,0,,0,0 (0.0%),nan,nan% (0/0),nan,nan% (0/0),0
15,2118,130,52,175,108,28,385,1589,322,207,78,46,2019,932,9,0,0,2,7,2,0,0,0,0,0,AYSRCP,0.52,,0,0 (0.0%),nan,nan% (0/0),nan,nan% (0/0),0
15,2118,130,52,175,108,28,385,1589,322,207,78,46,2019,816,1,0,0,0,1,0,0,0,0,0,0,AlPP,0,,0,0 (0.0%),nan,nan% (0/0),nan,nan% (0/0),0
15,2118,130,52,175,108,28,385,1589,322,207,78,46,2019,677,1,0,0,0,1,0,0,0,0,0,0,AllJP,0,,0,0 (0.0%),nan,nan% (0/0),nan,nan% (0/0),0
15,2118,130,52,175,108,28,385,1589,322,207,78,46,2019,1031,7,0,0,0,6,1,0,0,0,0,0,BCUF,0,,0,0 (0.0%),nan,nan% (0/0),nan,nan% (0/0),0
15,2118,130,52,175,108,28,385,1589,322,207,78,46,2019,1605,173,2,8,12,143,24,6,0,0,0,0,BJP,3.12,#ff9933,1.54,2 (1.54%),0,0.0% (0/2),0,0.0% (0/8),0
15,2118,130,52,175,108,28,385,1589,322,207,78,46,2019,16651,21,0,1,2,17,2,2,0,0,0,0,BSP,0.52,#003399,0,0 (0.0%),nan,nan% (0/0),0,0.0% (0/1),0
15,2118,130,52,175,108,28,385,1589,322,207,78,46,2019,2444,7,0,0,2,5,1,1,0,0,0,0,CPI,0.52,#ff3300,0,0 (0.0%),nan,nan% (0/0),nan,nan% (0/0),0
15,2118,130,52,175,108,28,385,1589,322,207,78,46,2019,2472,8,0,0,1,7,0,1,0,0,0,0,CPI(ML)(L),0.26,#9c6f73,0,0 (0.0%),nan,nan% (0/0),nan,nan% (0/0),0
15,2118,130,52,175,108,28,385,1589,322,207,78,46,2019,2560,3,0,0,1,2,0,1,0,0,0,0,CPIM,0.26,#cc434f,0,0 (0.0%),nan,nan% (0/0),nan,nan% (0/0),0
15,2118,130,52,175,108,28,385,1589,322,207,78,46,2019,14635,7,0,0,3,2,2,3,0,0,0,0,CPM,0.78,#991f00,0,0 (0.0%),nan,nan% (0/0),nan,nan% (0/0),0
15,2118,130,52,175,108,28,385,1589,322,207,78,46,2019,2895,12,0,0,1,10,1,1,0,0,0,0,DABAP,0.26,,0,0 (0.0%),nan,nan% (0/0),nan,nan% (0/0),0
15,2118,130,52,175,108,28,385,1589,322,207,78,46,2019,18201,2,0,0,0,2,0,0,0,0,0,0,HMRD,0,,0,0 (0.0%),nan,nan% (0/0),nan,nan% (0/0),0
15,2118,130,52,175,108,28,385,1589,322,207,78,46,2019,3340,1,0,0,0,1,0,0,0,0,0,0,ICF,0,,0,0 (0.0%),nan,nan% (0/0),nan,nan% (0/0),0
15,2118,130,52,175,108,28,385,1589,322,207,78,46,2019,3457,11,0,1,2,9,2,0,0,0,0,0,ILP(AP),0.52,,0,0 (0.0%),nan,nan% (0/0),0,0.0% (0/1),0
