Assembly_No,Party_ID,TCPD_Prof_Main,MLAs_var_Party,Party_MLAs,Year,Party,pty_mla_var_perc
15,17069,Agriculture,1,1,2019,JnP,100
15,8300,Agriculture,3,23,2019,TDP,13.04
15,8300,Business,11,23,2019,TDP,47.83
15,8300,Liberal Profession or Professional,2,23,2019,TDP,8.7
15,8300,Politics,6,23,2019,TDP,26.09
15,8300,Unknown,1,23,2019,TDP,4.35
15,8615,Agriculture,30,151,2019,YSRCP,19.87
15,8615,Business,63,151,2019,YSRCP,41.72
15,8615,Education,1,151,2019,YSRCP,0.66
15,8615,Former Government,2,151,2019,YSRCP,1.32
15,8615,Labourer or Daily Wage,1,151,2019,YSRCP,0.66
15,8615,Liberal Profession or Professional,10,151,2019,YSRCP,6.62
15,8615,Other,7,151,2019,YSRCP,4.64
15,8615,Politics,20,151,2019,YSRCP,13.25
15,8615,Retired or Pension,3,151,2019,YSRCP,1.99
15,8615,Salaried Work or Employed,8,151,2019,YSRCP,5.3
15,8615,Small Business or Self-employed,2,151,2019,YSRCP,1.32
15,8615,Social Work,4,151,2019,YSRCP,2.65
14,1605,Agriculture,2,4,2014,BJP,50
14,1605,Business,2,4,2014,BJP,50
14,10809,Agriculture,1,1,2014,IND,100
14,5841,Business,1,1,2014,NPT,100
14,8300,Agriculture,24,102,2014,TDP,23.53
14,8300,Business,42,102,2014,TDP,41.18
14,8300,Education,1,102,2014,TDP,0.98
14,8300,Former Government,1,102,2014,TDP,0.98
14,8300,Liberal Profession or Professional,7,102,2014,TDP,6.86
14,8300,Other,2,102,2014,TDP,1.96
14,8300,Politics,12,102,2014,TDP,11.76
14,8300,Retired or Pension,2,102,2014,TDP,1.96
14,8300,Salaried Work or Employed,3,102,2014,TDP,2.94
14,8300,Small Business or Self-employed,1,102,2014,TDP,0.98
14,8300,Social Work,6,102,2014,TDP,5.88
14,8300,Student,1,102,2014,TDP,0.98
14,8615,Agriculture,17,67,2014,YSRCP,25.37
14,8615,Business,16,67,2014,YSRCP,23.88
14,8615,Liberal Profession or Professional,10,67,2014,YSRCP,14.93
14,8615,Other,5,67,2014,YSRCP,7.46
14,8615,Politics,11,67,2014,YSRCP,16.42
14,8615,Retired or Pension,3,67,2014,YSRCP,4.48
14,8615,Salaried Work or Employed,1,67,2014,YSRCP,1.49
14,8615,Social Work,4,67,2014,YSRCP,5.97
13,706,Other,5,7,2009,AIMIM,71.43
13,706,Unknown,2,7,2009,AIMIM,28.57
13,1605,Other,2,2,2009,BJP,100
13,2444,Other,4,4,2009,CPI,100
13,14635,Other,1,1,2009,CPM,100
13,3482,Other,138,156,2009,INC,88.46
13,3482,Unknown,18,156,2009,INC,11.54
13,10809,Other,1,3,2009,IND,33.33
13,10809,Unknown,2,3,2009,IND,66.67
13,5107,Unknown,1,1,2009,LSP,100
13,6132,Other,15,18,2009,PRAP,83.33
13,6132,Unknown,3,18,2009,PRAP,16.67
13,8300,Other,88,92,2009,TDP,95.65
13,8300,Unknown,4,92,2009,TDP,4.35
13,8284,Other,10,10,2009,TRS,100
