Assembly_No,MyNeta_education,MLAs_var
10,10th Pass,7
10,12th Pass,12
10,5th Pass,1
10,8th Pass,1
10,Graduate,24
10,Graduate Professional,8
10,Illiterate,1
10,Literate,1
10,Post Graduate,5
9,10th Pass,8
9,12th Pass,8
9,8th Pass,2
9,Graduate,27
9,Graduate Professional,11
9,Illiterate,1
9,Literate,2
9,Post Graduate,1
8,10th Pass,11
8,12th Pass,9
8,5th Pass,1
8,8th Pass,1
8,Graduate,19
8,Graduate Professional,9
8,Literate,2
8,Others,2
8,Post Graduate,1
8,Unknown,5
7,10th Pass,9
7,12th Pass,7
7,5th Pass,1
7,8th Pass,1
7,Graduate,22
7,Graduate Professional,4
7,Post Graduate,4
7,Unknown,9
