Assembly_No,Total_Candidates,Contesting_Incumbents,Successful_Incumbents,Total_Seats,Turncoats,Successful_Turncoats,Recontesting_Candidates,First_Contests,Second_Contests,Multiple_Contests,No_first_time_winners,First_Contest_Winners,Year,Recontesting_Candidates_pct,First_Contests_pct,Second_Contests_pct,Multiple_Contests_pct,Contesting_Incumbents_pct,Successful_Incumbents_pct,No_first_time_winners_pct,First_Contest_Winners_pct,Incumbent_Strike_Rate,Turncoat_Strike_Rate
10,184,50,33,60,51,26,72,92,36,56,22,17,2019,39.13,50,19.57,30.43,83.33,55,36.67,28.33,66,50.98
9,155,54,36,60,31,13,78,68,31,56,19,17,2014,50.32,43.87,20,36.13,90,60,31.67,28.33,66.67,41.94
8,157,53,32,60,35,11,81,65,18,74,21,15,2009,51.59,41.4,11.46,47.13,88.33,53.33,35,25,60.38,31.43
7,165,53,24,57,20,10,95,56,37,72,26,8,2004,57.58,33.94,22.42,43.64,92.98,42.11,45.61,14.04,45.28,50
6,171,53,31,59,36,14,90,72,38,61,19,12,1999,52.63,42.11,22.22,35.67,89.83,52.54,32.2,20.34,58.49,38.89
5,173,54,27,60,16,7,87,80,48,45,28,16,1995,50.29,46.24,27.75,26.01,90,45,46.67,26.67,50,43.75
4,170,27,17,60,20,8,60,94,33,43,35,25,1990,35.29,55.29,19.41,25.29,45,28.33,58.33,41.67,62.96,40
3,115,22,15,30,11,7,43,69,14,32,11,8,1984,37.39,60,12.17,27.83,73.33,50,36.67,26.67,68.18,63.64
2,95,24,11,30,13,7,51,44,51,0,19,9,1980,53.68,46.32,53.68,0,80,36.67,63.33,30,45.83,53.85
1,86,0,0,30,0,0,0,86,0,0,30,30,1978,0,100,0,0,0,0,100,100,0,0
