State_Name,Year,Assembly_No,Party,Total_Seats_in_Assembly,Total_Votes_in_Assembly,Total_Votes_in_Contested_Seats,Total_Candidates,Winners,Deposits_Lost,Strike_Rate,Seat_Share,Vote_Share_in_Assembly,Vote_Share_in_Contested_Seats,position,Expanded_Party_Name
Arunachal_Pradesh,2019,10,AIP,60,620428,16228,1,0,1,0.0,0,0.04,1.43,7,
Arunachal_Pradesh,2019,10,BJP,60,620428,620428,60,41,0,68.33333333333333,68.33,50.86,50.86,1,BHARATIYA JANTA PARTY
Arunachal_Pradesh,2019,10,INC,60,620428,518798,46,4,22,8.695652173913043,6.67,16.85,20.15,4,INDIAN NATIONAL CONGRESS
Arunachal_Pradesh,2019,10,IND,60,620428,620428,11,2,8,18.181818181818183,3.33,2.99,2.99,5,INDEPENDENT
Arunachal_Pradesh,2019,10,JD(S),60,620428,161206,12,0,9,0.0,0,2.16,8.3,8,
Arunachal_Pradesh,2019,10,JD(U),60,620428,178058,15,7,4,46.666666666666664,11.67,9.88,34.44,2,
Arunachal_Pradesh,2019,10,NOTA,60,620428,620428,60,0,0,0.0,0,0.94,0.94,9,
Arunachal_Pradesh,2019,10,NPEP,60,620428,335498,30,5,8,16.666666666666668,8.33,14.56,26.93,3,
Arunachal_Pradesh,2019,10,PPA,60,620428,110084,9,1,6,11.11111111111111,1.67,1.73,9.73,6,PEOPLE'S PARTY OF ARUNACHAL
Arunachal_Pradesh,2014,9,AAAP,60,508272,8596,1,0,1,0.0,0,0.03,1.65,5,
Arunachal_Pradesh,2014,9,BJP,60,508272,447676,42,11,8,26.19047619047619,18.33,30.97,35.16,2,BHARATIYA JANTA PARTY
Arunachal_Pradesh,2014,9,INC,60,508272,508272,60,42,0,70.0,70,49.5,49.5,1,INDIAN NATIONAL CONGRESS
Arunachal_Pradesh,2014,9,IND,60,508272,508272,16,2,10,12.5,3.33,4.92,4.92,4,INDEPENDENT
Arunachal_Pradesh,2014,9,NCP,60,508272,92341,9,0,4,0.0,0,3.84,21.12,6,NATIONALIST CONGRESS PARTY
Arunachal_Pradesh,2014,9,NOTA,60,508272,508272,60,0,0,0.0,0,1.05,1.05,7,
