State_Name,Year,Assembly_No,Constituency_No,Constituency_Name,Constituency_Type,Candidate,Party,Votes,Position,Vote_Share_Percentage,Last_Position,Last_Candidate,Position_Change,Vote_Share_Change_pct
Arunachal_Pradesh,2019,10,1,LUMLA,ST,JAMBEY TASHI,BJP,4567,1,57.15,,,,57.15
Arunachal_Pradesh,2019,10,1,LUMLA,ST,JAMPA THIRNLY KUNKHAP,NPEP,3279,2,41.03,,,,41.03
Arunachal_Pradesh,2019,10,1,LUMLA,ST,NOTA,NOTA,145,3,1.81,3,None of the Above,0,-0.12
Arunachal_Pradesh,2019,10,2,TAWANG,ST,TSERING TASHI,BJP,5547,1,72.77,,,,72.77
Arunachal_Pradesh,2019,10,2,TAWANG,ST,THUPTEN TEMPA,INC,1955,2,25.65,2,TSEWANG DHONDUP,0,8.48
Arunachal_Pradesh,2019,10,2,TAWANG,ST,NOTA,NOTA,121,3,1.59,3,None of the Above,0,-0.57
Arunachal_Pradesh,2019,10,3,MUKTO,ST,Pema Khandu,BJP,4304,1,70.74,,,,70.74
Arunachal_Pradesh,2019,10,3,MUKTO,ST,Thupten Kunphen,INC,1685,2,27.7,1,PEMAKHANDU,-1,-72.3
Arunachal_Pradesh,2019,10,3,MUKTO,ST,NOTA,NOTA,95,3,1.56,2,None of the Above,-1,nan
Arunachal_Pradesh,2019,10,4,DIRANG,ST,Shri Phurpa Tsering,BJP,0,1,100,,,,100
Arunachal_Pradesh,2019,10,4,DIRANG,ST,NOTA,NOTA,0,2,nan,2,None of the Above,0,nan
Arunachal_Pradesh,2019,10,5,KALAKTANG,ST,SHRI DORJEE WANGDI KHARMA,JD(U),5026,1,59.88,,,,59.88
Arunachal_Pradesh,2019,10,5,KALAKTANG,ST,SHRI TENZING NORBU THONGDOK,BJP,3254,2,38.77,3,DORJEEKHANDUTHONGON,1,33.75
Arunachal_Pradesh,2019,10,5,KALAKTANG,ST,NOTA,NOTA,113,3,1.35,4,None of the Above,1,0.65
Arunachal_Pradesh,2019,10,6,THRIZINO-BURAGAON,ST,KUMSI SIDISOW,BJP,8772,1,83.28,2,GANDHI SAKRINSOW,1,57.73
Arunachal_Pradesh,2019,10,6,THRIZINO-BURAGAON,ST,KALO DUSUSOW,INC,1637,2,15.54,1,KUMSI SIDISOW,-1,-56.57
Arunachal_Pradesh,2019,10,6,THRIZINO-BURAGAON,ST,NOTA,NOTA,124,3,1.18,3,None of the Above,0,-1.16
Arunachal_Pradesh,2019,10,7,BOMDILA,ST,Shri Dongru Siongju,JD(U),2994,1,37.15,,,,37.15
Arunachal_Pradesh,2019,10,7,BOMDILA,ST,Shri Japu Deru,BJP,2761,2,34.26,1,JAPU DERU,-1,-18.95
Arunachal_Pradesh,2019,10,7,BOMDILA,ST,Shri Aju Khonjuju,NPEP,1652,3,20.5,,,,20.5
Arunachal_Pradesh,2019,10,7,BOMDILA,ST,Shri R.T. Khunjuju,INC,547,4,6.79,2,R.T.KHUNJUJU,-2,-38.04
Arunachal_Pradesh,2019,10,7,BOMDILA,ST,NOTA,NOTA,105,5,1.3,3,None of the Above,-2,-0.66
Arunachal_Pradesh,2019,10,8,BAMENG,ST,GORUK PORDUNG,BJP,5043,1,51.6,2,VIJAY SONAM,1,13.48
Arunachal_Pradesh,2019,10,8,BAMENG,ST,KUMAR WAII,NPEP,4650,2,47.58,,,,47.58
Arunachal_Pradesh,2019,10,8,BAMENG,ST,NOTA,NOTA,81,3,0.83,4,None of the Above,1,0.03
Arunachal_Pradesh,2019,10,9,CHAYANG TAJO,ST,HAYENG MANGFI,JD(U),5435,1,52.46,,,,52.46
Arunachal_Pradesh,2019,10,9,CHAYANG TAJO,ST,LACHING KACHA YANGFO,BJP,4801,2,46.34,2,L.K. YANGFO,0,2.13
Arunachal_Pradesh,2019,10,9,CHAYANG TAJO,ST,JORO DOKA,INC,82,3,0.79,1,KARYABAGANG,-2,-48.1
Arunachal_Pradesh,2019,10,9,CHAYANG TAJO,ST,NOTA,NOTA,43,4,0.42,4,None of the Above,0,-0.46
Arunachal_Pradesh,2019,10,10,SEPPA EAST,ST,TAPUK TAKU,NPEP,4184,1,49.83,,,,49.83
Arunachal_Pradesh,2019,10,10,SEPPA EAST,ST,EALING TALLANG,BJP,4155,2,49.48,2,LELUNGLINGFA,0,18.38
Arunachal_Pradesh,2019,10,10,SEPPA EAST,ST,NOTA,NOTA,58,3,0.69,3,None of the Above,0,-0.72
Arunachal_Pradesh,2019,10,11,SEPPA WEST,ST,MAMA NATUNG,BJP,4059,1,60.86,,,,60.86
Arunachal_Pradesh,2019,10,11,SEPPA WEST,ST,TANI LOFFA,JD(U),2505,2,37.56,,,,37.56
Arunachal_Pradesh,2019,10,11,SEPPA WEST,ST,SORSOMI DEGIO,INC,54,3,0.81,1,MAMA NATUNG,-2,-99.19
Arunachal_Pradesh,2019,10,11,SEPPA WEST,ST,NOTA,NOTA,51,4,0.76,2,None of the Above,-2,nan
Arunachal_Pradesh,2019,10,12,PAKKE KESSANG,ST,BIYURAM WAHGE,BJP,4506,1,65.49,,,,65.49
Arunachal_Pradesh,2019,10,12,PAKKE KESSANG,ST,ATUM WELLY,INC,2284,2,33.2,1,KAMENGDOLO,-1,-66.8
Arunachal_Pradesh,2019,10,12,PAKKE KESSANG,ST,NOTA,NOTA,90,3,1.31,2,None of the Above,-1,nan
Arunachal_Pradesh,2019,10,13,ITANAGAR,ST,Techi Kaso,JD(U),12162,1,44.3,,,,44.3
Arunachal_Pradesh,2019,10,13,ITANAGAR,ST,Kipa Babu,BJP,11860,2,43.2,2,TAMEPHASSANG,0,2.12
Arunachal_Pradesh,2019,10,13,ITANAGAR,ST,Yumlam Achung,INC,2173,3,7.92,1,TECHI KASO,-2,-47.42
Arunachal_Pradesh,2019,10,13,ITANAGAR,ST,Taba Thomas,JD(S),695,4,2.53,,,,2.53
Arunachal_Pradesh,2019,10,13,ITANAGAR,ST,Techi Tolu Tara,NPEP,285,5,1.04,,,,1.04
Arunachal_Pradesh,2019,10,13,ITANAGAR,ST,NOTA,NOTA,276,6,1.01,4,None of the Above,-2,-0.04
Arunachal_Pradesh,2019,10,14,DOIMUKH,ST,TANA HALI TARA,BJP,8403,1,51.9,,,,51.9
Arunachal_Pradesh,2019,10,14,DOIMUKH,ST,Nabam Vivek,NPEP,6018,2,37.17,,,,37.17
Arunachal_Pradesh,2019,10,14,DOIMUKH,ST,Nabam Rana,INC,1623,3,10.02,1,NABAM REBIA,-2,-89.98
Arunachal_Pradesh,2019,10,14,DOIMUKH,ST,NOTA,NOTA,147,4,0.91,2,None of the Above,-2,nan
Arunachal_Pradesh,2019,10,15,SAGALEE,ST,NABAM TUKI,INC,4886,1,44.86,1,NABAM TUKI,0,-55.14
Arunachal_Pradesh,2019,10,15,SAGALEE,ST,Tarh Hari,NPEP,3565,2,32.73,,,,32.73
Arunachal_Pradesh,2019,10,15,SAGALEE,ST,DOMINIC TADAR,BJP,2385,3,21.9,,,,21.9
Arunachal_Pradesh,2019,10,15,SAGALEE,ST,NOTA,NOTA,56,4,0.51,2,None of the Above,-2,nan
Arunachal_Pradesh,2019,10,16,YACHULI,ST,TABA TEDIR,BJP,0,1,100,3,DEBIATARA,2,95.92
Arunachal_Pradesh,2019,10,16,YACHULI,ST,NOTA,NOTA,0,2,nan,4,None of the Above,2,nan
Arunachal_Pradesh,2019,10,17,ZIRO HAPOLI,ST,TAGE TAKI,BJP,9853,1,54.14,1,TAGE TAKI,0,1.4
Arunachal_Pradesh,2019,10,17,ZIRO HAPOLI,ST,NANI RIBIA,INC,8079,2,44.39,2,PADIRICHO,0,-1.11
Arunachal_Pradesh,2019,10,17,ZIRO HAPOLI,ST,NOTA,NOTA,267,3,1.47,3,None of the Above,0,0.46
Arunachal_Pradesh,2019,10,18,PALIN,ST,BALO RAJA,BJP,5727,1,44.97,,,,44.97
Arunachal_Pradesh,2019,10,18,PALIN,ST,TAKAM PARIO,INC,4997,2,39.24,1,TAKAM PARIO,-1,-60.76
Arunachal_Pradesh,2019,10,18,PALIN,ST,BYABANG TAJ,JD(U),1904,3,14.95,,,,14.95
Arunachal_Pradesh,2019,10,18,PALIN,ST,NOTA,NOTA,108,4,0.85,2,None of the Above,-2,nan
Arunachal_Pradesh,2019,10,19,NYAPIN,ST,Bamang Felix,BJP,5517,1,50.65,,,,50.65
Arunachal_Pradesh,2019,10,19,NYAPIN,ST,Tai Nikio,INC,5363,2,49.24,1,BAMANG FELIX,-1,-50.76
Arunachal_Pradesh,2019,10,19,NYAPIN,ST,NOTA,NOTA,12,3,0.11,2,None of the Above,-1,nan
Arunachal_Pradesh,2019,10,20,TALI,ST,JIKKE TAKO,JD(U),5518,1,50.33,,,,50.33
Arunachal_Pradesh,2019,10,20,TALI,ST,THAJI GICHAK KIOGI,BJP,5413,2,49.37,,,,49.37
Arunachal_Pradesh,2019,10,20,TALI,ST,DAYUM PARA,INC,24,3,0.22,1,MARKIO TADO,-2,-54.38
Arunachal_Pradesh,2019,10,20,TALI,ST,NOTA,NOTA,9,4,0.08,3,None of the Above,-1,-0.05
Arunachal_Pradesh,2019,10,21,KOLORIANG,ST,Lokam Tassar,BJP,5748,1,51.89,,,,51.89
Arunachal_Pradesh,2019,10,21,KOLORIANG,ST,Pani Taram,NPEP,5292,2,47.77,,,,47.77
Arunachal_Pradesh,2019,10,21,KOLORIANG,ST,NOTA,NOTA,38,3,0.34,3,None of the Above,0,-0.07
Arunachal_Pradesh,2019,10,22,NACHO,ST,Nakap Nalo,BJP,5053,1,53.38,,,,53.38
Arunachal_Pradesh,2019,10,22,NACHO,ST,Tanga Byaling,INC,4355,2,46.01,1,TANGA BYALING,-1,-53.99
Arunachal_Pradesh,2019,10,22,NACHO,ST,NOTA,NOTA,58,3,0.61,2,None of the Above,-1,nan
Arunachal_Pradesh,2019,10,23,TALIHA,ST,Nyato Rigia,BJP,5024,1,55.93,,,,55.93
Arunachal_Pradesh,2019,10,23,TALIHA,ST,Rudham Sindhu,NPEP,3821,2,42.54,,,,42.54
Arunachal_Pradesh,2019,10,23,TALIHA,ST,Gamto Nayam,INC,110,3,1.22,1,PUNJI MARA,-2,-98.78
Arunachal_Pradesh,2019,10,23,TALIHA,ST,NOTA,NOTA,28,4,0.31,2,None of the Above,-2,nan
Arunachal_Pradesh,2019,10,24,DAPORIJO,ST,Taniya Soki,BJP,6019,1,48.65,2,TAPENSIGA,1,-0.81
Arunachal_Pradesh,2019,10,24,DAPORIJO,ST,Dikto Yekar,JD(U),5897,2,47.66,,,,47.66
Arunachal_Pradesh,2019,10,24,DAPORIJO,ST,Togam Tamin,INC,233,3,1.88,1,DIKTO YEKAR,-2,-47.87
Arunachal_Pradesh,2019,10,24,DAPORIJO,ST,Porchu Tamin,NPEP,176,4,1.42,,,,1.42
Arunachal_Pradesh,2019,10,24,DAPORIJO,ST,NOTA,NOTA,48,5,0.39,3,None of the Above,-2,-0.39
