State_Name,Year,Assembly_No,Party,Total_Cand,Winners,Deposit_Lost,Avg_Winning_Margin,Strike_Rate,position
Arunachal_Pradesh,2019,10,BJP,60,41,0,13.78,68.33,1
Arunachal_Pradesh,2019,10,INC,46,4,22,0.47,8.7,6
Arunachal_Pradesh,2019,10,IND,11,2,8,1.42,18.18,3
Arunachal_Pradesh,2019,10,JD(U),15,7,4,3.03,46.67,2
Arunachal_Pradesh,2019,10,NPEP,30,5,8,0.61,16.67,4
Arunachal_Pradesh,2019,10,PPA,9,1,6,0.2,11.11,5
Arunachal_Pradesh,2014,9,BJP,42,11,8,1.67,26.19,3
Arunachal_Pradesh,2014,9,INC,60,42,0,8.33,70.0,1
Arunachal_Pradesh,2014,9,IND,16,2,10,4.84,12.5,4
Arunachal_Pradesh,2014,9,PPA,16,5,5,2.98,31.25,2
Arunachal_Pradesh,2009,8,AITC,26,5,4,1.1,19.23,4
Arunachal_Pradesh,2009,8,BJP,18,3,13,1.31,16.67,5
Arunachal_Pradesh,2009,8,INC,60,42,1,14.49,70.0,1
Arunachal_Pradesh,2009,8,IND,3,1,1,11.77,33.33,3
Arunachal_Pradesh,2009,8,NCP,36,5,11,1.17,13.89,6
Arunachal_Pradesh,2009,8,PPA,11,4,3,8.83,36.36,2
Arunachal_Pradesh,2004,7,AC,11,2,5,2.35,18.18,5
Arunachal_Pradesh,2004,7,BJP,39,9,17,2.35,23.08,3
Arunachal_Pradesh,2004,7,INC,57,31,2,6.82,54.39,1
Arunachal_Pradesh,2004,7,IND,48,13,11,3.98,27.08,2
Arunachal_Pradesh,2004,7,NCP,10,2,5,1.48,20.0,4
Arunachal_Pradesh,1999,6,AC,38,1,12,0.56,2.63,4
Arunachal_Pradesh,1999,6,INC,59,52,0,16.71,88.14,1
Arunachal_Pradesh,1999,6,IND,29,2,12,0.98,6.9,3
Arunachal_Pradesh,1999,6,NCP,21,4,12,1,19.05,2
Arunachal_Pradesh,1995,5,INC,60,43,0,13.6,71.67,1
Arunachal_Pradesh,1995,5,IND,59,12,19,2.41,20.34,3
Arunachal_Pradesh,1995,5,JD,34,3,8,1.42,8.82,4
Arunachal_Pradesh,1995,5,JP,5,2,1,3.63,40.0,2
Arunachal_Pradesh,1990,4,INC,59,37,0,9.06,62.71,1
Arunachal_Pradesh,1990,4,IND,52,11,21,1.84,21.15,2
Arunachal_Pradesh,1990,4,JD,52,11,1,1.59,21.15,3
Arunachal_Pradesh,1990,4,JNP(JP),7,1,4,2.98,14.29,4
Arunachal_Pradesh,1984,3,BJP,6,1,0,0.09,16.67,3
Arunachal_Pradesh,1984,3,INC,30,21,1,9.19,70.0,1
Arunachal_Pradesh,1984,3,IND,63,4,40,0.25,6.35,4
Arunachal_Pradesh,1984,3,PPA,13,4,1,1.78,30.77,2
Arunachal_Pradesh,1980,2,INC(I),28,13,2,9.23,46.43,1
Arunachal_Pradesh,1980,2,IND,28,4,19,1.3,14.29,3
Arunachal_Pradesh,1980,2,PPA,28,13,2,7.57,46.43,2
Arunachal_Pradesh,1978,1,IND,35,5,14,3.15,14.29,3
Arunachal_Pradesh,1978,1,JNP,29,17,1,12.17,58.62,1
Arunachal_Pradesh,1978,1,PPA,21,8,1,7.63,38.1,2
