Assembly_No,Party_ID,MyNeta_education,MLAs_var_Party,Party_MLAs,Year,Party,pty_mla_var_perc
10,1605,10th Pass,4,41,2019,BJP,9.76
10,1605,12th Pass,9,41,2019,BJP,21.95
10,1605,5th Pass,1,41,2019,BJP,2.44
10,1605,Graduate,17,41,2019,BJP,41.46
10,1605,Graduate Professional,6,41,2019,BJP,14.63
10,1605,Literate,1,41,2019,BJP,2.44
10,1605,Post Graduate,3,41,2019,BJP,7.32
10,3482,Graduate,4,4,2019,INC,100
10,10809,10th Pass,2,2,2019,IND,100
10,11002,12th Pass,1,7,2019,JD(U),14.29
10,11002,8th Pass,1,7,2019,JD(U),14.29
10,11002,Graduate Professional,2,7,2019,JD(U),28.57
10,11002,Illiterate,1,7,2019,JD(U),14.29
10,11002,Post Graduate,2,7,2019,JD(U),28.57
10,5671,12th Pass,2,5,2019,NPEP,40
10,5671,Graduate,3,5,2019,NPEP,60
10,6028,10th Pass,1,1,2019,PPA,100
9,1605,10th Pass,1,11,2014,BJP,9.09
9,1605,12th Pass,1,11,2014,BJP,9.09
9,1605,Graduate,6,11,2014,BJP,54.55
9,1605,Graduate Professional,2,11,2014,BJP,18.18
9,1605,Post Graduate,1,11,2014,BJP,9.09
9,3482,10th Pass,7,42,2014,INC,16.67
9,3482,12th Pass,6,42,2014,INC,14.29
9,3482,8th Pass,2,42,2014,INC,4.76
9,3482,Graduate,17,42,2014,INC,40.48
9,3482,Graduate Professional,7,42,2014,INC,16.67
9,3482,Illiterate,1,42,2014,INC,2.38
9,3482,Literate,2,42,2014,INC,4.76
9,10809,Graduate,1,2,2014,IND,50
9,10809,Graduate Professional,1,2,2014,IND,50
9,6028,12th Pass,1,5,2014,PPA,20
9,6028,Graduate,3,5,2014,PPA,60
9,6028,Graduate Professional,1,5,2014,PPA,20
8,18228,10th Pass,1,5,2009,AITC,20
8,18228,12th Pass,2,5,2009,AITC,40
8,18228,5th Pass,1,5,2009,AITC,20
8,18228,Graduate,1,5,2009,AITC,20
8,1605,Graduate,1,3,2009,BJP,33.33
8,1605,Graduate Professional,1,3,2009,BJP,33.33
8,1605,Post Graduate,1,3,2009,BJP,33.33
8,3482,10th Pass,9,42,2009,INC,21.43
8,3482,12th Pass,5,42,2009,INC,11.9
8,3482,8th Pass,1,42,2009,INC,2.38
8,3482,Graduate,13,42,2009,INC,30.95
8,3482,Graduate Professional,7,42,2009,INC,16.67
8,3482,Literate,1,42,2009,INC,2.38
8,3482,Others,2,42,2009,INC,4.76
8,3482,Unknown,4,42,2009,INC,9.52
8,10809,Graduate,1,1,2009,IND,100
8,5792,12th Pass,1,5,2009,NCP,20
8,5792,Graduate,2,5,2009,NCP,40
8,5792,Graduate Professional,1,5,2009,NCP,20
8,5792,Literate,1,5,2009,NCP,20
8,6028,10th Pass,1,4,2009,PPA,25
8,6028,12th Pass,1,4,2009,PPA,25
8,6028,Graduate,1,4,2009,PPA,25
8,6028,Unknown,1,4,2009,PPA,25
7,8770,Graduate,1,2,2004,AC,50
7,8770,Graduate Professional,1,2,2004,AC,50
7,1605,12th Pass,1,9,2004,BJP,11.11
7,1605,Graduate,5,9,2004,BJP,55.56
7,1605,Post Graduate,1,9,2004,BJP,11.11
7,1605,Unknown,2,9,2004,BJP,22.22
7,3482,10th Pass,4,31,2004,INC,12.9
7,3482,12th Pass,5,31,2004,INC,16.13
7,3482,Graduate,13,31,2004,INC,41.94
7,3482,Graduate Professional,3,31,2004,INC,9.68
7,3482,Post Graduate,2,31,2004,INC,6.45
7,3482,Unknown,4,31,2004,INC,12.9
7,10809,10th Pass,4,13,2004,IND,30.77
7,10809,12th Pass,1,13,2004,IND,7.69
7,10809,5th Pass,1,13,2004,IND,7.69
7,10809,8th Pass,1,13,2004,IND,7.69
7,10809,Graduate,2,13,2004,IND,15.38
7,10809,Post Graduate,1,13,2004,IND,7.69
7,10809,Unknown,3,13,2004,IND,23.08
7,5792,10th Pass,1,2,2004,NCP,50
7,5792,Graduate,1,2,2004,NCP,50
