Assembly_No,Total_Candidates,No_Incumbents,Successful_Incumbents,Total_Seats,Turncoats,Successful_Turncoats,No_Recontests,First_contests,Second_contests,Multiple_contests,No_first_time_winners,First_Contest_winners,Year,Party_ID,pty_Total_Candidates,pty_Incumbents,pty_Turncoats,pty_Recontests,pty_First_contests,pty_Second_contests,pty_Multiple_contests,pty_first_time_winners,pty_First_Contest_winners,pty_Successful_Incumbents,pty_Successful_Turncoats,Party,pty_recontests_pct,Color,pty_incm_recontests_pct,hover_pty_incm_recontests_pct,pty_incm_Strike_Rate,hover_pty_incm_Strike_Rate,pty_turn_Strike_Rate,hover_pty_turn_Strike_Rate,pty_fist_time_winners_pct
10,184,50,33,60,51,26,72,92,36,56,22,17,2019,17268,1,0,0,0,1,0,0,0,0,0,0,AIP,0,,0,0 (0.0%),nan,nan% (0/0),nan,nan% (0/0),0
10,184,50,33,60,51,26,72,92,36,56,22,17,2019,1605,60,33,27,40,14,19,27,12,8,26,21,BJP,55.56,#ff9933,66,33 (66.0%),78.79,78.79% (26/33),77.78,77.78% (21/27),54.55
10,184,50,33,60,51,26,72,92,36,56,22,17,2019,3482,46,6,3,11,28,3,15,0,0,3,0,INC,15.28,#138808,12,6 (12.0%),50,50.0% (3/6),0,0.0% (0/3),0
10,184,50,33,60,51,26,72,92,36,56,22,17,2019,10809,11,0,0,3,8,1,2,1,1,0,0,IND,4.17,#808080,0,0 (0.0%),nan,nan% (0/0),nan,nan% (0/0),4.55
10,184,50,33,60,51,26,72,92,36,56,22,17,2019,10979,12,1,5,4,6,3,3,0,0,0,0,JD(S),5.56,#166F46,2,1 (2.0%),0,0.0% (0/1),0,0.0% (0/5),0
10,184,50,33,60,51,26,72,92,36,56,22,17,2019,11002,15,2,4,3,11,2,2,6,5,1,2,JD(U),4.17,#90f887,4,2 (4.0%),50,50.0% (1/2),50,50.0% (2/4),27.27
10,184,50,33,60,51,26,72,92,36,56,22,17,2019,5671,30,8,10,9,18,7,5,2,2,3,3,NPEP,12.5,#AB7B4A,16,8 (16.0%),37.5,37.5% (3/8),30,30.0% (3/10),9.09
10,184,50,33,60,51,26,72,92,36,56,22,17,2019,6028,9,0,2,2,6,1,2,1,1,0,0,PPA,2.78,#E2C000,0,0 (0.0%),nan,nan% (0/0),0,0.0% (0/2),4.55
9,155,54,36,60,31,13,78,68,31,56,19,17,2014,13,1,0,0,0,1,0,0,0,0,0,0,AAAP,0,#87CEEB,0,0 (0.0%),nan,nan% (0/0),nan,nan% (0/0),0
9,155,54,36,60,31,13,78,68,31,56,19,17,2014,1605,42,2,14,17,23,7,12,9,7,1,3,BJP,21.79,#ff9933,3.7,2 (3.7%),50,50.0% (1/2),21.43,21.43% (3/14),47.37
