Assembly_No,MyNeta_education,MLAs_var
15,10th Pass,12
15,12th Pass,20
15,8th Pass,2
15,Doctorate,4
15,Graduate,48
15,Graduate Professional,11
15,Others,1
15,Post Graduate,28
14,10th Pass,20
14,12th Pass,15
14,5th Pass,1
14,8th Pass,2
14,Doctorate,1
14,Graduate,36
14,Graduate Professional,11
14,Others,2
14,Post Graduate,26
14,Unknown,12
13,10th Pass,10
13,12th Pass,17
13,5th Pass,1
13,8th Pass,2
13,Doctorate,1
13,Graduate,36
13,Graduate Professional,19
13,Others,1
13,Post Graduate,25
13,Unknown,14
12,10th Pass,18
12,12th Pass,12
12,8th Pass,2
12,Doctorate,3
12,Graduate,40
12,Graduate Professional,18
12,Post Graduate,24
12,Unknown,9
