Assembly_No,Total_Candidates,Contesting_Incumbents,Successful_Incumbents,Total_Seats,Turncoats,Successful_Turncoats,Recontesting_Candidates,First_Contests,Second_Contests,Multiple_Contests,No_first_time_winners,First_Contest_Winners,Year,Recontesting_Candidates_pct,First_Contests_pct,Second_Contests_pct,Multiple_Contests_pct,Contesting_Incumbents_pct,Successful_Incumbents_pct,No_first_time_winners_pct,First_Contest_Winners_pct,Incumbent_Strike_Rate,Turncoat_Strike_Rate
15,946,91,67,126,45,9,247,632,156,158,48,29,2021,26.11,66.81,16.49,16.7,72.22,53.17,38.1,23.02,73.63,20
14,1064,102,43,126,38,19,266,718,138,208,60,35,2016,25,67.48,12.97,19.55,80.95,34.13,47.62,27.78,42.16,50
13,981,107,53,126,48,11,298,618,157,206,44,30,2011,30.38,63,16,21,84.92,42.06,34.92,23.81,49.53,22.92
12,997,113,50,126,54,5,279,622,164,211,61,37,2006,27.98,62.39,16.45,21.16,89.68,39.68,48.41,29.37,44.25,9.26
11,916,112,47,126,37,8,262,557,160,199,59,34,2001,28.6,60.81,17.47,21.72,88.89,37.3,46.83,26.98,41.96,21.62
10,1228,90,43,122,45,12,294,855,200,173,57,38,1996,23.94,69.63,16.29,14.09,73.77,35.25,46.72,31.15,47.78,26.67
9,1657,91,35,126,49,0,297,1278,221,158,69,56,1991,17.92,77.13,13.34,9.54,72.22,27.78,54.76,44.44,38.46,0
8,1133,76,15,126,18,1,192,807,175,151,103,90,1985,16.95,71.23,15.45,13.33,60.32,11.9,81.75,71.43,19.74,5.56
7,471,64,35,109,27,12,169,293,110,68,68,36,1983,35.88,62.21,23.35,14.44,58.72,32.11,62.39,33.03,54.69,44.44
6,938,71,23,126,28,14,153,755,136,47,99,72,1978,16.31,80.49,14.5,5.01,56.35,18.25,78.57,57.14,32.39,50
5,478,5,4,114,7,2,10,406,65,7,93,85,1972,2.09,84.94,13.6,1.46,4.39,3.51,81.58,74.56,80,28.57
4,492,8,4,125,1,0,19,473,19,0,121,116,1967,3.86,96.14,3.86,0,6.4,3.2,96.8,92.8,50,0
3,409,0,0,105,0,0,0,409,0,0,105,105,1962,0,100,0,0,0,0,100,100,0,0
