State_Name,Year,Assembly_No,Party,Total_Seats_in_Assembly,Total_Votes_in_Assembly,Total_Votes_in_Contested_Seats,Total_Candidates,Winners,Deposits_Lost,Strike_Rate,Seat_Share,Vote_Share_in_Assembly,Vote_Share_in_Contested_Seats,position,Expanded_Party_Name
Assam,2021,15,AGP,126,19222600,4617340,29,9,6,31.03448275862069,7.14,7.91,32.91,4,ASOM GANA PARISHAD
Assam,2021,15,AIFB,126,19222600,827193,6,0,6,0.0,0,0.02,0.36,9,
Assam,2021,15,AITC,126,19222600,2522498,15,0,15,0.0,0,0.19,1.43,10,ALL INDIA TRINAMOOL CONGRESS
Assam,2021,15,AIUDF,126,19222600,3321460,20,16,1,80.0,12.7,9.29,53.79,3,ALL INDIA UNITED DEMOCRATIC FRONT
Assam,2021,15,AJP,126,19222600,12504353,82,0,75,0.0,0,3.66,5.62,11,Assam Jatiya Parishad
Assam,2021,15,All India Minorities Front,126,19222600,347139,2,0,2,0.0,0,0.01,0.63,12,
Assam,2021,15,Asom Jana Morcha,126,19222600,491627,3,0,3,0.0,0,0.01,0.3,13,
Assam,2021,15,Asom Songrami Mancha(Asom),126,19222600,325853,3,0,3,0.0,0,0.02,1.01,14,
Assam,2021,15,Autonomous State Demand Committee,126,19222600,375161,3,0,3,0.0,0,0.08,4.23,15,
Assam,2021,15,BJP,126,19222600,13968778,93,60,6,64.51612903225806,47.62,33.21,45.71,1,BHARATIYA JANATA PARTY
Assam,2021,15,BOPF,126,19222600,1725597,12,4,0,33.333333333333336,3.17,3.39,37.73,6,BODOLAND PEOPLES FRONT
Assam,2021,15,Bahujan Maha Party,126,19222600,128007,1,0,1,0.0,0,0.01,1.01,16,
Assam,2021,15,Bharatiya Gana Parishad,126,19222600,2602070,15,0,15,0.0,0,0.11,0.84,17,
Assam,2021,15,Bhartiya Rashtrawadi Party,126,19222600,151276,1,0,1,0.0,0,0,0.11,18,
Assam,2021,15,Bhartiya Tribal Party,126,19222600,238463,2,0,2,0.0,0,0.01,0.64,19,
Assam,2021,15,CPI,126,19222600,156582,1,0,0,0.0,0,0.14,17.43,20,COMMUNIST PARTY OF INDIA
Assam,2021,15,CPI(ML)(L),126,19222600,480374,4,0,3,0.0,0,0.14,5.5,21,COMMUNIST PARTY OF INDIA  (MARXIST-LENINIST)
