State_Name,Year,Assembly_No,Party,Total_Cand,Winners,Deposit_Lost,Avg_Winning_Margin,Strike_Rate,position
Assam,2021,15,AGP,29,9,6,5.43,31.03,6
Assam,2021,15,AIUDF,20,16,1,24.61,80.0,1
Assam,2021,15,BJP,93,60,6,12.7,64.52,2
Assam,2021,15,BOPF,12,4,0,2.64,33.33,5
Assam,2021,15,CPM,2,1,0,2.68,50.0,4
Assam,2021,15,INC,95,29,3,4.94,30.53,7
Assam,2021,15,IND,381,1,371,0.03,0.26,8
Assam,2021,15,UPPL,11,6,1,8.47,54.55,3
Assam,2016,14,AGP,30,14,8,9.26,46.67,3
Assam,2016,14,AIUDF,74,13,32,1.35,17.57,5
Assam,2016,14,BJP,89,60,9,11.81,67.42,2
Assam,2016,14,BOPF,13,12,0,11.48,92.31,1
Assam,2016,14,INC,122,26,13,1.98,21.31,4
Assam,2016,14,IND,496,1,473,0.05,0.2,6
Assam,2011,13,AGP,104,10,46,0.71,9.62,4
Assam,2011,13,AITC,103,1,100,0.05,0.97,6
Assam,2011,13,AIUDF,78,18,41,2.38,23.08,3
Assam,2011,13,BJP,120,5,84,0.5,4.17,5
Assam,2011,13,BOPF,29,12,11,7.99,41.38,2
Assam,2011,13,INC,126,78,12,10.56,61.9,1
Assam,2011,13,IND,263,2,239,0.03,0.76,7
Assam,2006,12,AGP,100,23,31,2.49,23.0,2
Assam,2006,12,AGP(P),93,1,87,0.19,1.08,11
Assam,2006,12,ASDC,5,1,0,0.08,20.0,3
Assam,2006,12,AUDF,69,10,37,1.35,14.49,5
Assam,2006,12,BJP,125,12,81,1.24,9.6,8
Assam,2006,12,CPI,9,1,6,0.07,11.11,7
Assam,2006,12,CPM,16,2,12,0.7,12.5,6
Assam,2006,12,INC,120,56,13,4.77,46.67,1
Assam,2006,12,IND,316,18,276,0.34,5.7,9
Assam,2006,12,LKS,5,1,4,0.7,20.0,4
Assam,2006,12,NCP,45,1,37,0.14,2.22,10
Assam,2001,11,AGP,77,20,13,1.78,25.97,3
Assam,2001,11,AITC,23,1,22,0.11,4.35,8
Assam,2001,11,ASDC(U),5,2,1,2.77,40.0,2
Assam,2001,11,BJP,46,8,14,1.93,17.39,4
Assam,2001,11,INC,126,71,11,9.21,56.35,1
Assam,2001,11,IND,393,19,346,0.99,4.83,7
Assam,2001,11,NCP,62,3,57,0.55,4.84,6
Assam,2001,11,SAP,19,1,17,0.21,5.26,5
Assam,2001,11,SP,23,1,20,0.28,4.35,9
Assam,1996,10,AGP,96,59,10,9.48,61.46,2
Assam,1996,10,AIIC(T),108,2,102,0.09,1.85,8
Assam,1996,10,ASDC,5,5,0,22.5,100.0,1
Assam,1996,10,BJP,117,4,95,0.1,3.42,7
Assam,1996,10,CPI,11,3,4,0.93,27.27,4
Assam,1996,10,CPM,10,2,3,3.96,20.0,5
Assam,1996,10,INC,122,34,22,4.22,27.87,3
Assam,1996,10,IND,651,11,613,0.2,1.69,9
Assam,1996,10,UMFA,20,2,17,0.71,10.0,6
Assam,1991,9,ADC,8,4,4,12.7,50.0,2
Assam,1991,9,AGP,121,19,57,1.41,15.7,4
Assam,1991,9,BJP,48,10,29,2.61,20.83,3
Assam,1991,9,CPI,37,4,32,0.35,10.81,5
Assam,1991,9,CPM,29,2,17,0.18,6.9,6
Assam,1991,9,INC,125,66,28,9.78,52.8,1
Assam,1991,9,IND,858,15,826,0.36,1.75,8
Assam,1991,9,JD,95,1,85,0.08,1.05,9
Assam,1991,9,NAGP,85,5,76,0.49,5.88,7
Assam,1985,8,CPM,39,2,25,0.55,5.13,5
Assam,1985,8,ICS,72,4,66,0.47,5.56,4
Assam,1985,8,INC,125,25,46,3.63,20.0,1
Assam,1985,8,IND,704,92,556,3.22,13.07,2
Assam,1985,8,PTC,28,3,16,1.12,10.71,3
Assam,1983,7,CPI,25,1,17,0.82,4.0,5
Assam,1983,7,CPM,24,2,12,1.5,8.33,3
Assam,1983,7,ICS,34,2,21,0.56,5.88,4
Assam,1983,7,INC,109,91,5,37.33,83.49,1
Assam,1983,7,IND,258,10,216,0.52,3.88,6
Assam,1983,7,PTC,21,3,8,7.18,14.29,2
Assam,1978,6,CPI,35,5,26,1.18,14.29,6
Assam,1978,6,CPM,27,11,6,3.78,40.74,3
Assam,1978,6,INC,126,26,45,1.88,20.63,5
Assam,1978,6,INC(I),115,8,98,0.62,6.96,7
Assam,1978,6,IND,485,15,428,0.29,3.09,8
Assam,1978,6,JNP,117,53,24,6.51,45.3,1
Assam,1978,6,PTC,9,4,2,3.71,44.44,2
Assam,1978,6,RCI,10,4,6,7.79,40.0,4
Assam,1972,5,CPI,28,3,12,0.69,10.71,4
Assam,1972,5,INC,114,95,0,23.48,83.33,2
Assam,1972,5,IND,253,10,180,0.4,3.95,6
Assam,1972,5,PTC,6,1,2,0.34,16.67,3
Assam,1972,5,SOP,38,4,22,0.72,10.53,5
Assam,1972,5,SWA,1,1,0,6.17,100.0,1
Assam,1967,4,AHL,12,9,0,22.93,75.0,1
Assam,1967,4,CPI,22,7,5,4.56,31.82,3
Assam,1967,4,INC,120,73,0,13.91,60.83,2
Assam,1967,4,IND,239,25,162,1.88,10.46,7
Assam,1967,4,PSP,35,5,19,2.15,14.29,6
Assam,1967,4,SSP,17,4,7,3.57,23.53,4
Assam,1967,4,SWA,13,2,7,0.2,15.38,5
Assam,1962,3,HLC,15,11,1,27.38,73.33,2
Assam,1962,3,INC,103,79,2,19.54,76.7,1
Assam,1962,3,IND,177,8,121,0.44,4.52,5
Assam,1962,3,PSP,53,6,21,1.06,11.32,4
Assam,1962,3,RCP,8,1,5,0.61,12.5,3
