State_Name,Year,Assembly_No,Party,Sub_Region,Total_Cand,Winners,Deposit_Lost,Avg_Winning_Margin,Strike_Rate,position
Assam,2021,15,AGP,CENTRAL ASSAM,5,3,1,13.99,60.0,11
Assam,2021,15,AGP,LOWER ASSAM,13,2,0,4.54,15.38,23
Assam,2021,15,AGP,NORTH ASSAM,2,1,1,3.38,50.0,13
Assam,2021,15,AGP,SOUTHERN ASSAM (BARAK VALLEY),3,0,2,0,0.0,26
Assam,2021,15,AGP,UPPER ASSAM,6,3,2,3.62,50.0,14
Assam,2021,15,AIFB,LOWER ASSAM,1,0,1,0,0.0,27
Assam,2021,15,AIFB,SOUTHERN ASSAM (BARAK VALLEY),3,0,3,0,0.0,28
Assam,2021,15,AIFB,UPPER ASSAM,2,0,2,0,0.0,29
Assam,2021,15,AITC,CENTRAL ASSAM,2,0,2,0,0.0,30
Assam,2021,15,AITC,LOWER ASSAM,10,0,10,0,0.0,31
Assam,2021,15,AITC,NORTH ASSAM,1,0,1,0,0.0,32
Assam,2021,15,AITC,SOUTHERN ASSAM (BARAK VALLEY),2,0,2,0,0.0,33
Assam,2021,15,AIUDF,CENTRAL ASSAM,2,2,0,56.51,100.0,1
Assam,2021,15,AIUDF,LOWER ASSAM,12,8,1,23.5,66.67,8
Assam,2021,15,AIUDF,NORTH ASSAM,1,1,0,25.83,100.0,2
Assam,2021,15,AIUDF,SOUTHERN ASSAM (BARAK VALLEY),5,5,0,14.29,100.0,3
Assam,2021,15,AJP,CENTRAL ASSAM,17,0,16,0,0.0,34
Assam,2021,15,AJP,LOWER ASSAM,22,0,20,0,0.0,35
Assam,2021,15,AJP,NORTH ASSAM,13,0,13,0,0.0,36
Assam,2021,15,AJP,SOUTHERN ASSAM (BARAK VALLEY),6,0,6,0,0.0,37
Assam,2021,15,AJP,UPPER ASSAM,24,0,20,0,0.0,38
Assam,2021,15,All India Minorities Front,LOWER ASSAM,2,0,2,0,0.0,39
Assam,2021,15,Asom Jana Morcha,CENTRAL ASSAM,3,0,3,0,0.0,40
Assam,2021,15,Asom Songrami Mancha(Asom),CENTRAL ASSAM,1,0,1,0,0.0,41
Assam,2021,15,Asom Songrami Mancha(Asom),UPPER ASSAM,2,0,2,0,0.0,42
Assam,2021,15,Autonomous State Demand Committee,HILL DISTRICTS (DIMA HASAO AND KARBI ANGLONG),3,0,3,0,0.0,43
Assam,2021,15,BJP,CENTRAL ASSAM,14,9,2,8.26,64.29,9
Assam,2021,15,BJP,HILL DISTRICTS (DIMA HASAO AND KARBI ANGLONG),5,5,0,24.09,100.0,4
Assam,2021,15,BJP,LOWER ASSAM,20,8,4,13.28,40.0,17
Assam,2021,15,BJP,NORTH ASSAM,16,13,0,13.46,81.25,6
Assam,2021,15,BJP,SOUTHERN ASSAM (BARAK VALLEY),14,6,0,5.48,42.86,16
Assam,2021,15,BJP,UPPER ASSAM,24,19,0,16.13,79.17,7
Assam,2021,15,BOPF,LOWER ASSAM,8,2,0,1.8,25.0,21
Assam,2021,15,BOPF,NORTH ASSAM,4,2,0,4.32,50.0,15
Assam,2021,15,Bahujan Maha Party,LOWER ASSAM,1,0,1,0,0.0,44
Assam,2021,15,Bharatiya Gana Parishad,CENTRAL ASSAM,2,0,2,0,0.0,45
Assam,2021,15,Bharatiya Gana Parishad,LOWER ASSAM,7,0,7,0,0.0,46
Assam,2021,15,Bharatiya Gana Parishad,NORTH ASSAM,2,0,2,0,0.0,47
Assam,2021,15,Bharatiya Gana Parishad,SOUTHERN ASSAM (BARAK VALLEY),2,0,2,0,0.0,48
Assam,2021,15,Bharatiya Gana Parishad,UPPER ASSAM,2,0,2,0,0.0,49
Assam,2021,15,Bhartiya Rashtrawadi Party,LOWER ASSAM,1,0,1,0,0.0,50
Assam,2021,15,Bhartiya Tribal Party,HILL DISTRICTS (DIMA HASAO AND KARBI ANGLONG),2,0,2,0,0.0,51
Assam,2021,15,CPI,CENTRAL ASSAM,1,0,0,0,0.0,52
Assam,2021,15,CPI(ML)(L),HILL DISTRICTS (DIMA HASAO AND KARBI ANGLONG),3,0,3,0,0.0,53
Assam,2021,15,CPI(ML)(L),NORTH ASSAM,1,0,0,0,0.0,54
Assam,2021,15,CPM,LOWER ASSAM,1,1,0,5.36,100.0,5
Assam,2021,15,CPM,NORTH ASSAM,1,0,0,0,0.0,55
Assam,2021,15,Hindusthan Nirman Dal,SOUTHERN ASSAM (BARAK VALLEY),1,0,1,0,0.0,56
Assam,2021,15,INC,CENTRAL ASSAM,15,5,0,7.29,33.33,19
