Assembly_No,TCPD_Prof_Main,MLAs_var
15,Agriculture,6
15,Business,47
15,Former Government,3
15,Liberal Profession or Professional,8
15,Other,15
15,Politics,29
15,Retired or Pension,5
15,Small Business or Self-employed,3
15,Social Work,10
14,Agriculture,8
14,Business,50
14,Education,1
14,Former Government,3
14,Liberal Profession or Professional,10
14,Other,2
14,Politics,24
14,Retired or Pension,4
14,Salaried Work or Employed,1
14,Small Business or Self-employed,1
14,Social Work,10
14,Unknown,12
13,Agriculture,17
13,Business,27
13,Former Government,7
13,Liberal Profession or Professional,8
13,Other,5
13,Politics,30
13,Retired or Pension,2
13,Small Business or Self-employed,5
13,Social Work,13
13,Unknown,12
12,Other,117
12,Unknown,9
