Assembly_No,Party_ID,MyNeta_education,MLAs_var_Party,Party_MLAs,Year,Party,pty_mla_var_perc
15,978,12th Pass,2,9,2021,AGP,22.22
15,978,Graduate,3,9,2021,AGP,33.33
15,978,Graduate Professional,1,9,2021,AGP,11.11
15,978,Post Graduate,3,9,2021,AGP,33.33
15,795,10th Pass,1,16,2021,AIUDF,6.25
15,795,12th Pass,4,16,2021,AIUDF,25
15,795,8th Pass,1,16,2021,AIUDF,6.25
15,795,Doctorate,1,16,2021,AIUDF,6.25
15,795,Graduate,4,16,2021,AIUDF,25
15,795,Graduate Professional,1,16,2021,AIUDF,6.25
15,795,Post Graduate,4,16,2021,AIUDF,25
15,1605,10th Pass,8,60,2021,BJP,13.33
15,1605,12th Pass,9,60,2021,BJP,15
15,1605,Doctorate,3,60,2021,BJP,5
15,1605,Graduate,18,60,2021,BJP,30
15,1605,Graduate Professional,7,60,2021,BJP,11.67
15,1605,Post Graduate,15,60,2021,BJP,25
15,9451,Graduate,3,4,2021,BOPF,75
15,9451,Post Graduate,1,4,2021,BOPF,25
15,14635,Graduate,1,1,2021,CPM,100
15,3482,10th Pass,2,29,2021,INC,6.9
15,3482,12th Pass,5,29,2021,INC,17.24
15,3482,8th Pass,1,29,2021,INC,3.45
15,3482,Graduate,14,29,2021,INC,48.28
15,3482,Graduate Professional,2,29,2021,INC,6.9
15,3482,Others,1,29,2021,INC,3.45
15,3482,Post Graduate,4,29,2021,INC,13.79
15,10809,Graduate,1,1,2021,IND,100
15,24351,10th Pass,1,6,2021,UPPL,16.67
15,24351,Graduate,4,6,2021,UPPL,66.67
15,24351,Post Graduate,1,6,2021,UPPL,16.67
14,978,10th Pass,1,14,2016,AGP,7.14
14,978,12th Pass,1,14,2016,AGP,7.14
14,978,Graduate,6,14,2016,AGP,42.86
14,978,Graduate Professional,2,14,2016,AGP,14.29
14,978,Post Graduate,4,14,2016,AGP,28.57
14,795,10th Pass,3,13,2016,AIUDF,23.08
14,795,12th Pass,1,13,2016,AIUDF,7.69
14,795,8th Pass,2,13,2016,AIUDF,15.38
14,795,Graduate,3,13,2016,AIUDF,23.08
14,795,Post Graduate,4,13,2016,AIUDF,30.77
14,1605,10th Pass,13,60,2016,BJP,21.67
14,1605,12th Pass,9,60,2016,BJP,15
14,1605,Doctorate,1,60,2016,BJP,1.67
14,1605,Graduate,18,60,2016,BJP,30
14,1605,Graduate Professional,4,60,2016,BJP,6.67
14,1605,Others,1,60,2016,BJP,1.67
14,1605,Post Graduate,14,60,2016,BJP,23.33
14,9451,Unknown,12,12,2016,BOPF,100
14,3482,10th Pass,2,26,2016,INC,7.69
14,3482,12th Pass,4,26,2016,INC,15.38
14,3482,5th Pass,1,26,2016,INC,3.85
14,3482,Graduate,9,26,2016,INC,34.62
14,3482,Graduate Professional,5,26,2016,INC,19.23
14,3482,Others,1,26,2016,INC,3.85
14,3482,Post Graduate,4,26,2016,INC,15.38
14,10809,10th Pass,1,1,2016,IND,100
13,978,12th Pass,4,10,2011,AGP,40
13,978,Graduate,4,10,2011,AGP,40
13,978,Graduate Professional,1,10,2011,AGP,10
13,978,Post Graduate,1,10,2011,AGP,10
13,18228,Graduate,1,1,2011,AITC,100
13,795,10th Pass,1,18,2011,AIUDF,5.56
13,795,12th Pass,2,18,2011,AIUDF,11.11
13,795,Graduate,6,18,2011,AIUDF,33.33
13,795,Graduate Professional,1,18,2011,AIUDF,5.56
13,795,Post Graduate,8,18,2011,AIUDF,44.44
13,1605,10th Pass,1,5,2011,BJP,20
13,1605,12th Pass,1,5,2011,BJP,20
13,1605,Post Graduate,3,5,2011,BJP,60
13,9451,Unknown,12,12,2011,BOPF,100
13,3482,10th Pass,8,78,2011,INC,10.26
13,3482,12th Pass,10,78,2011,INC,12.82
13,3482,5th Pass,1,78,2011,INC,1.28
13,3482,8th Pass,2,78,2011,INC,2.56
13,3482,Doctorate,1,78,2011,INC,1.28
13,3482,Graduate,24,78,2011,INC,30.77
13,3482,Graduate Professional,17,78,2011,INC,21.79
13,3482,Others,1,78,2011,INC,1.28
13,3482,Post Graduate,12,78,2011,INC,15.38
13,3482,Unknown,2,78,2011,INC,2.56
13,10809,Graduate,1,2,2011,IND,50
13,10809,Post Graduate,1,2,2011,IND,50
12,978,10th Pass,2,23,2006,AGP,8.7
12,978,12th Pass,1,23,2006,AGP,4.35
12,978,Doctorate,2,23,2006,AGP,8.7
12,978,Graduate,10,23,2006,AGP,43.48
12,978,Graduate Professional,3,23,2006,AGP,13.04
12,978,Post Graduate,5,23,2006,AGP,21.74
12,984,Graduate Professional,1,1,2006,AGP(P),100
12,994,Graduate,1,1,2006,ASDC,100
12,988,10th Pass,4,10,2006,AUDF,40
12,988,12th Pass,3,10,2006,AUDF,30
12,988,Graduate Professional,1,10,2006,AUDF,10
12,988,Post Graduate,2,10,2006,AUDF,20
12,1605,10th Pass,3,12,2006,BJP,25
12,1605,12th Pass,2,12,2006,BJP,16.67
12,1605,Graduate,1,12,2006,BJP,8.33
12,1605,Graduate Professional,2,12,2006,BJP,16.67
12,1605,Post Graduate,1,12,2006,BJP,8.33
12,1605,Unknown,3,12,2006,BJP,25
12,2444,Graduate,1,1,2006,CPI,100
12,14635,Unknown,2,2,2006,CPM,100
12,3482,10th Pass,4,56,2006,INC,7.14
12,3482,12th Pass,5,56,2006,INC,8.93
12,3482,Doctorate,1,56,2006,INC,1.79
12,3482,Graduate,19,56,2006,INC,33.93
12,3482,Graduate Professional,9,56,2006,INC,16.07
12,3482,Post Graduate,14,56,2006,INC,25
12,3482,Unknown,4,56,2006,INC,7.14
12,10809,10th Pass,5,18,2006,IND,27.78
12,10809,12th Pass,1,18,2006,IND,5.56
12,10809,8th Pass,2,18,2006,IND,11.11
12,10809,Graduate,7,18,2006,IND,38.89
12,10809,Graduate Professional,1,18,2006,IND,5.56
12,10809,Post Graduate,2,18,2006,IND,11.11
12,5148,Graduate Professional,1,1,2006,LKS,100
12,5792,Graduate,1,1,2006,NCP,100
