Assembly_No,Total_Candidates,No_Incumbents,Successful_Incumbents,Total_Seats,Turncoats,Successful_Turncoats,No_Recontests,First_contests,Second_contests,Multiple_contests,No_first_time_winners,First_Contest_winners,Year,Party_ID,pty_Total_Candidates,pty_Incumbents,pty_Turncoats,pty_Recontests,pty_First_contests,pty_Second_contests,pty_Multiple_contests,pty_first_time_winners,pty_First_Contest_winners,pty_Successful_Incumbents,pty_Successful_Turncoats,Party,pty_recontests_pct,Color,pty_incm_recontests_pct,hover_pty_incm_recontests_pct,pty_incm_Strike_Rate,hover_pty_incm_Strike_Rate,pty_turn_Strike_Rate,hover_pty_turn_Strike_Rate,pty_fist_time_winners_pct
15,946,91,67,126,45,9,247,632,156,158,48,29,2021,978,29,11,2,18,10,2,17,2,2,7,0,AGP,7.29,#E9C6BD,12.09,11 (12.09%),63.64,63.64% (7/11),0,0.0% (0/2),4.17
15,946,91,67,126,45,9,247,632,156,158,48,29,2021,3040,6,0,0,2,3,1,2,0,0,0,0,AIFB,0.81,#DA0000,0,0 (0.0%),nan,nan% (0/0),nan,nan% (0/0),0
15,946,91,67,126,45,9,247,632,156,158,48,29,2021,18228,15,0,2,1,13,0,2,0,0,0,0,AITC,0.4,#4285F4,0,0 (0.0%),nan,nan% (0/0),0,0.0% (0/2),0
15,946,91,67,126,45,9,247,632,156,158,48,29,2021,795,20,7,1,14,5,7,8,8,2,7,1,AIUDF,5.67,#00FF00,7.69,7 (7.69%),100,100.0% (7/7),100,100.0% (1/1),16.67
15,946,91,67,126,45,9,247,632,156,158,48,29,2021,985,82,1,7,5,72,5,5,0,0,0,0,AJP,2.02,,1.1,1 (1.1%),0,0.0% (0/1),0,0.0% (0/7),0
15,946,91,67,126,45,9,247,632,156,158,48,29,2021,726,2,0,0,0,2,0,0,0,0,0,0,All India Minorities Front,0,,0,0 (0.0%),nan,nan% (0/0),nan,nan% (0/0),0
15,946,91,67,126,45,9,247,632,156,158,48,29,2021,24353,3,0,0,0,3,0,0,0,0,0,0,Asom Jana Morcha,0,,0,0 (0.0%),nan,nan% (0/0),nan,nan% (0/0),0
15,946,91,67,126,45,9,247,632,156,158,48,29,2021,24341,3,0,0,0,3,0,0,0,0,0,0,Asom Songrami Mancha(Asom),0,,0,0 (0.0%),nan,nan% (0/0),nan,nan% (0/0),0
15,946,91,67,126,45,9,247,632,156,158,48,29,2021,994,3,0,1,0,0,3,0,0,0,0,0,Autonomous State Demand Committee,0,,0,0 (0.0%),nan,nan% (0/0),0,0.0% (0/1),0
15,946,91,67,126,45,9,247,632,156,158,48,29,2021,1605,93,45,11,54,28,27,38,19,13,38,5,BJP,21.86,#ff9933,49.45,45 (49.45%),84.44,84.44% (38/45),45.45,45.45% (5/11),39.58
