Assembly_No,MyNeta_education,MLAs_var
17,10th Pass,24
17,12th Pass,53
17,5th Pass,2
17,8th Pass,3
17,Doctorate,23
17,Graduate,74
17,Graduate Professional,20
17,Literate,9
17,Others,1
17,Post Graduate,32
17,Unknown,2
16,10th Pass,29
16,12th Pass,52
16,5th Pass,1
16,8th Pass,11
16,Doctorate,15
16,Graduate,65
16,Graduate Professional,21
16,Illiterate,1
16,Literate,9
16,Others,2
16,Post Graduate,37
15,10th Pass,25
15,12th Pass,48
15,5th Pass,4
15,8th Pass,6
15,Doctorate,21
15,Graduate,54
15,Graduate Professional,17
15,Literate,9
15,Post Graduate,41
15,Unknown,18
14,10th Pass,37
14,12th Pass,33
14,5th Pass,2
14,8th Pass,10
14,Doctorate,7
14,Graduate,41
14,Graduate Professional,16
14,Literate,7
14,Post Graduate,35
14,Unknown,55
13,Unknown,243
