Assembly_No,Total_Candidates,Contesting_Incumbents,Successful_Incumbents,Total_Seats,Turncoats,Successful_Turncoats,Recontesting_Candidates,First_Contests,Second_Contests,Multiple_Contests,No_first_time_winners,First_Contest_Winners,Year,Recontesting_Candidates_pct,First_Contests_pct,Second_Contests_pct,Multiple_Contests_pct,Contesting_Incumbents_pct,Successful_Incumbents_pct,No_first_time_winners_pct,First_Contest_Winners_pct,Incumbent_Strike_Rate,Turncoat_Strike_Rate
17,3733,179,87,243,158,22,534,3034,398,301,127,89,2020,14.3,81.28,10.66,8.06,73.66,35.8,52.26,36.63,48.6,13.92
16,3450,162,86,243,138,23,478,2849,361,240,131,86,2015,13.86,82.58,10.46,6.96,66.67,35.39,53.91,35.39,53.09,16.67
15,3523,118,65,243,103,18,277,3080,164,279,150,126,2010,7.86,87.43,4.66,7.92,48.56,26.75,61.73,51.85,55.08,17.48
14,2133,224,160,243,124,21,618,1359,410,364,59,23,2005,28.97,63.71,19.22,17.07,92.18,65.84,24.28,9.47,71.43,16.94
13,3193,165,86,243,153,48,414,2639,241,313,126,79,2005,12.97,82.65,7.55,9.8,67.9,35.39,51.85,32.51,52.12,31.37
12,3941,225,97,324,307,115,668,3070,431,440,167,94,2000,16.95,77.9,10.94,11.16,69.44,29.94,51.54,29.01,43.11,37.46
11,8313,226,114,324,171,35,656,7426,454,433,165,123,1995,7.89,89.33,5.46,5.21,69.75,35.19,50.93,37.96,50.44,20.47
10,6613,216,96,324,151,72,580,5831,418,364,174,110,1990,8.77,88.17,6.32,5.5,66.67,29.63,53.7,33.95,44.44,47.68
9,4237,195,104,324,138,45,500,3589,339,309,189,139,1985,11.8,84.71,8,7.29,60.19,32.1,58.33,42.9,53.33,32.61
8,3002,207,64,324,173,26,499,2401,361,240,212,160,1980,16.62,79.98,12.03,7.99,63.89,19.75,65.43,49.38,30.92,15.03
7,2994,144,54,324,117,73,280,2618,197,179,240,197,1977,9.35,87.44,6.58,5.98,44.44,16.67,74.07,60.8,37.5,62.39
6,1983,194,99,318,107,39,374,1573,342,68,205,148,1972,18.86,79.32,17.25,3.43,61.01,31.13,64.47,46.54,51.03,36.45
5,2154,19,11,318,54,17,32,1998,134,22,279,257,1969,1.49,92.76,6.22,1.02,5.97,3.46,87.74,80.82,57.89,31.48
4,2025,13,7,318,6,3,26,1999,25,1,311,305,1967,1.28,98.72,1.23,0.05,4.09,2.2,97.8,95.91,53.85,50
3,1529,0,0,318,0,0,0,1529,0,0,318,318,1962,0,100,0,0,0,0,100,100,0,0
