State_Name,Year,Assembly_No,Party,Total_Seats_in_Assembly,Total_Votes_in_Assembly,Total_Votes_in_Contested_Seats,Total_Candidates,Winners,Deposits_Lost,Strike_Rate,Seat_Share,Vote_Share_in_Assembly,Vote_Share_in_Contested_Seats,position,Expanded_Party_Name
Bihar,2020,17,AAAAP,243,42137619,677659,4,0,4,0.0,0,0,0.26,14,
Bihar,2020,17,AAM,243,42137619,881666,5,0,5,0.0,0,0.02,0.86,15,
Bihar,2020,17,ABMVMP,243,42137619,149739,1,0,1,0.0,0,0,0.55,16,
Bihar,2020,17,ACDP,243,42137619,588466,3,0,3,0.0,0,0,0.26,17,
Bihar,2020,17,AHFBK,243,42137619,1179522,7,0,7,0.0,0,0.02,0.68,18,
Bihar,2020,17,AIFB,243,42137619,2137021,12,0,12,0.0,0,0.02,0.42,19,
Bihar,2020,17,AIMEIEM,243,42137619,355463,2,0,2,0.0,0,0,0.55,20,
Bihar,2020,17,AIMF,243,42137619,1298319,7,0,7,0.0,0,0.02,0.51,21,
Bihar,2020,17,AIMIM,243,42137619,3663690,20,5,14,25.0,2.06,1.24,14.28,6,
Bihar,2020,17,AJPR,243,42137619,1735923,10,0,10,0.0,0,0.02,0.52,22,
Bihar,2020,17,AJPS,243,42137619,521632,3,0,3,0.0,0,0,0.24,23,
Bihar,2020,17,AKBHAD,243,42137619,161836,1,0,1,0.0,0,0,0.46,24,
Bihar,2020,17,AKBMP,243,42137619,180762,1,0,1,0.0,0,0,0.41,25,
Bihar,2020,17,AKHDBRYVP,243,42137619,516783,3,0,3,0.0,0,0,0.21,26,
Bihar,2020,17,AKNDBHRJNP,243,42137619,183501,1,0,1,0.0,0,0,0.45,27,
Bihar,2020,17,AMJNMTP,243,42137619,1231002,7,0,7,0.0,0,0.03,1.01,28,
Bihar,2020,17,AMiP,243,42137619,553890,3,0,3,0.0,0,0.02,1.36,29,
Bihar,2020,17,ANC,243,42137619,359865,2,0,2,0.0,0,0,0.3,30,
Bihar,2020,17,APADP,243,42137619,592586,3,0,3,0.0,0,0,0.24,31,
Bihar,2020,17,APKSP,243,42137619,3328192,19,0,19,0.0,0,0.05,0.59,32,
Bihar,2020,17,APoI,243,42137619,1228098,7,0,7,0.0,0,0.02,0.8,33,
Bihar,2020,17,ASDHP,243,42137619,341508,2,0,2,0.0,0,0,0.24,34,
Bihar,2020,17,ASPKR,243,42137619,698552,4,0,4,0.0,0,0.01,0.65,35,
Bihar,2020,17,AZSP,243,42137619,874658,5,0,5,0.0,0,0.03,1.22,36,
Bihar,2020,17,AngSP,243,42137619,852335,5,0,5,0.0,0,0.01,0.37,37,
Bihar,2020,17,BAHUMP,243,42137619,719411,4,0,4,0.0,0,0.01,0.66,38,
Bihar,2020,17,BAJVP,243,42137619,320639,2,0,2,0.0,0,0,0.52,39,
Bihar,2020,17,BBC,243,42137619,176066,1,0,1,0.0,0,0,0.21,40,
Bihar,2020,17,BBMP,243,42137619,1023199,6,0,6,0.0,0,0.01,0.35,41,
Bihar,2020,17,BDlP,243,42137619,1287951,7,0,7,0.0,0,0.01,0.39,42,
Bihar,2020,17,BGMP,243,42137619,1326522,8,0,8,0.0,0,0.01,0.25,43,
Bihar,2020,17,BHAIP,243,42137619,563637,3,0,3,0.0,0,0,0.28,44,
Bihar,2020,17,BHJJP,243,42137619,758253,4,0,4,0.0,0,0.01,0.56,45,
Bihar,2020,17,BHRTLKCHTP,243,42137619,1194696,7,0,7,0.0,0,0.02,0.63,46,
Bihar,2020,17,BHRTSBLP,243,42137619,9735691,57,0,57,0.0,0,0.19,0.82,47,
Bihar,2020,17,BHRTSYTKP,243,42137619,349135,2,0,2,0.0,0,0,0.15,48,
Bihar,2020,17,BHULKD,243,42137619,996587,6,0,6,0.0,0,0.02,0.69,49,
Bihar,2020,17,BIP,243,42137619,163478,1,0,1,0.0,0,0,0.15,50,
Bihar,2020,17,BJJD,243,42137619,587863,3,0,3,0.0,0,0,0.19,51,
Bihar,2020,17,BJKD,243,42137619,2073162,12,0,12,0.0,0,0.02,0.4,52,
Bihar,2020,17,BJKVP,243,42137619,1938638,11,0,11,0.0,0,0.03,0.68,53,
Bihar,2020,17,BJNJGD,243,42137619,509775,3,0,3,0.0,0,0.01,0.45,54,
Bihar,2020,17,BJNP,243,42137619,363391,2,0,2,0.0,0,0.01,1.24,55,
Bihar,2020,17,BJP,243,42137619,19271541,110,74,3,67.27272727272727,30.45,19.46,42.56,2,BHARATIYA JANATA PARTY
Bihar,2020,17,BKKMP,243,42137619,162353,1,0,1,0.0,0,0,1.05,56,
Bihar,2020,17,BKVP,243,42137619,154455,1,0,1,0.0,0,0,1.11,57,
Bihar,2020,17,BLND,243,42137619,377761,2,0,2,0.0,0,0.01,0.68,58,
Bihar,2020,17,BLRP,243,42137619,3347897,18,0,18,0.0,0,0.03,0.41,59,
Bihar,2020,17,BMF,243,42137619,1966836,12,0,12,0.0,0,0.02,0.34,60,
Bihar,2020,17,BMUP,243,42137619,9274313,53,0,53,0.0,0,0.13,0.58,61,
Bihar,2020,17,BNDl,243,42137619,693116,4,0,4,0.0,0,0.01,0.5,62,
Bihar,2020,17,BPL,243,42137619,3441764,20,0,20,0.0,0,0.06,0.75,63,
Bihar,2020,17,BRCTP,243,42137619,1122566,6,0,6,0.0,0,0.02,0.76,64,
Bihar,2020,17,BRMNP,243,42137619,198628,1,0,1,0.0,0,0,0.24,65,
Bihar,2020,17,BRRTD,243,42137619,2185024,13,0,13,0.0,0,0.03,0.55,66,
Bihar,2020,17,BRTYLKNYKP,243,42137619,528748,3,0,3,0.0,0,0,0.37,67,
Bihar,2020,17,BSP,243,42137619,13510368,78,1,73,1.2820512820512822,0.41,1.49,4.66,11,BAHUJAN SAMAJ PARTY
Bihar,2020,17,BSSPA,243,42137619,205463,1,0,1,0.0,0,0,0.35,68,
Bihar,2020,17,BTMSP,243,42137619,711874,4,0,4,0.0,0,0.01,0.52,69,
Bihar,2020,17,BVDU,243,42137619,160557,1,0,1,0.0,0,0,0.27,70,
Bihar,2020,17,BYPP,243,42137619,1040854,6,0,6,0.0,0,0.08,3.28,71,
Bihar,2020,17,BaSaPa,243,42137619,138825,1,0,1,0.0,0,0,0.93,72,
Bihar,2020,17,BhAmAP,243,42137619,892118,5,0,5,0.0,0,0.01,0.42,73,
Bihar,2020,17,BhNP,243,42137619,351684,2,0,2,0.0,0,0.01,0.71,74,
Bihar,2020,17,CPI,243,42137619,1050223,6,2,0,33.333333333333336,0.82,0.83,33.28,9,COMMUNIST PARTY OF INDIA
Bihar,2020,17,CPI(ML)(L),243,42137619,3224108,19,12,0,63.1578947368421,4.94,3.16,41.36,5,COMMUNIST PARTY OF INDIA (MARXIST-LENINIST) (LIBERATION)
Bihar,2020,17,CPIM,243,42137619,729530,4,2,0,50.0,0.82,0.65,37.58,10,
Bihar,2020,17,FJKSP,243,42137619,704218,4,0,4,0.0,0,0.02,1.05,75,
Bihar,2020,17,GGP,243,42137619,178862,1,0,1,0.0,0,0,0.32,76,
Bihar,2020,17,GJKP,243,42137619,195962,1,0,1,0.0,0,0,0.49,77,
Bihar,2020,17,GJNP,243,42137619,172891,1,0,1,0.0,0,0.01,1.32,78,
Bihar,2020,17,HAMS,243,42137619,1163311,7,4,1,57.142857142857146,1.65,0.89,32.28,7,HINDUSTANI AWAM MORCHA (SECULAR)
Bihar,2020,17,HNDUAWMMNC,243,42137619,180831,1,0,1,0.0,0,0,0.26,79,
Bihar,2020,17,HSAP,243,42137619,714382,4,0,4,0.0,0,0.01,0.38,80,
Bihar,2020,17,HSP,243,42137619,2059448,12,0,12,0.0,0,0.02,0.45,81,
Bihar,2020,17,HVD,243,42137619,156528,1,0,1,0.0,0,0,0.2,82,
Bihar,2020,17,INC,243,42137619,12138839,70,19,4,27.142857142857142,7.82,9.48,32.91,4,INDIAN NATIONAL CONGRESS
Bihar,2020,17,IND,243,42137619,42137619,1299,1,1284,0.07698229407236336,0.41,8.64,8.64,12,INDEPENDENT
Bihar,2020,17,INL,243,42137619,524370,3,0,3,0.0,0,0,0.29,83,
Bihar,2020,17,JAC,243,42137619,520323,3,0,3,0.0,0,0.01,0.67,84,
Bihar,2020,17,JANADIP,243,42137619,1051327,6,0,6,0.0,0,0.02,0.95,85,
Bihar,2020,17,JAPL,243,42137619,25647656,148,0,148,0.0,0,1.03,1.68,86,
Bihar,2020,17,JASP,243,42137619,154455,1,0,1,0.0,0,0,0.8,87,
Bihar,2020,17,JD(S),243,42137619,3673107,22,0,22,0.0,0,0.04,0.5,88,
Bihar,2020,17,JD(U),243,42137619,19748530,115,43,6,37.391304347826086,17.7,15.39,32.83,3,JANATA DAL (UNITED)
Bihar,2020,17,JDR,243,42137619,6759444,39,0,39,0.0,0,0.11,0.66,89,
Bihar,2020,17,JGHTP,243,42137619,745125,4,0,4,0.0,0,0.02,0.99,90,
Bihar,2020,17,JHP,243,42137619,171648,1,0,1,0.0,0,0.01,1.52,91,
Bihar,2020,17,JKM,243,42137619,1261559,7,0,7,0.0,0,0.01,0.22,92,
Bihar,2020,17,JKiP,243,42137619,536352,3,0,3,0.0,0,0,0.25,93,
Bihar,2020,17,JMBP,243,42137619,3326661,19,0,19,0.0,0,0.05,0.63,94,
Bihar,2020,17,JMM,243,42137619,922839,5,0,5,0.0,0,0.06,2.73,95,JHARKHAND MUKTI MORCHA
Bihar,2020,17,JMVP,243,42137619,186837,1,0,1,0.0,0,0,0.8,96,
Bihar,2020,17,JNSHKVPD,243,42137619,1567091,9,0,9,0.0,0,0.03,0.68,97,
Bihar,2020,17,JNSNGHDL,243,42137619,2775926,16,0,16,0.0,0,0.05,0.83,98,
Bihar,2020,17,JP,243,42137619,5702669,33,0,33,0.0,0,0.09,0.64,99,JANATA PARTY
Bihar,2020,17,JPJD,243,42137619,355070,2,0,2,0.0,0,0.01,0.67,100,
Bihar,2020,17,JPS,243,42137619,1247264,7,0,7,0.0,0,0.03,1.03,101,
Bihar,2020,17,JRJP,243,42137619,2361170,14,0,14,0.0,0,0.02,0.4,102,
