State_Name,Year,Assembly_No,Constituency_No,Constituency_Name,Constituency_Type,Candidate,Party,Votes,Position,Vote_Share_Percentage,Last_Position,Last_Candidate,Position_Change,Vote_Share_Change_pct
Bihar,2020,17,1,VALMIKI NAGAR,GEN,Dhirendra Pratap Singh alias Rinku singh,JD(U),74906,1,38.32,,,,38.32
Bihar,2020,17,1,VALMIKI NAGAR,GEN,Rajesh Singh,INC,53321,2,27.28,2,IRSHAD HUSSAIN,0,9.27
Bihar,2020,17,1,VALMIKI NAGAR,GEN,Sumant Kumar,JAPL,18409,3,9.42,,,,9.42
Bihar,2020,17,1,VALMIKI NAGAR,GEN,Baidyanath Prasad,BSP,14498,4,7.42,5,ALTAF HUSSAIN,1,1.42
Bihar,2020,17,1,VALMIKI NAGAR,GEN,NOTA,NOTA,8090,5,4.14,7,None of the Above,2,0.48
Bihar,2020,17,1,VALMIKI NAGAR,GEN,Mahendra Kumar Bharti,LJP,6612,6,3.38,,,,3.38
Bihar,2020,17,1,VALMIKI NAGAR,GEN,Deepak Kumar Malakar,BPL,4279,7,2.19,,,,2.19
Bihar,2020,17,1,VALMIKI NAGAR,GEN,Gaurav Jha,TPLRSP,2863,8,1.46,,,,1.46
Bihar,2020,17,1,VALMIKI NAGAR,GEN,Saket Kumar Pathak,JNSNGHDL,2735,9,1.4,,,,1.4
Bihar,2020,17,2,RAMNAGAR,SC,Bhagirathi Devi,BJP,75423,1,39.57,1,BHAGIRATHI DEVI,0,-8.48
Bihar,2020,17,2,RAMNAGAR,SC,Rajesh Ram,INC,59627,2,31.28,2,PURNMASI RAM,0,-6.25
Bihar,2020,17,2,RAMNAGAR,SC,Subodh Kumar,BYPP,26063,3,13.67,,,,13.67
Bihar,2020,17,2,RAMNAGAR,SC,NOTA,NOTA,4456,4,2.34,4,None of the Above,0,0.47
Bihar,2020,17,2,RAMNAGAR,SC,Lorik Das,FJKSP,4331,5,2.27,,,,2.27
Bihar,2020,17,2,RAMNAGAR,SC,Lokesh Ram,RLSP,4051,6,2.13,,,,2.13
Bihar,2020,17,2,RAMNAGAR,SC,Vinay Ram,JDR,3215,8,1.69,,,,1.69
Bihar,2020,17,2,RAMNAGAR,SC,Champa Devi,TPLRSP,1412,12,0.74,,,,0.74
Bihar,2020,17,3,NARKATIAGANJ,GEN,RASHMI VARMA,BJP,75484,1,45.85,2,RENU DEVI,1,19.05
Bihar,2020,17,3,NARKATIAGANJ,GEN,VINAY VARMA,INC,54350,2,33.02,1,VINAY VARMA,-1,-4.23
Bihar,2020,17,3,NARKATIAGANJ,GEN,NAUSHAD AHMAD,LJP,5408,4,3.29,,,,3.29
Bihar,2020,17,3,NARKATIAGANJ,GEN,MANJEET KUMAR VERMA,RLSP,2913,5,1.77,,,,1.77
Bihar,2020,17,3,NARKATIAGANJ,GEN,NOTA,NOTA,1647,8,1,14,None of the Above,6,0.52
Bihar,2020,17,3,NARKATIAGANJ,GEN,MOHAMMAD RASHID AZIM,NCP,1294,10,0.79,11,MANISH ALAM,1,0.16
Bihar,2020,17,3,NARKATIAGANJ,GEN,AFSAR IMAM,JAPL,1255,11,0.76,,,,0.76
Bihar,2020,17,3,NARKATIAGANJ,GEN,RAMCHANDRA MAHTO,JMBP,1148,12,0.7,,,,0.7
Bihar,2020,17,3,NARKATIAGANJ,GEN,GULREZ HODA,JNSNGHDL,1113,13,0.68,,,,0.68
Bihar,2020,17,3,NARKATIAGANJ,GEN,VIJAY RAM,JDR,979,16,0.59,16,MERAJ AHMAD,0,0.31
Bihar,2020,17,3,NARKATIAGANJ,GEN,ANUP KUMAR MISHRA,TPLRSP,959,17,0.58,,,,0.58
Bihar,2020,17,3,NARKATIAGANJ,GEN,MUNNA SINGH,FJKSP,948,18,0.58,,,,0.58
Bihar,2020,17,3,NARKATIAGANJ,GEN,MUKESH KUMAR,BJNJGD,693,20,0.42,,,,0.42
Bihar,2020,17,3,NARKATIAGANJ,GEN,AVINASH KUMAR,BHRTSBLP,674,21,0.41,,,,0.41
Bihar,2020,17,4,BAGAHA,GEN,RAM SINGH,BJP,90013,1,49.51,1,RAGHAW SHARAN PANDEY,0,5.06
Bihar,2020,17,4,BAGAHA,GEN,JAYESH MANGLAM SINGH,INC,59993,2,33,,,,33
Bihar,2020,17,4,BAGAHA,GEN,PURNMASI RAM,JNSNGHDL,3649,4,2.01,,,,2.01
Bihar,2020,17,4,BAGAHA,GEN,NOTA,NOTA,3456,5,1.9,4,None of the Above,-1,0.26
Bihar,2020,17,4,BAGAHA,GEN,SURESH MUKHIYA,JPS,2600,7,1.43,,,,1.43
Bihar,2020,17,4,BAGAHA,GEN,ATUL KUMAR SHUKLA,LKSHPLK,2364,8,1.3,,,,1.3
Bihar,2020,17,4,BAGAHA,GEN,UMESH GUPTA,RJBP,1622,9,0.89,,,,0.89
Bihar,2020,17,4,BAGAHA,GEN,MANOJ KUMAR,BJNJGD,1446,10,0.8,,,,0.8
Bihar,2020,17,4,BAGAHA,GEN,RADHESHYAM YADAV,FJKSP,1444,11,0.79,,,,0.79
Bihar,2020,17,4,BAGAHA,GEN,SHESH NATH CHAUDHARY,BRRTD,1406,12,0.77,,,,0.77
Bihar,2020,17,4,BAGAHA,GEN,DURGESH SINGH CHAUHAN,BLND,1162,14,0.64,,,,0.64
Bihar,2020,17,4,BAGAHA,GEN,SITA SHAH,TPLRSP,1032,15,0.57,,,,0.57
Bihar,2020,17,4,BAGAHA,GEN,DALSINGAR RAM,BAHUMP,862,16,0.47,,,,0.47
Bihar,2020,17,5,LAURIYA,GEN,Vinay Bihari,BJP,77927,1,49.48,1,VINAY BIHARI,0,9.01
Bihar,2020,17,5,LAURIYA,GEN,Shambhu Tiwari,RJD,48923,2,31.06,2,RAN KAUSHAL PRATAP SINGH,0,2.99
Bihar,2020,17,5,LAURIYA,GEN,Ran Kaushal Pratap Singh,BSP,17515,3,11.12,4,SUNIL KUMAR,1,4.77
Bihar,2020,17,5,LAURIYA,GEN,NOTA,NOTA,3368,4,2.14,6,None of the Above,2,0.4
Bihar,2020,17,5,LAURIYA,GEN,Ajitesh Kumar,TPLRSP,1462,7,0.93,,,,0.93
Bihar,2020,17,5,LAURIYA,GEN,Sima Devi,JAPL,1206,9,0.77,,,,0.77
Bihar,2020,17,5,LAURIYA,GEN,Abdul Quyum,JNSNGHDL,1165,10,0.74,,,,0.74
Bihar,2020,17,5,LAURIYA,GEN,Ranjit Kumar,JDR,1088,11,0.69,,,,0.69
Bihar,2020,17,6,NAUTAN,GEN,NARAYAN PRASAD,BJP,78657,1,46.97,1,NARAYAN PRASAD,0,2.62
Bihar,2020,17,6,NAUTAN,GEN,SHEIKH MOHAMMAD KAMRAN,INC,52761,2,31.51,,,,31.51
Bihar,2020,17,6,NAUTAN,GEN,NANDKISHOR PRASAD,RLSP,4587,4,2.74,,,,2.74
Bihar,2020,17,6,NAUTAN,GEN,NOTA,NOTA,1813,7,1.08,8,None of the Above,1,-0.54
Bihar,2020,17,6,NAUTAN,GEN,JAY PRAKASH SINGH KUSHWAHA,TPLRSP,1169,9,0.7,,,,0.7
Bihar,2020,17,6,NAUTAN,GEN,YADAVENDRA KUMAR,JAPL,1103,10,0.66,,,,0.66
Bihar,2020,17,6,NAUTAN,GEN,MD. SHAHNAWAZ,JNSNGHDL,952,12,0.57,,,,0.57
Bihar,2020,17,6,NAUTAN,GEN,PUNYADEO PRASAD,JRJP,592,15,0.35,,,,0.35
Bihar,2020,17,6,NAUTAN,GEN,SURENDRA CHOUDHARY,JDR,538,16,0.32,,,,0.32
Bihar,2020,17,7,CHANPATIA,GEN,Umakant Singh,BJP,83828,1,47.69,1,PRAKASH RAI,0,8.65
Bihar,2020,17,7,CHANPATIA,GEN,Abhishek Ranjan,INC,70359,2,40.03,,,,40.03
Bihar,2020,17,7,CHANPATIA,GEN,Santosh Kumar Gupta,RLSP,3526,4,2.01,,,,2.01
Bihar,2020,17,7,CHANPATIA,GEN,NOTA,NOTA,2910,5,1.66,6,None of the Above,1,-1.21
Bihar,2020,17,7,CHANPATIA,GEN,Ravisagar Bharati,ASPKR,730,9,0.42,,,,0.42
Bihar,2020,17,7,CHANPATIA,GEN,Shekh Firoz,VCSMP,690,10,0.39,,,,0.39
Bihar,2020,17,7,CHANPATIA,GEN,Bipin Nath Tiwari Alias Bipin Tiwari,LAJSP,339,12,0.19,,,,0.19
Bihar,2020,17,7,CHANPATIA,GEN,Sanjay Ram,PSS,322,13,0.18,,,,0.18
Bihar,2020,17,7,CHANPATIA,GEN,Rajeev Ranjan,TPLRSP,297,14,0.17,,,,0.17
Bihar,2020,17,8,BETTIAH,GEN,Renu Devi,BJP,84496,1,52.83,2,RENU DEVI,1,9.14
Bihar,2020,17,8,BETTIAH,GEN,Madan Mohan Tiwari,INC,66417,2,41.53,1,MADAN MOHAN TIWARI,-1,-3.73
Bihar,2020,17,8,BETTIAH,GEN,NOTA,NOTA,2017,3,1.26,4,None of the Above,1,-0.04
Bihar,2020,17,8,BETTIAH,GEN,Avkash Kumar Gupta,TPLRSP,1559,4,0.97,,,,0.97
Bihar,2020,17,8,BETTIAH,GEN,Parwez Alam,NCP,1192,5,0.75,,,,0.75
Bihar,2020,17,8,BETTIAH,GEN,Sitaram Sahani,RMGP,1012,6,0.63,,,,0.63
Bihar,2020,17,8,BETTIAH,GEN,Savita Singh Nepali,JAPL,677,8,0.42,12,ARUN YADAV,4,-0.02
Bihar,2020,17,8,BETTIAH,GEN,Nand Lal Prasad,APKSP,610,9,0.38,,,,0.38
Bihar,2020,17,8,BETTIAH,GEN,Yuvraj Navin Singh,BYPP,546,10,0.34,,,,0.34
Bihar,2020,17,8,BETTIAH,GEN,Barkat Ahmad,JNSNGHDL,425,11,0.27,,,,0.27
Bihar,2020,17,9,SIKTA,GEN,BIRENDRA PRASAD GUPTA,CPI(ML)(L),49075,1,28.85,3,BIRENDRA PRASAD GUPTA,2,25.34
Bihar,2020,17,9,SIKTA,GEN,KHURSHID FIROZ AHMAD,JD(U),35798,3,21.05,1,KHURSHID URF FIROJ AHMAD,-2,-22.43
Bihar,2020,17,9,SIKTA,GEN,RIJABANULLAH ALIAS RIZWAN RIYAZI,AIMIM,8519,4,5.01,,,,5.01
Bihar,2020,17,9,SIKTA,GEN,AKHILESHWAR PRASAD ALIAS JHUNU,BYPP,3312,6,1.95,,,,1.95
Bihar,2020,17,9,SIKTA,GEN,RAJESH PASWAN,PPID,2362,10,1.39,,,,1.39
Bihar,2020,17,9,SIKTA,GEN,TAMNNA KHATUN,TPLRSP,2237,11,1.32,,,,1.32
Bihar,2020,17,9,SIKTA,GEN,MAINUDDIN ALAM,NCP,2023,12,1.19,,,,1.19
Bihar,2020,17,9,SIKTA,GEN,NOTA,NOTA,2022,13,1.19,4,None of the Above,-9,-2.28
Bihar,2020,17,9,SIKTA,GEN,MALKHAN SINGH,JAC,1613,15,0.95,,,,0.95
Bihar,2020,17,9,SIKTA,GEN,SANDEEP PATEL,JANADIP,1393,16,0.82,,,,0.82
Bihar,2020,17,9,SIKTA,GEN,AASMA KHATOON,JNSNGHDL,1309,17,0.77,,,,0.77
Bihar,2020,17,10,RAXAUL,GEN,Pramod Kumar Sinha,BJP,80979,1,45.6,1,AJAY KUMAR SINGH,0,5.79
Bihar,2020,17,10,RAXAUL,GEN,Rambabu Prashad Yadav,INC,44056,2,24.81,,,,24.81
Bihar,2020,17,10,RAXAUL,GEN,Dr. Ajay Kumar Singh,BSP,12267,4,6.91,7,CHANDRA KISHOR PAL,3,5.88
Bihar,2020,17,10,RAXAUL,GEN,NOTA,NOTA,2784,5,1.57,4,None of the Above,-1,-0.47
Bihar,2020,17,10,RAXAUL,GEN,Umang Kumar Gupta,JMBP,942,9,0.53,,,,0.53
Bihar,2020,17,10,RAXAUL,GEN,Kundan Kumar,TPLRSP,694,10,0.39,,,,0.39
Bihar,2020,17,10,RAXAUL,GEN,Haider Ali,JDR,565,11,0.32,,,,0.32
Bihar,2020,17,10,RAXAUL,GEN,Devendra Kumar Singh,RSWD,479,12,0.27,,,,0.27
Bihar,2020,17,10,RAXAUL,GEN,Bablu Kumar,JAC,384,14,0.22,,,,0.22
Bihar,2020,17,11,SUGAULI,GEN,Er. Shashi Bhushan Singh,RJD,65267,1,38.26,2,OM PRAKASH CHOUDHARY,1,3.13
Bihar,2020,17,11,SUGAULI,GEN,Ramchandra Sahni,VSIP,61820,2,36.24,,,,36.24
Bihar,2020,17,11,SUGAULI,GEN,Vijay Prasad Gupta,LJP,14188,3,8.32,,,,8.32
Bihar,2020,17,11,SUGAULI,GEN,Sant Singh Kushwaha,RLSP,6710,4,3.93,,,,3.93
Bihar,2020,17,11,SUGAULI,GEN,Sadre Alam,AIMF,3431,5,2.01,,,,2.01
Bihar,2020,17,11,SUGAULI,GEN,Vinod Kumar Mahto,JGHTP,2499,6,1.46,,,,1.46
Bihar,2020,17,11,SUGAULI,GEN,NOTA,NOTA,2193,8,1.29,7,None of the Above,-1,-0.33
Bihar,2020,17,11,SUGAULI,GEN,Shekh Alauddin,JNSNGHDL,1973,9,1.16,,,,1.16
