State_Name,Year,Assembly_No,Party,Total_Cand,Winners,Deposit_Lost,Avg_Winning_Margin,Strike_Rate,position
Bihar,2020,17,AIMIM,20,5,14,4.52,25.0,10
Bihar,2020,17,BJP,110,74,3,7.45,67.27,1
Bihar,2020,17,BSP,78,1,73,0.15,1.28,11
Bihar,2020,17,CPI,6,2,0,4.75,33.33,7
Bihar,2020,17,CPI(ML)(L),19,12,0,8.95,63.16,2
Bihar,2020,17,CPIM,4,2,0,10.19,50.0,5
Bihar,2020,17,HAMS,7,4,1,2.52,57.14,3
Bihar,2020,17,INC,70,19,4,2.09,27.14,9
Bihar,2020,17,IND,1299,1,1284,0,0.08,13
Bihar,2020,17,JD(U),115,43,6,2.61,37.39,6
Bihar,2020,17,LJP,135,1,110,0,0.74,12
Bihar,2020,17,RJD,144,75,1,5.02,52.08,4
Bihar,2020,17,VSIP,13,4,3,1.66,30.77,8
Bihar,2015,16,BJP,157,53,1,2.5,33.76,4
Bihar,2015,16,BLSP,23,2,1,0.4,8.7,5
Bihar,2015,16,CPI(ML)(L),97,3,92,0.18,3.09,8
Bihar,2015,16,HAMS,21,1,2,0.93,4.76,6
Bihar,2015,16,INC,41,27,0,6.93,65.85,3
Bihar,2015,16,IND,1150,4,1132,0.04,0.35,9
Bihar,2015,16,JD(U),101,71,0,9.55,70.3,2
Bihar,2015,16,LJP,42,2,3,0.76,4.76,7
Bihar,2015,16,RJD,101,80,0,10.3,79.21,1
Bihar,2010,15,BJP,102,91,2,12.78,89.22,1
Bihar,2010,15,CPI,56,1,48,0.17,1.79,6
Bihar,2010,15,INC,243,4,216,0.06,1.65,7
Bihar,2010,15,IND,1342,6,1324,0.02,0.45,8
Bihar,2010,15,JD(U),141,115,1,10.85,81.56,2
Bihar,2010,15,JMM,41,1,40,0,2.44,5
Bihar,2010,15,LJP,75,3,26,0.26,4.0,4
Bihar,2010,15,RJD,168,22,23,0.72,13.1,3
Bihar,2005,14,AJVD,7,1,6,1.17,14.29,5
Bihar,2005,14,BJP,102,55,9,6.47,53.92,2
Bihar,2005,14,BSP,212,4,201,0.05,1.89,11
Bihar,2005,14,CPI,35,3,24,0.66,8.57,8
Bihar,2005,14,CPI(ML)(L),85,5,76,0.5,5.88,9
Bihar,2005,14,CPM,10,1,6,1.02,10.0,7
Bihar,2005,14,INC,51,9,5,2.29,17.65,4
Bihar,2005,14,IND,745,10,725,0.21,1.34,12
Bihar,2005,14,JD(U),139,88,9,7.62,63.31,1
Bihar,2005,14,LJP,202,10,140,0.25,4.95,10
Bihar,2005,14,NCP,8,1,3,1.4,12.5,6
Bihar,2005,14,RJD,175,54,8,1.55,30.86,3
Bihar,2005,14,SP,158,2,150,0.07,1.27,13
Bihar,2005,13,BJP,103,37,34,4.15,35.92,2
Bihar,2005,13,BSP,238,2,228,0.09,0.84,12
Bihar,2005,13,CPI,17,3,5,1.59,17.65,4
Bihar,2005,13,CPI(ML)(L),109,7,99,0.78,6.42,9
Bihar,2005,13,CPM,12,1,9,0.06,8.33,8
Bihar,2005,13,INC,84,10,58,1.89,11.9,6
Bihar,2005,13,IND,1493,17,1450,0.18,1.14,11
Bihar,2005,13,JD(U),138,55,39,4.72,39.86,1
Bihar,2005,13,LJP,178,29,101,1.36,16.29,5
Bihar,2005,13,NCP,31,3,25,0.99,9.68,7
Bihar,2005,13,RJD,215,75,29,3.46,34.88,3
Bihar,2005,13,SP,142,4,131,0.33,2.82,10
Bihar,2000,12,BJP,168,67,33,5.19,39.88,2
