Assembly_No,TCPD_Prof_Main,MLAs_var
17,Agriculture,47
17,Business,79
17,Education,7
17,Liberal Profession or Professional,6
17,Other,11
17,Politics,51
17,Retired or Pension,8
17,Salaried Work or Employed,6
17,Small Business or Self-employed,8
17,Social Work,17
17,Student,1
17,Unknown,2
16,Agriculture,49
16,Business,68
16,Education,6
16,Former Government,2
16,Liberal Profession or Professional,6
16,Other,10
16,Politics,41
16,Retired or Pension,19
16,Salaried Work or Employed,2
16,Small Business or Self-employed,2
16,Social Work,38
15,Other,228
15,Unknown,15
14,Other,191
14,Unknown,52
13,Unknown,243
