Assembly_No,Party_ID,MyNeta_education,MLAs_var_Party,Party_MLAs,Year,Party,pty_mla_var_perc
17,706,10th Pass,1,5,2020,AIMIM,20
17,706,12th Pass,1,5,2020,AIMIM,20
17,706,Graduate,1,5,2020,AIMIM,20
17,706,Graduate Professional,1,5,2020,AIMIM,20
17,706,Post Graduate,1,5,2020,AIMIM,20
17,1605,10th Pass,7,74,2020,BJP,9.46
17,1605,12th Pass,16,74,2020,BJP,21.62
17,1605,5th Pass,1,74,2020,BJP,1.35
17,1605,8th Pass,1,74,2020,BJP,1.35
17,1605,Doctorate,8,74,2020,BJP,10.81
17,1605,Graduate,22,74,2020,BJP,29.73
17,1605,Graduate Professional,7,74,2020,BJP,9.46
17,1605,Literate,4,74,2020,BJP,5.41
17,1605,Others,1,74,2020,BJP,1.35
17,1605,Post Graduate,6,74,2020,BJP,8.11
17,1605,Unknown,1,74,2020,BJP,1.35
17,16651,12th Pass,1,1,2020,BSP,100
17,2444,12th Pass,1,2,2020,CPI,50
17,2444,Graduate,1,2,2020,CPI,50
17,2472,10th Pass,2,12,2020,CPI(ML)(L),16.67
17,2472,12th Pass,3,12,2020,CPI(ML)(L),25
17,2472,Doctorate,2,12,2020,CPI(ML)(L),16.67
17,2472,Graduate,4,12,2020,CPI(ML)(L),33.33
17,2472,Post Graduate,1,12,2020,CPI(ML)(L),8.33
17,2472,Doctorate,1,2,2020,CPIM,50
17,2472,Post Graduate,1,2,2020,CPIM,50
17,3285,12th Pass,1,4,2020,HAMS,25
17,3285,Graduate,2,4,2020,HAMS,50
17,3285,Post Graduate,1,4,2020,HAMS,25
17,3482,10th Pass,1,19,2020,INC,5.26
17,3482,12th Pass,1,19,2020,INC,5.26
17,3482,Doctorate,2,19,2020,INC,10.53
17,3482,Graduate,8,19,2020,INC,42.11
17,3482,Graduate Professional,2,19,2020,INC,10.53
17,3482,Post Graduate,5,19,2020,INC,26.32
17,10809,Graduate,1,1,2020,IND,100
17,11002,10th Pass,3,43,2020,JD(U),6.98
17,11002,12th Pass,13,43,2020,JD(U),30.23
17,11002,Doctorate,5,43,2020,JD(U),11.63
17,11002,Graduate,12,43,2020,JD(U),27.91
17,11002,Graduate Professional,2,43,2020,JD(U),4.65
17,11002,Literate,1,43,2020,JD(U),2.33
17,11002,Post Graduate,7,43,2020,JD(U),16.28
17,5029,Graduate,1,1,2020,LJP,100
17,12103,10th Pass,9,75,2020,RJD,12
17,12103,12th Pass,16,75,2020,RJD,21.33
17,12103,5th Pass,1,75,2020,RJD,1.33
17,12103,8th Pass,2,75,2020,RJD,2.67
17,12103,Doctorate,4,75,2020,RJD,5.33
17,12103,Graduate,21,75,2020,RJD,28
17,12103,Graduate Professional,8,75,2020,RJD,10.67
17,12103,Literate,4,75,2020,RJD,5.33
17,12103,Post Graduate,9,75,2020,RJD,12
17,12103,Unknown,1,75,2020,RJD,1.33
17,18731,10th Pass,1,4,2020,VSIP,25
17,18731,Doctorate,1,4,2020,VSIP,25
17,18731,Graduate,1,4,2020,VSIP,25
17,18731,Post Graduate,1,4,2020,VSIP,25
16,1605,10th Pass,6,53,2015,BJP,11.32
16,1605,12th Pass,11,53,2015,BJP,20.75
16,1605,8th Pass,3,53,2015,BJP,5.66
16,1605,Doctorate,2,53,2015,BJP,3.77
16,1605,Graduate,11,53,2015,BJP,20.75
16,1605,Graduate Professional,6,53,2015,BJP,11.32
16,1605,Literate,4,53,2015,BJP,7.55
16,1605,Others,1,53,2015,BJP,1.89
16,1605,Post Graduate,9,53,2015,BJP,16.98
16,16433,Graduate,2,2,2015,BLSP,100
16,2472,10th Pass,1,3,2015,CPI(ML)(L),33.33
16,2472,12th Pass,1,3,2015,CPI(ML)(L),33.33
16,2472,Graduate,1,3,2015,CPI(ML)(L),33.33
16,3285,Graduate,1,1,2015,HAMS,100
16,3482,10th Pass,3,27,2015,INC,11.11
16,3482,12th Pass,3,27,2015,INC,11.11
16,3482,Doctorate,1,27,2015,INC,3.7
16,3482,Graduate,10,27,2015,INC,37.04
16,3482,Graduate Professional,2,27,2015,INC,7.41
16,3482,Post Graduate,8,27,2015,INC,29.63
16,10809,12th Pass,2,4,2015,IND,50
16,10809,Graduate,1,4,2015,IND,25
16,10809,Literate,1,4,2015,IND,25
16,11002,10th Pass,9,71,2015,JD(U),12.68
16,11002,12th Pass,18,71,2015,JD(U),25.35
16,11002,8th Pass,4,71,2015,JD(U),5.63
16,11002,Doctorate,4,71,2015,JD(U),5.63
16,11002,Graduate,18,71,2015,JD(U),25.35
16,11002,Graduate Professional,6,71,2015,JD(U),8.45
16,11002,Illiterate,1,71,2015,JD(U),1.41
16,11002,Literate,2,71,2015,JD(U),2.82
16,11002,Others,1,71,2015,JD(U),1.41
16,11002,Post Graduate,8,71,2015,JD(U),11.27
16,5029,12th Pass,1,2,2015,LJP,50
16,5029,Post Graduate,1,2,2015,LJP,50
16,12103,10th Pass,10,80,2015,RJD,12.5
16,12103,12th Pass,16,80,2015,RJD,20
16,12103,5th Pass,1,80,2015,RJD,1.25
16,12103,8th Pass,4,80,2015,RJD,5
16,12103,Doctorate,8,80,2015,RJD,10
16,12103,Graduate,21,80,2015,RJD,26.25
16,12103,Graduate Professional,7,80,2015,RJD,8.75
16,12103,Literate,2,80,2015,RJD,2.5
16,12103,Post Graduate,11,80,2015,RJD,13.75
15,1605,10th Pass,5,91,2010,BJP,5.49
15,1605,12th Pass,25,91,2010,BJP,27.47
15,1605,5th Pass,2,91,2010,BJP,2.2
15,1605,8th Pass,1,91,2010,BJP,1.1
15,1605,Doctorate,6,91,2010,BJP,6.59
15,1605,Graduate,21,91,2010,BJP,23.08
15,1605,Graduate Professional,3,91,2010,BJP,3.3
15,1605,Literate,4,91,2010,BJP,4.4
15,1605,Post Graduate,17,91,2010,BJP,18.68
15,1605,Unknown,7,91,2010,BJP,7.69
15,2444,12th Pass,1,1,2010,CPI,100
15,3482,10th Pass,1,4,2010,INC,25
15,3482,Graduate,1,4,2010,INC,25
15,3482,Graduate Professional,1,4,2010,INC,25
15,3482,Post Graduate,1,4,2010,INC,25
15,10809,12th Pass,1,6,2010,IND,16.67
15,10809,8th Pass,1,6,2010,IND,16.67
15,10809,Graduate,3,6,2010,IND,50
15,10809,Unknown,1,6,2010,IND,16.67
15,11002,10th Pass,17,115,2010,JD(U),14.78
15,11002,12th Pass,18,115,2010,JD(U),15.65
15,11002,5th Pass,1,115,2010,JD(U),0.87
15,11002,8th Pass,4,115,2010,JD(U),3.48
15,11002,Doctorate,10,115,2010,JD(U),8.7
15,11002,Graduate,22,115,2010,JD(U),19.13
15,11002,Graduate Professional,12,115,2010,JD(U),10.43
15,11002,Literate,5,115,2010,JD(U),4.35
15,11002,Post Graduate,18,115,2010,JD(U),15.65
15,11002,Unknown,8,115,2010,JD(U),6.96
15,4653,Graduate,1,1,2010,JMM,100
15,5029,Graduate,2,3,2010,LJP,66.67
15,5029,Graduate Professional,1,3,2010,LJP,33.33
15,12103,10th Pass,2,22,2010,RJD,9.09
15,12103,12th Pass,3,22,2010,RJD,13.64
15,12103,5th Pass,1,22,2010,RJD,4.55
15,12103,Doctorate,5,22,2010,RJD,22.73
15,12103,Graduate,4,22,2010,RJD,18.18
15,12103,Post Graduate,5,22,2010,RJD,22.73
15,12103,Unknown,2,22,2010,RJD,9.09
14,445,Unknown,1,1,2005,AJVD,100
14,1605,10th Pass,7,55,2005,BJP,12.73
14,1605,12th Pass,8,55,2005,BJP,14.55
14,1605,5th Pass,1,55,2005,BJP,1.82
14,1605,8th Pass,1,55,2005,BJP,1.82
14,1605,Graduate,9,55,2005,BJP,16.36
14,1605,Graduate Professional,5,55,2005,BJP,9.09
14,1605,Literate,3,55,2005,BJP,5.45
14,1605,Post Graduate,12,55,2005,BJP,21.82
14,1605,Unknown,9,55,2005,BJP,16.36
14,16651,10th Pass,1,4,2005,BSP,25
14,16651,12th Pass,2,4,2005,BSP,50
14,16651,Post Graduate,1,4,2005,BSP,25
14,2444,10th Pass,1,3,2005,CPI,33.33
14,2444,12th Pass,1,3,2005,CPI,33.33
14,2444,Graduate,1,3,2005,CPI,33.33
14,2472,10th Pass,2,5,2005,CPI(ML)(L),40
14,2472,12th Pass,1,5,2005,CPI(ML)(L),20
14,2472,8th Pass,1,5,2005,CPI(ML)(L),20
14,2472,Unknown,1,5,2005,CPI(ML)(L),20
14,14635,Unknown,1,1,2005,CPM,100
14,3482,10th Pass,2,9,2005,INC,22.22
14,3482,12th Pass,2,9,2005,INC,22.22
14,3482,Graduate,2,9,2005,INC,22.22
14,3482,Graduate Professional,1,9,2005,INC,11.11
14,3482,Post Graduate,1,9,2005,INC,11.11
14,3482,Unknown,1,9,2005,INC,11.11
14,10809,12th Pass,2,10,2005,IND,20
14,10809,Graduate,4,10,2005,IND,40
14,10809,Post Graduate,1,10,2005,IND,10
14,10809,Unknown,3,10,2005,IND,30
14,11002,10th Pass,14,88,2005,JD(U),15.91
14,11002,12th Pass,7,88,2005,JD(U),7.95
14,11002,5th Pass,1,88,2005,JD(U),1.14
14,11002,8th Pass,7,88,2005,JD(U),7.95
14,11002,Doctorate,5,88,2005,JD(U),5.68
14,11002,Graduate,16,88,2005,JD(U),18.18
14,11002,Graduate Professional,7,88,2005,JD(U),7.95
14,11002,Literate,2,88,2005,JD(U),2.27
14,11002,Post Graduate,12,88,2005,JD(U),13.64
14,11002,Unknown,17,88,2005,JD(U),19.32
14,5029,12th Pass,1,10,2005,LJP,10
14,5029,8th Pass,1,10,2005,LJP,10
