Assembly_No,Total_Candidates,No_Incumbents,Successful_Incumbents,Total_Seats,Turncoats,Successful_Turncoats,No_Recontests,First_contests,Second_contests,Multiple_contests,No_first_time_winners,First_Contest_winners,Year,Party_ID,pty_Total_Candidates,pty_Incumbents,pty_Turncoats,pty_Recontests,pty_First_contests,pty_Second_contests,pty_Multiple_contests,pty_first_time_winners,pty_First_Contest_winners,pty_Successful_Incumbents,pty_Successful_Turncoats,Party,pty_recontests_pct,Color,pty_incm_recontests_pct,hover_pty_incm_recontests_pct,pty_incm_Strike_Rate,hover_pty_incm_Strike_Rate,pty_turn_Strike_Rate,hover_pty_turn_Strike_Rate,pty_fist_time_winners_pct
17,3733,179,87,243,158,22,534,3034,398,301,127,89,2020,24482,4,0,0,0,4,0,0,0,0,0,0,AAAAP,0,,0,0 (0.0%),nan,nan% (0/0),nan,nan% (0/0),0
17,3733,179,87,243,158,22,534,3034,398,301,127,89,2020,24923,5,0,0,0,5,0,0,0,0,0,0,AAM,0,,0,0 (0.0%),nan,nan% (0/0),nan,nan% (0/0),0
17,3733,179,87,243,158,22,534,3034,398,301,127,89,2020,24929,1,0,0,0,1,0,0,0,0,0,0,ABMVMP,0,,0,0 (0.0%),nan,nan% (0/0),nan,nan% (0/0),0
17,3733,179,87,243,158,22,534,3034,398,301,127,89,2020,24932,3,0,0,0,3,0,0,0,0,0,0,ACDP,0,,0,0 (0.0%),nan,nan% (0/0),nan,nan% (0/0),0
17,3733,179,87,243,158,22,534,3034,398,301,127,89,2020,443,7,0,0,2,5,1,1,0,0,0,0,AHFBK,0.37,,0,0 (0.0%),nan,nan% (0/0),nan,nan% (0/0),0
17,3733,179,87,243,158,22,534,3034,398,301,127,89,2020,3040,12,0,1,0,11,1,0,0,0,0,0,AIFB,0,#DA0000,0,0 (0.0%),nan,nan% (0/0),0,0.0% (0/1),0
17,3733,179,87,243,158,22,534,3034,398,301,127,89,2020,24930,2,0,0,0,2,0,0,0,0,0,0,AIMEIEM,0,,0,0 (0.0%),nan,nan% (0/0),nan,nan% (0/0),0
17,3733,179,87,243,158,22,534,3034,398,301,127,89,2020,726,7,0,0,0,5,2,0,0,0,0,0,AIMF,0,,0,0 (0.0%),nan,nan% (0/0),nan,nan% (0/0),0
17,3733,179,87,243,158,22,534,3034,398,301,127,89,2020,706,20,0,2,2,16,2,2,4,2,0,2,AIMIM,0.37,#285B35,0,0 (0.0%),nan,nan% (0/0),100,100.0% (2/2),3.15
17,3733,179,87,243,158,22,534,3034,398,301,127,89,2020,40,10,0,0,0,10,0,0,0,0,0,0,AJPR,0,,0,0 (0.0%),nan,nan% (0/0),nan,nan% (0/0),0
17,3733,179,87,243,158,22,534,3034,398,301,127,89,2020,24924,3,0,0,0,3,0,0,0,0,0,0,AJPS,0,,0,0 (0.0%),nan,nan% (0/0),nan,nan% (0/0),0
17,3733,179,87,243,158,22,534,3034,398,301,127,89,2020,393,1,0,0,0,1,0,0,0,0,0,0,AKBHAD,0,,0,0 (0.0%),nan,nan% (0/0),nan,nan% (0/0),0
17,3733,179,87,243,158,22,534,3034,398,301,127,89,2020,388,1,0,0,0,1,0,0,0,0,0,0,AKBMP,0,,0,0 (0.0%),nan,nan% (0/0),nan,nan% (0/0),0
17,3733,179,87,243,158,22,534,3034,398,301,127,89,2020,24928,3,0,0,0,3,0,0,0,0,0,0,AKHDBRYVP,0,,0,0 (0.0%),nan,nan% (0/0),nan,nan% (0/0),0
