Assembly_No,Party_ID,TCPD_Prof_Main,MLAs_var_Party,Party_MLAs,Year,Party,pty_mla_var_perc
17,706,Agriculture,1,5,2020,AIMIM,20
17,706,Business,3,5,2020,AIMIM,60
17,706,Other,1,5,2020,AIMIM,20
17,1605,Agriculture,12,74,2020,BJP,16.22
17,1605,Business,24,74,2020,BJP,32.43
17,1605,Education,1,74,2020,BJP,1.35
17,1605,Liberal Profession or Professional,1,74,2020,BJP,1.35
17,1605,Other,3,74,2020,BJP,4.05
17,1605,Politics,17,74,2020,BJP,22.97
17,1605,Retired or Pension,4,74,2020,BJP,5.41
17,1605,Salaried Work or Employed,3,74,2020,BJP,4.05
17,1605,Small Business or Self-employed,1,74,2020,BJP,1.35
17,1605,Social Work,6,74,2020,BJP,8.11
17,1605,Student,1,74,2020,BJP,1.35
17,1605,Unknown,1,74,2020,BJP,1.35
17,16651,Agriculture,1,1,2020,BSP,100
17,2444,Business,1,2,2020,CPI,50
17,2444,Politics,1,2,2020,CPI,50
17,2472,Agriculture,4,12,2020,CPI(ML)(L),33.33
17,2472,Other,4,12,2020,CPI(ML)(L),33.33
17,2472,Politics,2,12,2020,CPI(ML)(L),16.67
17,2472,Salaried Work or Employed,1,12,2020,CPI(ML)(L),8.33
17,2472,Social Work,1,12,2020,CPI(ML)(L),8.33
17,2472,Politics,1,2,2020,CPIM,50
17,2472,Social Work,1,2,2020,CPIM,50
17,3285,Education,2,4,2020,HAMS,50
17,3285,Politics,1,4,2020,HAMS,25
17,3285,Social Work,1,4,2020,HAMS,25
17,3482,Agriculture,5,19,2020,INC,26.32
17,3482,Business,5,19,2020,INC,26.32
17,3482,Education,1,19,2020,INC,5.26
17,3482,Liberal Profession or Professional,1,19,2020,INC,5.26
17,3482,Other,1,19,2020,INC,5.26
17,3482,Politics,4,19,2020,INC,21.05
17,3482,Retired or Pension,1,19,2020,INC,5.26
17,3482,Salaried Work or Employed,1,19,2020,INC,5.26
17,10809,Agriculture,1,1,2020,IND,100
17,11002,Agriculture,10,43,2020,JD(U),23.26
17,11002,Business,11,43,2020,JD(U),25.58
17,11002,Education,2,43,2020,JD(U),4.65
17,11002,Liberal Profession or Professional,1,43,2020,JD(U),2.33
17,11002,Other,1,43,2020,JD(U),2.33
17,11002,Politics,12,43,2020,JD(U),27.91
17,11002,Retired or Pension,1,43,2020,JD(U),2.33
17,11002,Salaried Work or Employed,1,43,2020,JD(U),2.33
17,11002,Small Business or Self-employed,1,43,2020,JD(U),2.33
17,11002,Social Work,3,43,2020,JD(U),6.98
17,5029,Business,1,1,2020,LJP,100
17,12103,Agriculture,13,75,2020,RJD,17.33
17,12103,Business,33,75,2020,RJD,44
17,12103,Education,1,75,2020,RJD,1.33
17,12103,Liberal Profession or Professional,3,75,2020,RJD,4
17,12103,Other,1,75,2020,RJD,1.33
17,12103,Politics,11,75,2020,RJD,14.67
17,12103,Retired or Pension,2,75,2020,RJD,2.67
17,12103,Small Business or Self-employed,5,75,2020,RJD,6.67
17,12103,Social Work,5,75,2020,RJD,6.67
17,12103,Unknown,1,75,2020,RJD,1.33
17,18731,Business,1,4,2020,VSIP,25
17,18731,Politics,2,4,2020,VSIP,50
17,18731,Small Business or Self-employed,1,4,2020,VSIP,25
16,1605,Agriculture,10,53,2015,BJP,18.87
16,1605,Business,13,53,2015,BJP,24.53
16,1605,Education,1,53,2015,BJP,1.89
16,1605,Liberal Profession or Professional,1,53,2015,BJP,1.89
16,1605,Other,1,53,2015,BJP,1.89
16,1605,Politics,10,53,2015,BJP,18.87
16,1605,Retired or Pension,3,53,2015,BJP,5.66
16,1605,Small Business or Self-employed,1,53,2015,BJP,1.89
16,1605,Social Work,13,53,2015,BJP,24.53
16,16433,Agriculture,1,2,2015,BLSP,50
16,16433,Politics,1,2,2015,BLSP,50
16,2472,Agriculture,1,3,2015,CPI(ML)(L),33.33
16,2472,Retired or Pension,1,3,2015,CPI(ML)(L),33.33
16,2472,Social Work,1,3,2015,CPI(ML)(L),33.33
16,3285,Social Work,1,1,2015,HAMS,100
16,3482,Agriculture,4,27,2015,INC,14.81
16,3482,Business,9,27,2015,INC,33.33
16,3482,Education,1,27,2015,INC,3.7
16,3482,Former Government,1,27,2015,INC,3.7
16,3482,Other,2,27,2015,INC,7.41
16,3482,Politics,3,27,2015,INC,11.11
16,3482,Retired or Pension,2,27,2015,INC,7.41
16,3482,Social Work,5,27,2015,INC,18.52
16,10809,Agriculture,1,4,2015,IND,25
16,10809,Business,3,4,2015,IND,75
16,11002,Agriculture,12,71,2015,JD(U),16.9
16,11002,Business,14,71,2015,JD(U),19.72
16,11002,Former Government,1,71,2015,JD(U),1.41
16,11002,Other,2,71,2015,JD(U),2.82
16,11002,Politics,23,71,2015,JD(U),32.39
16,11002,Retired or Pension,7,71,2015,JD(U),9.86
16,11002,Salaried Work or Employed,1,71,2015,JD(U),1.41
16,11002,Social Work,11,71,2015,JD(U),15.49
16,5029,Business,2,2,2015,LJP,100
16,12103,Agriculture,20,80,2015,RJD,25
16,12103,Business,27,80,2015,RJD,33.75
16,12103,Education,4,80,2015,RJD,5
16,12103,Liberal Profession or Professional,5,80,2015,RJD,6.25
16,12103,Other,5,80,2015,RJD,6.25
16,12103,Politics,4,80,2015,RJD,5
16,12103,Retired or Pension,6,80,2015,RJD,7.5
16,12103,Salaried Work or Employed,1,80,2015,RJD,1.25
16,12103,Small Business or Self-employed,1,80,2015,RJD,1.25
16,12103,Social Work,7,80,2015,RJD,8.75
15,1605,Other,84,91,2010,BJP,92.31
15,1605,Unknown,7,91,2010,BJP,7.69
15,2444,Other,1,1,2010,CPI,100
15,3482,Other,4,4,2010,INC,100
15,10809,Other,5,6,2010,IND,83.33
15,10809,Unknown,1,6,2010,IND,16.67
