State_Name,Year,Assembly_No,Party,Total_Seats_in_Assembly,Total_Votes_in_Assembly,Total_Votes_in_Contested_Seats,Total_Candidates,Winners,Deposits_Lost,Strike_Rate,Seat_Share,Vote_Share_in_Assembly,Vote_Share_in_Contested_Seats,position,Expanded_Party_Name
Chhattisgarh,2018,4,AAP,90,14276991,13349350,85,0,85,0.0,0,0.87,0.93,5,
Chhattisgarh,2018,4,ABHM,90,14276991,396466,3,0,3,0.0,0,0,0.14,6,
Chhattisgarh,2018,4,ABSDSP,90,14276991,391504,3,0,3,0.0,0,0,0.11,7,
Chhattisgarh,2018,4,ABSKP,90,14276991,144651,1,0,1,0.0,0,0,0.27,8,
Chhattisgarh,2018,4,ADVIP,90,14276991,168016,1,0,1,0.0,0,0.01,0.84,9,
Chhattisgarh,2018,4,ANAP,90,14276991,147238,1,0,1,0.0,0,0,0.04,10,
Chhattisgarh,2018,4,API,90,14276991,7917611,50,0,50,0.0,0,0.29,0.53,11,
Chhattisgarh,2018,4,ASBAP,90,14276991,637051,4,0,4,0.0,0,0.02,0.39,12,
Chhattisgarh,2018,4,ASSP,90,14276991,177051,1,0,1,0.0,0,0,0.4,13,
Chhattisgarh,2018,4,BBC,90,14276991,695374,4,0,4,0.0,0,0.01,0.3,14,
Chhattisgarh,2018,4,BBHP,90,14276991,1269779,8,0,8,0.0,0,0.03,0.3,15,
Chhattisgarh,2018,4,BHBP,90,14276991,173013,1,0,1,0.0,0,0,0.13,16,
Chhattisgarh,2018,4,BHKP,90,14276991,452737,3,0,3,0.0,0,0.01,0.24,17,
Chhattisgarh,2018,4,BHMM,90,14276991,448060,3,0,3,0.0,0,0.01,0.33,18,
Chhattisgarh,2018,4,BJP,90,14276991,14276991,90,15,0,16.666666666666668,16.67,32.97,32.97,2,BHARATIYA JANATA PARTY
Chhattisgarh,2018,4,BLRP,90,14276991,367037,2,0,2,0.0,0,0,0.16,19,
Chhattisgarh,2018,4,BMUP,90,14276991,1290240,8,0,8,0.0,0,0.05,0.58,20,
Chhattisgarh,2018,4,BNIP,90,14276991,144651,1,0,1,0.0,0,0,0.18,21,
Chhattisgarh,2018,4,BPCP,90,14276991,1556041,11,0,11,0.0,0,0.06,0.54,22,
Chhattisgarh,2018,4,BPSGKD,90,14276991,158348,1,0,1,0.0,0,0.01,0.69,23,
Chhattisgarh,2018,4,BRSP,90,14276991,191533,1,0,1,0.0,0,0,0.22,24,
Chhattisgarh,2018,4,BSCP,90,14276991,1414920,8,0,8,0.0,0,0.04,0.39,25,
Chhattisgarh,2018,4,BSHSP,90,14276991,364786,2,0,2,0.0,0,0,0.15,26,
Chhattisgarh,2018,4,BSP,90,14276991,5572657,35,2,28,5.714285714285714,2.22,3.87,9.91,4,BAHUJAN SAMAJ PARTY
Chhattisgarh,2018,4,BSSP,90,14276991,330614,2,0,2,0.0,0,0,0.08,27,
Chhattisgarh,2018,4,BTP,90,14276991,823846,5,0,5,0.0,0,0.04,0.67,28,
Chhattisgarh,2018,4,CGVP,90,14276991,154978,1,0,1,0.0,0,0.01,0.68,29,
Chhattisgarh,2018,4,CMM,90,14276991,155901,1,0,1,0.0,0,0,0.12,30,
Chhattisgarh,2018,4,CPI,90,14276991,935117,7,0,6,0.0,0,0.34,5.16,31,
Chhattisgarh,2018,4,CPI(M)RS,90,14276991,356111,2,0,2,0.0,0,0.02,0.85,32,
Chhattisgarh,2018,4,CPM,90,14276991,478241,3,0,3,0.0,0,0.06,1.75,33,
Chhattisgarh,2018,4,CSJP,90,14276991,306023,2,0,2,0.0,0,0,0.06,34,
Chhattisgarh,2018,4,CSM,90,14276991,2151074,13,0,13,0.0,0,0.05,0.36,35,
Chhattisgarh,2018,4,CSP,90,14276991,456232,3,0,3,0.0,0,0.01,0.27,36,
Chhattisgarh,2018,4,CVGRP,90,14276991,295192,2,0,2,0.0,0,0.01,0.54,37,
Chhattisgarh,2018,4,DEPI,90,14276991,148425,1,0,1,0.0,0,0.01,0.65,38,
Chhattisgarh,2018,4,GGP,90,14276991,6055100,38,0,36,0.0,0,1.73,4.09,39,
Chhattisgarh,2018,4,INC,90,14276991,14276991,90,68,3,75.55555555555556,75.56,43.04,43.04,1,INDIAN NATIONAL CONGRESS
