State_Name,Year,Assembly_No,Constituency_No,Constituency_Name,Constituency_Type,Candidate,Party,Votes,Position,Vote_Share_Percentage,Last_Position,Last_Candidate,Position_Change,Vote_Share_Change_pct
Chhattisgarh,2018,4,1,BHARATPUR-SONHAT,ST,GULAB KAMRO,INC,51732,1,38.85,2,GULAB KAMRO,1,6.6
Chhattisgarh,2018,4,1,BHARATPUR-SONHAT,ST,CHAMPADEVI PAWLE,BJP,35199,2,26.43,1,CHAMPA DEVI PAWLE,-1,-9.7
Chhattisgarh,2018,4,1,BHARATPUR-SONHAT,ST,SHYAM SINGH MARKAM,GGP,26632,3,20,3,KANAS LAL,0,4.71
Chhattisgarh,2018,4,1,BHARATPUR-SONHAT,ST,KRISHANA PRASAD CHERVA,BSP,9689,4,7.28,5,KRISHNA KUMAR CHERWA,1,3.6
Chhattisgarh,2018,4,1,BHARATPUR-SONHAT,ST,None of the Above,NOTA,3360,5,2.52,6,None of the Above,1,-0.82
Chhattisgarh,2018,4,1,BHARATPUR-SONHAT,ST,SUKHMANTI BAI,AAP,2205,6,1.66,,,,1.66
Chhattisgarh,2018,4,1,BHARATPUR-SONHAT,ST,KRISHNA KANT NAGVANSHI,CVGRP,1409,8,1.06,,,,1.06
Chhattisgarh,2018,4,1,BHARATPUR-SONHAT,ST,MADANLAL,BPCP,837,9,0.63,,,,0.63
Chhattisgarh,2018,4,1,BHARATPUR-SONHAT,ST,POOJA SINGH POYA,PHSP(U),626,10,0.47,,,,0.47
Chhattisgarh,2018,4,2,MANENDRAGARH,GEN,DR. VINAY JAISWAL,INC,35819,1,36.59,2,GULAB SINGH,1,5.24
Chhattisgarh,2018,4,2,MANENDRAGARH,GEN,SHYAM BIHARI JAISWAL,BJP,31745,2,32.43,1,SHYAM BIHARI JAISWAL,-1,-3.53
Chhattisgarh,2018,4,2,MANENDRAGARH,GEN,LAKHAN LAL SHRIVASTAVA (PANI WALE BABA),JCC(J),12907,3,13.19,,,,13.19
Chhattisgarh,2018,4,2,MANENDRAGARH,GEN,ADITYA RAJ DAVID,GGP,11564,4,11.81,4,PAVAN KUMAR NETI,0,1.06
Chhattisgarh,2018,4,2,MANENDRAGARH,GEN,None of the Above,NOTA,2112,5,2.16,5,None of the Above,0,-0.51
Chhattisgarh,2018,4,2,MANENDRAGARH,GEN,SATISH KUMAR SINGH,AAP,1004,6,1.03,,,,1.03
Chhattisgarh,2018,4,2,MANENDRAGARH,GEN,JALJEET SINGH POYA,RGOP,526,9,0.54,,,,0.54
Chhattisgarh,2018,4,2,MANENDRAGARH,GEN,DR. FLORENCE NIGHTINGLE SAGAR (DR. LAKRA MADAM),JD(U),374,10,0.38,,,,0.38
Chhattisgarh,2018,4,2,MANENDRAGARH,GEN,PARATAP SINGH,BPCP,266,11,0.27,,,,0.27
Chhattisgarh,2018,4,3,BAIKUNTHPUR,GEN,AMBICA SINGH DEO,INC,48885,1,37.73,2,BEDANTI TIVARI,1,-0.74
Chhattisgarh,2018,4,3,BAIKUNTHPUR,GEN,BHAIYALAL RAJWADE,BJP,43546,2,33.61,1,BHAIYALAL RAJWADE,-1,-5.78
Chhattisgarh,2018,4,3,BAIKUNTHPUR,GEN,ENGR.SANJAY SINGH KAMRO,GGP,20247,3,15.63,3,ENGINEER SANJAY SINGH KAMRO,0,0.54
Chhattisgarh,2018,4,3,BAIKUNTHPUR,GEN,BIHARI LAL RAJWADE,JCC(J),9236,4,7.13,,,,7.13
Chhattisgarh,2018,4,3,BAIKUNTHPUR,GEN,None of the Above,NOTA,2630,5,2.03,4,None of the Above,-1,-0.8
Chhattisgarh,2018,4,3,BAIKUNTHPUR,GEN,SUNIL SINGH,AAP,1504,6,1.16,,,,1.16
Chhattisgarh,2018,4,3,BAIKUNTHPUR,GEN,RAM PRATAP SAHU,BPCP,579,10,0.45,,,,0.45
Chhattisgarh,2018,4,3,BAIKUNTHPUR,GEN,LAV SINGH UDAY,RGOP,426,11,0.33,6,CHINTAMANI SANDIL,-5,-0.92
Chhattisgarh,2018,4,4,PREMNAGAR,GEN,KHEL SAI SINGH,INC,66475,1,38.75,1,KHELSAI SINGH,0,-9.56
Chhattisgarh,2018,4,4,PREMNAGAR,GEN,VIJAY PRATAP SINGH,BJP,51135,2,29.81,2,RENUKA SINGH,0,-7.05
Chhattisgarh,2018,4,4,PREMNAGAR,GEN,JAINATH SINGH KERAM,GGP,26388,3,15.38,5,RAMDAYAL UIKE,2,13.42
Chhattisgarh,2018,4,4,PREMNAGAR,GEN,PANKAJ TIWARI,JCC(J),11842,4,6.9,,,,6.9
Chhattisgarh,2018,4,4,PREMNAGAR,GEN,None of the Above,NOTA,4058,5,2.37,3,None of the Above,-2,-1.21
Chhattisgarh,2018,4,4,PREMNAGAR,GEN,ANJAY JAIN,AAP,2178,6,1.27,,,,1.27
Chhattisgarh,2018,4,4,PREMNAGAR,GEN,KHEMRAJ SINGH,BPCP,717,13,0.42,,,,0.42
Chhattisgarh,2018,4,4,PREMNAGAR,GEN,MALTI BIHARI RAJWADE,JD(U),608,14,0.35,7,KHEMRAJ SINGH,-7,-1.09
Chhattisgarh,2018,4,5,BHATGAON,GEN,PARAS NATH RAJWADE,INC,74623,1,43.29,1,PARAS NATH RAJWADE,0,1.75
Chhattisgarh,2018,4,5,BHATGAON,GEN,RAJNI RAVISHANKAR TRIPATHI,BJP,58889,2,34.17,2,RAJNI RAVISHANKAR TRIPATHI,0,-2.83
Chhattisgarh,2018,4,5,BHATGAON,GEN,RAM ADHEEN POYA,SP,10050,3,5.83,,,,5.83
Chhattisgarh,2018,4,5,BHATGAON,GEN,SURENDRA CHOUDHARY,JCC(J),9067,4,5.26,,,,5.26
Chhattisgarh,2018,4,5,BHATGAON,GEN,SURENDRA LAL SINGH NETI,CPM,2673,6,1.55,6,COMRADE BAL SINGH,0,-0.75
Chhattisgarh,2018,4,5,BHATGAON,GEN,None of the Above,NOTA,981,11,0.57,5,None of the Above,-6,-2.19
Chhattisgarh,2018,4,5,BHATGAON,GEN,D. K. SONI,AAP,877,12,0.51,,,,0.51
Chhattisgarh,2018,4,5,BHATGAON,GEN,MOHAN SINGH TEKAM,SHS,734,16,0.43,,,,0.43
Chhattisgarh,2018,4,5,BHATGAON,GEN,RAMLAL RAJWADE,BPCP,517,19,0.3,,,,0.3
