State_Name,Year,Assembly_No,Party,Total_Cand,Winners,Deposit_Lost,Avg_Winning_Margin,Strike_Rate,position
Chhattisgarh,2018,4,BJP,90,15,0,1.14,16.67,2
Chhattisgarh,2018,4,BSP,35,2,28,0.46,5.71,4
Chhattisgarh,2018,4,INC,90,68,3,11.39,75.56,1
Chhattisgarh,2018,4,JCC(J),57,5,44,0.92,8.77,3
Chhattisgarh,2013,3,BJP,90,49,0,4.94,54.44,1
Chhattisgarh,2013,3,BSP,90,1,84,0.02,1.11,3
Chhattisgarh,2013,3,INC,90,39,1,4.17,43.33,2
Chhattisgarh,2013,3,IND,355,1,353,0.01,0.28,4
Chhattisgarh,2008,2,BJP,90,50,0,5.24,55.56,1
Chhattisgarh,2008,2,BSP,90,2,83,0.09,2.22,3
Chhattisgarh,2008,2,INC,87,38,1,3.71,43.68,2
Chhattisgarh,2003,1,BJP,90,50,0,6.31,55.56,1
Chhattisgarh,2003,1,BSP,54,2,46,0.17,3.7,3
Chhattisgarh,2003,1,INC,90,37,0,3.75,41.11,2
Chhattisgarh,2003,1,NCP,89,1,84,0.15,1.12,4
