State_Name,Year,Assembly_No,Party,Sub_Region,Total_Cand,Winners,Deposit_Lost,Avg_Winning_Margin,Strike_Rate,position
Chhattisgarh,2018,4,AAP,BASTAR PLATEAU,11,0,11,0,0.0,8
Chhattisgarh,2018,4,AAP,CHHATTISGARH PLAINS,60,0,60,0,0.0,9
Chhattisgarh,2018,4,AAP,NOTHERN HILLS,14,0,14,0,0.0,10
Chhattisgarh,2018,4,ABHM,CHHATTISGARH PLAINS,3,0,3,0,0.0,11
Chhattisgarh,2018,4,ABSDSP,CHHATTISGARH PLAINS,3,0,3,0,0.0,12
Chhattisgarh,2018,4,ABSKP,BASTAR PLATEAU,1,0,1,0,0.0,13
Chhattisgarh,2018,4,ADVIP,CHHATTISGARH PLAINS,1,0,1,0,0.0,14
Chhattisgarh,2018,4,ANAP,CHHATTISGARH PLAINS,1,0,1,0,0.0,15
Chhattisgarh,2018,4,API,BASTAR PLATEAU,4,0,4,0,0.0,16
Chhattisgarh,2018,4,API,CHHATTISGARH PLAINS,42,0,42,0,0.0,17
Chhattisgarh,2018,4,API,NOTHERN HILLS,4,0,4,0,0.0,18
Chhattisgarh,2018,4,ASBAP,CHHATTISGARH PLAINS,4,0,4,0,0.0,19
Chhattisgarh,2018,4,ASSP,CHHATTISGARH PLAINS,1,0,1,0,0.0,20
Chhattisgarh,2018,4,BBC,CHHATTISGARH PLAINS,3,0,3,0,0.0,21
Chhattisgarh,2018,4,BBC,NOTHERN HILLS,1,0,1,0,0.0,22
Chhattisgarh,2018,4,BBHP,CHHATTISGARH PLAINS,8,0,8,0,0.0,23
Chhattisgarh,2018,4,BHBP,CHHATTISGARH PLAINS,1,0,1,0,0.0,24
Chhattisgarh,2018,4,BHKP,CHHATTISGARH PLAINS,3,0,3,0,0.0,25
Chhattisgarh,2018,4,BHMM,CHHATTISGARH PLAINS,3,0,3,0,0.0,26
Chhattisgarh,2018,4,BJP,BASTAR PLATEAU,12,1,0,0.16,8.33,7
Chhattisgarh,2018,4,BJP,CHHATTISGARH PLAINS,64,14,0,1.57,21.88,4
Chhattisgarh,2018,4,BJP,NOTHERN HILLS,14,0,0,0,0.0,27
Chhattisgarh,2018,4,BLRP,CHHATTISGARH PLAINS,2,0,2,0,0.0,28
Chhattisgarh,2018,4,BMUP,CHHATTISGARH PLAINS,2,0,2,0,0.0,29
Chhattisgarh,2018,4,BMUP,NOTHERN HILLS,6,0,6,0,0.0,30
Chhattisgarh,2018,4,BNIP,BASTAR PLATEAU,1,0,1,0,0.0,31
Chhattisgarh,2018,4,BPCP,BASTAR PLATEAU,3,0,3,0,0.0,32
Chhattisgarh,2018,4,BPCP,CHHATTISGARH PLAINS,3,0,3,0,0.0,33
Chhattisgarh,2018,4,BPCP,NOTHERN HILLS,5,0,5,0,0.0,34
Chhattisgarh,2018,4,BPSGKD,CHHATTISGARH PLAINS,1,0,1,0,0.0,35
Chhattisgarh,2018,4,BRSP,CHHATTISGARH PLAINS,1,0,1,0,0.0,36
Chhattisgarh,2018,4,BSCP,CHHATTISGARH PLAINS,8,0,8,0,0.0,37
Chhattisgarh,2018,4,BSHSP,CHHATTISGARH PLAINS,2,0,2,0,0.0,38
Chhattisgarh,2018,4,BSP,BASTAR PLATEAU,6,0,6,0,0.0,39
Chhattisgarh,2018,4,BSP,CHHATTISGARH PLAINS,23,2,16,0.7,8.7,6
Chhattisgarh,2018,4,BSP,NOTHERN HILLS,6,0,6,0,0.0,40
Chhattisgarh,2018,4,BSSP,CHHATTISGARH PLAINS,2,0,2,0,0.0,41
Chhattisgarh,2018,4,BTP,CHHATTISGARH PLAINS,3,0,3,0,0.0,42
Chhattisgarh,2018,4,BTP,NOTHERN HILLS,2,0,2,0,0.0,43
Chhattisgarh,2018,4,CGVP,CHHATTISGARH PLAINS,1,0,1,0,0.0,44
Chhattisgarh,2018,4,CMM,CHHATTISGARH PLAINS,1,0,1,0,0.0,45
Chhattisgarh,2018,4,CPI,BASTAR PLATEAU,5,0,4,0,0.0,46
Chhattisgarh,2018,4,CPI,CHHATTISGARH PLAINS,2,0,2,0,0.0,47
Chhattisgarh,2018,4,CPI(M)RS,CHHATTISGARH PLAINS,2,0,2,0,0.0,48
Chhattisgarh,2018,4,CPM,CHHATTISGARH PLAINS,1,0,1,0,0.0,49
Chhattisgarh,2018,4,CPM,NOTHERN HILLS,2,0,2,0,0.0,50
Chhattisgarh,2018,4,CSJP,CHHATTISGARH PLAINS,2,0,2,0,0.0,51
Chhattisgarh,2018,4,CSM,BASTAR PLATEAU,1,0,1,0,0.0,52
Chhattisgarh,2018,4,CSM,CHHATTISGARH PLAINS,11,0,11,0,0.0,53
Chhattisgarh,2018,4,CSM,NOTHERN HILLS,1,0,1,0,0.0,54
Chhattisgarh,2018,4,CSP,CHHATTISGARH PLAINS,2,0,2,0,0.0,55
Chhattisgarh,2018,4,CSP,NOTHERN HILLS,1,0,1,0,0.0,56
Chhattisgarh,2018,4,CVGRP,CHHATTISGARH PLAINS,1,0,1,0,0.0,57
Chhattisgarh,2018,4,CVGRP,NOTHERN HILLS,1,0,1,0,0.0,58
Chhattisgarh,2018,4,DEPI,CHHATTISGARH PLAINS,1,0,1,0,0.0,59
Chhattisgarh,2018,4,GGP,BASTAR PLATEAU,3,0,3,0,0.0,60
Chhattisgarh,2018,4,GGP,CHHATTISGARH PLAINS,26,0,25,0,0.0,61
Chhattisgarh,2018,4,GGP,NOTHERN HILLS,9,0,8,0,0.0,62
Chhattisgarh,2018,4,INC,BASTAR PLATEAU,12,11,0,12.63,91.67,2
Chhattisgarh,2018,4,INC,CHHATTISGARH PLAINS,64,43,3,10.71,67.19,3
Chhattisgarh,2018,4,INC,NOTHERN HILLS,14,14,0,13.42,100.0,1
Chhattisgarh,2018,4,IND,BASTAR PLATEAU,20,0,20,0,0.0,63
Chhattisgarh,2018,4,IND,CHHATTISGARH PLAINS,463,0,459,0,0.0,64
Chhattisgarh,2018,4,IND,NOTHERN HILLS,78,0,77,0,0.0,65
Chhattisgarh,2018,4,IPBP,BASTAR PLATEAU,2,0,2,0,0.0,66
Chhattisgarh,2018,4,IPBP,CHHATTISGARH PLAINS,5,0,5,0,0.0,67
Chhattisgarh,2018,4,JC,CHHATTISGARH PLAINS,4,0,4,0,0.0,68
Chhattisgarh,2018,4,JC,NOTHERN HILLS,1,0,1,0,0.0,69
Chhattisgarh,2018,4,JCC(J),BASTAR PLATEAU,6,0,6,0,0.0,70
Chhattisgarh,2018,4,JCC(J),CHHATTISGARH PLAINS,43,5,30,1.23,11.63,5
Chhattisgarh,2018,4,JCC(J),NOTHERN HILLS,8,0,8,0,0.0,71
Chhattisgarh,2018,4,JD(U),BASTAR PLATEAU,1,0,1,0,0.0,72
Chhattisgarh,2018,4,JD(U),CHHATTISGARH PLAINS,9,0,9,0,0.0,73
Chhattisgarh,2018,4,JD(U),NOTHERN HILLS,3,0,3,0,0.0,74
Chhattisgarh,2018,4,KMZSP,CHHATTISGARH PLAINS,1,0,1,0,0.0,75
Chhattisgarh,2018,4,LSWP,CHHATTISGARH PLAINS,1,0,1,0,0.0,76
Chhattisgarh,2018,4,NCP,CHHATTISGARH PLAINS,11,0,11,0,0.0,77
Chhattisgarh,2018,4,NCP,NOTHERN HILLS,1,0,1,0,0.0,78
Chhattisgarh,2018,4,NDPF,CHHATTISGARH PLAINS,5,0,5,0,0.0,79
Chhattisgarh,2018,4,NINSHAD,CHHATTISGARH PLAINS,2,0,2,0,0.0,80
Chhattisgarh,2018,4,NOTA,BASTAR PLATEAU,12,0,0,0,0.0,81
Chhattisgarh,2018,4,NOTA,CHHATTISGARH PLAINS,64,0,0,0,0.0,82
Chhattisgarh,2018,4,NOTA,NOTHERN HILLS,14,0,0,0,0.0,83
Chhattisgarh,2018,4,PHSP(U),CHHATTISGARH PLAINS,6,0,6,0,0.0,84
Chhattisgarh,2018,4,PHSP(U),NOTHERN HILLS,2,0,2,0,0.0,85
Chhattisgarh,2018,4,RGOP,BASTAR PLATEAU,1,0,1,0,0.0,86
Chhattisgarh,2018,4,RGOP,CHHATTISGARH PLAINS,5,0,5,0,0.0,87
Chhattisgarh,2018,4,RGOP,NOTHERN HILLS,2,0,2,0,0.0,88
Chhattisgarh,2018,4,RJSMP,BASTAR PLATEAU,1,0,1,0,0.0,89
Chhattisgarh,2018,4,RP(K),CHHATTISGARH PLAINS,1,0,1,0,0.0,90
Chhattisgarh,2018,4,RPI(A),CHHATTISGARH PLAINS,5,0,5,0,0.0,91
Chhattisgarh,2018,4,RPI(A),NOTHERN HILLS,2,0,2,0,0.0,92
Chhattisgarh,2018,4,RSSM,CHHATTISGARH PLAINS,1,0,1,0,0.0,93
Chhattisgarh,2018,4,RmGP,NOTHERN HILLS,1,0,1,0,0.0,94
Chhattisgarh,2018,4,RtJP,BASTAR PLATEAU,1,0,1,0,0.0,95
Chhattisgarh,2018,4,RtJP,CHHATTISGARH PLAINS,12,0,12,0,0.0,96
