Assembly_No,TCPD_Prof_Main,MLAs_var
4,Agriculture,31
4,Business,27
4,Former Government,2
4,Labourer or Daily Wage,1
4,Liberal Profession or Professional,5
4,Other,6
4,Politics,7
4,Retired or Pension,5
4,Salaried Work or Employed,3
4,Small Business or Self-employed,1
4,Social Work,2
3,Agricultural Labour,2
3,Agriculture,46
3,Business,18
3,Former Government,1
3,Liberal Profession or Professional,2
3,Other,9
3,Politics,3
3,Retired or Pension,4
3,Salaried Work or Employed,2
3,Social Work,2
3,Unknown,1
2,Other,85
2,Unknown,5
