Assembly_No,Party_ID,MyNeta_education,MLAs_var_Party,Party_MLAs,Year,Party,pty_mla_var_perc
4,1605,10th Pass,1,15,2018,BJP,6.67
4,1605,12th Pass,2,15,2018,BJP,13.33
4,1605,5th Pass,1,15,2018,BJP,6.67
4,1605,Graduate,2,15,2018,BJP,13.33
4,1605,Graduate Professional,2,15,2018,BJP,13.33
4,1605,Post Graduate,7,15,2018,BJP,46.67
4,16651,12th Pass,1,2,2018,BSP,50
4,16651,Post Graduate,1,2,2018,BSP,50
4,3482,10th Pass,2,68,2018,INC,2.94
4,3482,12th Pass,12,68,2018,INC,17.65
4,3482,5th Pass,3,68,2018,INC,4.41
4,3482,8th Pass,4,68,2018,INC,5.88
4,3482,Doctorate,1,68,2018,INC,1.47
4,3482,Graduate,11,68,2018,INC,16.18
4,3482,Graduate Professional,10,68,2018,INC,14.71
4,3482,Literate,1,68,2018,INC,1.47
4,3482,Post Graduate,24,68,2018,INC,35.29
4,4549,12th Pass,1,5,2018,JCC(J),20
4,4549,Graduate,1,5,2018,JCC(J),20
4,4549,Graduate Professional,1,5,2018,JCC(J),20
4,4549,Post Graduate,2,5,2018,JCC(J),40
3,1605,10th Pass,10,49,2013,BJP,20.41
3,1605,12th Pass,9,49,2013,BJP,18.37
3,1605,5th Pass,1,49,2013,BJP,2.04
3,1605,8th Pass,2,49,2013,BJP,4.08
3,1605,Graduate,6,49,2013,BJP,12.24
3,1605,Graduate Professional,4,49,2013,BJP,8.16
3,1605,Post Graduate,17,49,2013,BJP,34.69
3,16651,Post Graduate,1,1,2013,BSP,100
3,3482,10th Pass,2,39,2013,INC,5.13
3,3482,12th Pass,6,39,2013,INC,15.38
3,3482,5th Pass,2,39,2013,INC,5.13
3,3482,8th Pass,2,39,2013,INC,5.13
3,3482,Graduate,7,39,2013,INC,17.95
3,3482,Graduate Professional,4,39,2013,INC,10.26
3,3482,Literate,2,39,2013,INC,5.13
3,3482,Others,1,39,2013,INC,2.56
3,3482,Post Graduate,13,39,2013,INC,33.33
3,10809,Unknown,1,1,2013,IND,100
2,1605,10th Pass,8,50,2008,BJP,16
2,1605,12th Pass,11,50,2008,BJP,22
2,1605,5th Pass,1,50,2008,BJP,2
2,1605,Graduate,9,50,2008,BJP,18
2,1605,Graduate Professional,4,50,2008,BJP,8
2,1605,Post Graduate,14,50,2008,BJP,28
2,1605,Unknown,3,50,2008,BJP,6
2,16651,12th Pass,1,2,2008,BSP,50
2,16651,Unknown,1,2,2008,BSP,50
2,3482,10th Pass,6,38,2008,INC,15.79
2,3482,12th Pass,4,38,2008,INC,10.53
2,3482,5th Pass,3,38,2008,INC,7.89
2,3482,8th Pass,2,38,2008,INC,5.26
2,3482,Graduate,5,38,2008,INC,13.16
2,3482,Graduate Professional,6,38,2008,INC,15.79
2,3482,Literate,1,38,2008,INC,2.63
2,3482,Post Graduate,6,38,2008,INC,15.79
2,3482,Unknown,5,38,2008,INC,13.16
