Assembly_No,MyNeta_education,MLAs_var
11,10th Pass,7
11,12th Pass,13
11,8th Pass,3
11,Graduate,15
11,Graduate Professional,9
11,Others,5
11,Post Graduate,17
11,Unknown,1
10,10th Pass,1
10,Graduate,1
10,Post Graduate,1
10,Unknown,67
9,10th Pass,5
9,12th Pass,15
9,8th Pass,2
9,Doctorate,3
9,Graduate,8
9,Graduate Professional,2
9,Post Graduate,7
9,Unknown,28
8,10th Pass,6
8,12th Pass,20
8,5th Pass,1
8,8th Pass,1
8,Doctorate,3
8,Graduate,16
8,Graduate Professional,6
8,Others,1
8,Post Graduate,13
8,Unknown,3
