Assembly_No,Total_Candidates,Contesting_Incumbents,Successful_Incumbents,Total_Seats,Turncoats,Successful_Turncoats,Recontesting_Candidates,First_Contests,Second_Contests,Multiple_Contests,No_first_time_winners,First_Contest_Winners,Year,Recontesting_Candidates_pct,First_Contests_pct,Second_Contests_pct,Multiple_Contests_pct,Contesting_Incumbents_pct,Successful_Incumbents_pct,No_first_time_winners_pct,First_Contest_Winners_pct,Incumbent_Strike_Rate,Turncoat_Strike_Rate
11,672,52,42,70,31,9,133,496,84,92,21,15,2020,19.79,73.81,12.5,13.69,74.29,60,30,21.43,80.77,29.03
10,673,56,20,70,20,5,161,485,108,80,49,33,2015,23.92,72.07,16.05,11.89,80,28.57,70,47.14,35.71,25
9,810,61,20,70,14,4,121,670,69,71,46,40,2013,14.94,82.72,8.52,8.77,87.14,28.57,65.71,57.14,32.79,28.57
8,875,58,46,70,5,2,107,761,48,66,20,16,2008,12.23,86.97,5.49,7.54,82.86,65.71,28.57,22.86,79.31,40
7,817,52,41,70,8,2,98,694,75,48,21,13,2003,12,84.94,9.18,5.88,74.29,58.57,30,18.57,78.85,25
6,815,36,17,70,6,0,93,713,91,11,48,35,1998,11.41,87.48,11.17,1.35,51.43,24.29,68.57,50,47.22,0
5,1316,17,9,70,3,0,27,1282,20,14,58,55,1993,2.05,97.42,1.52,1.06,24.29,12.86,82.86,78.57,52.94,0
4,393,24,11,55,20,8,51,339,36,18,39,35,1983,12.98,86.26,9.16,4.58,43.64,20,70.91,63.64,45.83,40
3,249,25,8,56,10,10,34,215,34,0,48,41,1977,13.65,86.35,13.65,0,44.64,14.29,85.71,73.21,32,100
2,270,0,0,56,0,0,0,270,0,0,56,56,1972,0,100,0,0,0,0,100,100,0,0
