State_Name,Year,Assembly_No,Party,Total_Seats_in_Assembly,Total_Votes_in_Assembly,Total_Votes_in_Contested_Seats,Total_Candidates,Winners,Deposits_Lost,Strike_Rate,Seat_Share,Vote_Share_in_Assembly,Vote_Share_in_Contested_Seats,position,Expanded_Party_Name
Delhi,2020,11,AAAP,70,9285593,9285593,70,62,0,88.57142857142857,88.57,53.57,53.57,1,AAM AADMI PARTY
Delhi,2020,11,AAPP,70,9285593,2140382,15,0,15,0.0,0,0.09,0.39,3,
Delhi,2020,11,AASPS,70,9285593,222256,1,0,1,0.0,0,0,0.08,4,
Delhi,2020,11,ABHM,70,9285593,108911,1,0,1,0.0,0,0,0.04,5,
Delhi,2020,11,AHNP,70,9285593,76530,1,0,1,0.0,0,0,0.03,6,
Delhi,2020,11,AIFB,70,9285593,338992,3,0,3,0.0,0,0,0.08,7,
Delhi,2020,11,AJPI,70,9285593,464617,3,0,3,0.0,0,0.01,0.17,8,
Delhi,2020,11,AJPSH,70,9285593,421863,2,0,2,0.0,0,0.01,0.13,9,
Delhi,2020,11,AKBHJSP,70,9285593,529893,4,0,4,0.0,0,0,0.08,10,
Delhi,2020,11,ANC,70,9285593,322403,2,0,2,0.0,0,0,0.05,11,
Delhi,2020,11,AP,70,9285593,197431,1,0,1,0.0,0,0,0.02,12,
Delhi,2020,11,APoI,70,9285593,115074,1,0,1,0.0,0,0,0.09,13,
Delhi,2020,11,ASSP,70,9285593,644481,5,0,5,0.0,0,0.01,0.07,14,
Delhi,2020,11,AnAP,70,9285593,76530,1,0,1,0.0,0,0,0.13,15,
Delhi,2020,11,BAHUMP,70,9285593,129704,1,0,1,0.0,0,0,0.13,16,
Delhi,2020,11,BALP,70,9285593,146855,1,0,1,0.0,0,0,0.08,17,
Delhi,2020,11,BHUDRP,70,9285593,192370,2,0,2,0.0,0,0,0.04,18,
Delhi,2020,11,BJP,70,9285593,8812380,67,8,0,11.940298507462687,11.43,38.51,40.57,2,BHARATIYA JANATA PARTY
Delhi,2020,11,BLPGL,70,9285593,76530,1,0,1,0.0,0,0,0.01,19,
Delhi,2020,11,BLokSP,70,9285593,116803,1,0,1,0.0,0,0,0.09,20,
Delhi,2020,11,BPC,70,9285593,319177,2,0,2,0.0,0,0,0.13,21,
Delhi,2020,11,BRRTD,70,9285593,101532,1,0,1,0.0,0,0.01,0.81,22,
Delhi,2020,11,BSKP,70,9285593,100163,1,0,1,0.0,0,0,0.09,23,
Delhi,2020,11,BSKRP,70,9285593,167079,1,0,1,0.0,0,0,0.11,24,
Delhi,2020,11,BSNP,70,9285593,1511330,12,0,12,0.0,0,0.04,0.22,25,
