State_Name,Year,Assembly_No,Constituency_No,Constituency_Name,Constituency_Type,Candidate,Party,Votes,Position,Vote_Share_Percentage,Last_Position,Last_Candidate,Position_Change,Vote_Share_Change_pct
Delhi,2020,11,1,NERELA,GEN,SHARAD KUMAR,AAAP,86262,1,52.06,1,SHARAD KUMAR,0,-7.91
Delhi,2020,11,1,NERELA,GEN,NEEL DAMAN KHATRI,BJP,68833,2,41.54,2,NEEL DAMAN KHATRI,0,6.7
Delhi,2020,11,1,NERELA,GEN,SIDDHARTH KUNDU,INC,6270,3,3.78,3,PRAVEEN KUMAR BHUGRA,0,0.88
Delhi,2020,11,1,NERELA,GEN,RAJBALA SAINI,LTSP,1082,4,0.65,,,,0.65
Delhi,2020,11,1,NERELA,GEN,MAHENDER CHAUDHARY,BSP,821,5,0.5,4,ROOPESH BHARDWAJ,-1,-0.54
Delhi,2020,11,1,NERELA,GEN,NOTA,NOTA,753,6,0.45,5,None of the Above,-1,-0.03
Delhi,2020,11,1,NERELA,GEN,NAR SINGH,SHtP,604,7,0.36,,,,0.36
Delhi,2020,11,1,NERELA,GEN,SULESH KUMAR,AAPP,495,8,0.3,,,,0.3
Delhi,2020,11,1,NERELA,GEN,SURESH KUMAR,PPID,180,9,0.11,,,,0.11
Delhi,2020,11,1,NERELA,GEN,CHAND RAM,RAJSPty,138,11,0.08,,,,0.08
Delhi,2020,11,1,NERELA,GEN,RAMESH KUMAR,BSNP,105,12,0.06,,,,0.06
Delhi,2020,11,2,BURARI,GEN,SANJEEV JHA,AAAP,139598,1,62.81,1,SANJEEV JHA,0,-1.01
Delhi,2020,11,2,BURARI,GEN,SHAILENDRA KUMAR,JD(U),51440,2,23.14,,,,23.14
Delhi,2020,11,2,BURARI,GEN,DHARAM VEER,SHS,18044,3,8.12,6,DHARAM PAL SINGH,3,7.83
Delhi,2020,11,2,BURARI,GEN,PRAMOD TYAGI,RJD,2278,4,1.02,,,,1.02
