State_Name,Year,Assembly_No,Party,Total_Cand,Winners,Deposit_Lost,Avg_Winning_Margin,Strike_Rate,position
Delhi,2020,11,AAAP,70,62,0,15.46,88.57,1
Delhi,2020,11,BJP,67,8,0,0.98,11.94,2
Delhi,2015,10,AAAP,70,67,0,21.3,95.71,1
Delhi,2015,10,BJP,69,3,2,0.23,4.35,2
Delhi,2013,9,AAAP,70,28,9,2.96,40.0,3
Delhi,2013,9,BJP,68,31,2,4.19,45.59,2
Delhi,2013,9,INC,70,8,11,1.43,11.43,4
Delhi,2013,9,IND,222,1,220,0.02,0.45,6
Delhi,2013,9,JD(U),27,1,26,0.15,3.7,5
Delhi,2013,9,SAD,2,1,0,5.4,50.0,1
Delhi,2008,8,BJP,69,23,4,4.26,33.33,2
Delhi,2008,8,BSP,70,2,49,0.21,2.86,3
Delhi,2008,8,INC,70,43,1,6.9,61.43,1
Delhi,2008,8,IND,358,1,355,0.03,0.28,5
Delhi,2008,8,LJP,41,1,39,0.29,2.44,4
Delhi,2003,7,BJP,70,20,7,2.78,28.57,2
Delhi,2003,7,INC,70,47,1,14.63,67.14,1
Delhi,2003,7,IND,284,1,278,0.07,0.35,5
Delhi,2003,7,JD(S),12,1,11,1.33,8.33,3
Delhi,2003,7,NCP,33,1,31,0.01,3.03,4
Delhi,1998,6,BJP,67,15,2,1.26,22.39,2
Delhi,1998,6,INC,70,52,1,13.52,74.29,1
Delhi,1998,6,IND,353,2,347,0.13,0.57,4
Delhi,1998,6,JD,48,1,47,0.94,2.08,3
Delhi,1993,5,BJP,70,49,0,9.55,70.0,1
Delhi,1993,5,INC,70,14,4,1.51,20.0,2
Delhi,1993,5,IND,766,3,762,0.04,0.39,4
Delhi,1993,5,JD,70,4,49,0.93,5.71,3
Delhi,1983,4,BJP,49,19,0,3.03,38.78,2
Delhi,1983,4,INC,55,33,0,7.56,60.0,1
Delhi,1983,4,JNP,36,1,33,0.34,2.78,4
Delhi,1983,4,LKD,6,2,1,3.09,33.33,3
Delhi,1977,3,INC,52,10,1,1.44,19.23,2
Delhi,1977,3,JNP,56,46,1,17.16,82.14,1
Delhi,1972,2,BJS,56,5,1,0.48,8.93,4
Delhi,1972,2,CPI,4,3,0,9.91,75.0,2
Delhi,1972,2,INC,52,44,1,13.98,84.62,1
Delhi,1972,2,IND,104,2,99,0.23,1.92,5
Delhi,1972,2,NCO,19,2,16,0.21,10.53,3
