State_Name,Year,Assembly_No,Party,Sub_Region,Total_Cand,Winners,Deposit_Lost,Avg_Winning_Margin,Strike_Rate,position
Delhi,2020,11,AAAP,CHANDNI CHOWK,10,10,0,19.5,100.0,1
Delhi,2020,11,AAAP,EAST DELHI,10,7,0,8.7,70.0,6
Delhi,2020,11,AAAP,NEW DELHI,10,10,0,18.37,100.0,2
Delhi,2020,11,AAAP,NORTH EAST DELHI,10,7,0,17.54,70.0,7
Delhi,2020,11,AAAP,NORTH WEST DELHI,10,9,0,13.45,90.0,4
Delhi,2020,11,AAAP,SOUTH DELHI,10,9,0,15.45,90.0,5
Delhi,2020,11,AAAP,WEST DELHI,10,10,0,15.23,100.0,3
Delhi,2020,11,AAPP,CHANDNI CHOWK,3,0,3,0,0.0,12
Delhi,2020,11,AAPP,EAST DELHI,1,0,1,0,0.0,13
Delhi,2020,11,AAPP,NORTH EAST DELHI,5,0,5,0,0.0,14
Delhi,2020,11,AAPP,NORTH WEST DELHI,3,0,3,0,0.0,15
Delhi,2020,11,AAPP,SOUTH DELHI,1,0,1,0,0.0,16
Delhi,2020,11,AAPP,WEST DELHI,2,0,2,0,0.0,17
Delhi,2020,11,AASPS,NORTH EAST DELHI,1,0,1,0,0.0,18
Delhi,2020,11,ABHM,CHANDNI CHOWK,1,0,1,0,0.0,19
Delhi,2020,11,AHNP,NEW DELHI,1,0,1,0,0.0,20
Delhi,2020,11,AIFB,CHANDNI CHOWK,1,0,1,0,0.0,21
Delhi,2020,11,AIFB,SOUTH DELHI,1,0,1,0,0.0,22
Delhi,2020,11,AIFB,WEST DELHI,1,0,1,0,0.0,23
Delhi,2020,11,AJPI,EAST DELHI,1,0,1,0,0.0,24
Delhi,2020,11,AJPI,NEW DELHI,1,0,1,0,0.0,25
Delhi,2020,11,AJPI,WEST DELHI,1,0,1,0,0.0,26
Delhi,2020,11,AJPSH,WEST DELHI,2,0,2,0,0.0,27
Delhi,2020,11,AKBHJSP,CHANDNI CHOWK,1,0,1,0,0.0,28
Delhi,2020,11,AKBHJSP,NORTH EAST DELHI,1,0,1,0,0.0,29
Delhi,2020,11,AKBHJSP,NORTH WEST DELHI,2,0,2,0,0.0,30
Delhi,2020,11,ANC,EAST DELHI,1,0,1,0,0.0,31
Delhi,2020,11,ANC,SOUTH DELHI,1,0,1,0,0.0,32
Delhi,2020,11,AP,EAST DELHI,1,0,1,0,0.0,33
Delhi,2020,11,APoI,WEST DELHI,1,0,1,0,0.0,34
Delhi,2020,11,ASSP,CHANDNI CHOWK,2,0,2,0,0.0,35
Delhi,2020,11,ASSP,NORTH WEST DELHI,2,0,2,0,0.0,36
Delhi,2020,11,ASSP,WEST DELHI,1,0,1,0,0.0,37
Delhi,2020,11,AnAP,NEW DELHI,1,0,1,0,0.0,38
Delhi,2020,11,BAHUMP,NORTH EAST DELHI,1,0,1,0,0.0,39
Delhi,2020,11,BALP,EAST DELHI,1,0,1,0,0.0,40
Delhi,2020,11,BHUDRP,NEW DELHI,1,0,1,0,0.0,41
Delhi,2020,11,BHUDRP,NORTH WEST DELHI,1,0,1,0,0.0,42
Delhi,2020,11,BJP,CHANDNI CHOWK,10,0,0,0,0.0,43
Delhi,2020,11,BJP,EAST DELHI,10,3,0,1.91,30.0,9
Delhi,2020,11,BJP,NEW DELHI,10,0,0,0,0.0,44
Delhi,2020,11,BJP,NORTH EAST DELHI,8,3,0,4.2,37.5,8
Delhi,2020,11,BJP,NORTH WEST DELHI,10,1,0,1.09,10.0,11
Delhi,2020,11,BJP,SOUTH DELHI,9,1,0,0.22,11.11,10
Delhi,2020,11,BJP,WEST DELHI,10,0,0,0,0.0,45
Delhi,2020,11,BLPGL,NEW DELHI,1,0,1,0,0.0,46
Delhi,2020,11,BLokSP,CHANDNI CHOWK,1,0,1,0,0.0,47
Delhi,2020,11,BPC,NORTH WEST DELHI,2,0,2,0,0.0,48
Delhi,2020,11,BRRTD,CHANDNI CHOWK,1,0,1,0,0.0,49
Delhi,2020,11,BSKP,CHANDNI CHOWK,1,0,1,0,0.0,50
Delhi,2020,11,BSKRP,NORTH WEST DELHI,1,0,1,0,0.0,51
Delhi,2020,11,BSNP,EAST DELHI,2,0,2,0,0.0,52
Delhi,2020,11,BSNP,NEW DELHI,4,0,4,0,0.0,53
Delhi,2020,11,BSNP,NORTH EAST DELHI,3,0,3,0,0.0,54
Delhi,2020,11,BSNP,NORTH WEST DELHI,2,0,2,0,0.0,55
Delhi,2020,11,BSNP,SOUTH DELHI,1,0,1,0,0.0,56
Delhi,2020,11,BSP,CHANDNI CHOWK,10,0,10,0,0.0,57
Delhi,2020,11,BSP,EAST DELHI,10,0,10,0,0.0,58
Delhi,2020,11,BSP,NEW DELHI,10,0,10,0,0.0,59
Delhi,2020,11,BSP,NORTH EAST DELHI,9,0,9,0,0.0,60
Delhi,2020,11,BSP,NORTH WEST DELHI,9,0,9,0,0.0,61
Delhi,2020,11,BSP,SOUTH DELHI,10,0,10,0,0.0,62
Delhi,2020,11,BSP,WEST DELHI,10,0,10,0,0.0,63
Delhi,2020,11,BhaRP,NORTH EAST DELHI,1,0,1,0,0.0,64
Delhi,2020,11,CPI,NORTH EAST DELHI,1,0,1,0,0.0,65
Delhi,2020,11,CPI,NORTH WEST DELHI,1,0,1,0,0.0,66
Delhi,2020,11,CPI,SOUTH DELHI,1,0,1,0,0.0,67
Delhi,2020,11,CPIM,CHANDNI CHOWK,1,0,1,0,0.0,68
Delhi,2020,11,CPIM,NORTH EAST DELHI,1,0,1,0,0.0,69
Delhi,2020,11,CPIM,SOUTH DELHI,1,0,1,0,0.0,70
Delhi,2020,11,DJP,NORTH WEST DELHI,1,0,1,0,0.0,71
Delhi,2020,11,HAMS,EAST DELHI,1,0,1,0,0.0,72
Delhi,2020,11,HAMS,NEW DELHI,1,0,1,0,0.0,73
Delhi,2020,11,HND,EAST DELHI,1,0,1,0,0.0,74
Delhi,2020,11,HND,NORTH EAST DELHI,2,0,2,0,0.0,75
Delhi,2020,11,HND,SOUTH DELHI,1,0,1,0,0.0,76
Delhi,2020,11,INC,CHANDNI CHOWK,10,0,10,0,0.0,77
Delhi,2020,11,INC,EAST DELHI,10,0,9,0,0.0,78
Delhi,2020,11,INC,NEW DELHI,10,0,9,0,0.0,79
Delhi,2020,11,INC,NORTH EAST DELHI,9,0,9,0,0.0,80
Delhi,2020,11,INC,NORTH WEST DELHI,9,0,8,0,0.0,81
Delhi,2020,11,INC,SOUTH DELHI,9,0,9,0,0.0,82
Delhi,2020,11,INC,WEST DELHI,9,0,9,0,0.0,83
Delhi,2020,11,IND,CHANDNI CHOWK,25,0,25,0,0.0,84
Delhi,2020,11,IND,EAST DELHI,17,0,17,0,0.0,85
Delhi,2020,11,IND,NEW DELHI,29,0,29,0,0.0,86
Delhi,2020,11,IND,NORTH EAST DELHI,15,0,15,0,0.0,87
Delhi,2020,11,IND,NORTH WEST DELHI,17,0,17,0,0.0,88
