Assembly_No,TCPD_Prof_Main,MLAs_var
11,Agriculture,2
11,Business,16
11,Liberal Profession or Professional,8
11,Other,10
11,Politics,19
11,Retired or Pension,1
11,Salaried Work or Employed,3
11,Small Business or Self-employed,3
11,Social Work,7
11,Unknown,1
10,Business,3
10,Unknown,67
9,Agriculture,2
9,Business,22
9,Education,1
9,Liberal Profession or Professional,4
9,Politics,4
9,Retired or Pension,2
9,Salaried Work or Employed,1
9,Small Business or Self-employed,1
9,Social Work,5
9,Unknown,28
8,Other,68
8,Unknown,2
