Assembly_No,Party_ID,MyNeta_education,MLAs_var_Party,Party_MLAs,Year,Party,pty_mla_var_perc
11,13,10th Pass,7,62,2020,AAAP,11.29
11,13,12th Pass,12,62,2020,AAAP,19.35
11,13,8th Pass,3,62,2020,AAAP,4.84
11,13,Graduate,11,62,2020,AAAP,17.74
11,13,Graduate Professional,8,62,2020,AAAP,12.9
11,13,Others,5,62,2020,AAAP,8.06
11,13,Post Graduate,15,62,2020,AAAP,24.19
11,13,Unknown,1,62,2020,AAAP,1.61
11,1605,12th Pass,1,8,2020,BJP,12.5
11,1605,Graduate,4,8,2020,BJP,50
11,1605,Graduate Professional,1,8,2020,BJP,12.5
11,1605,Post Graduate,2,8,2020,BJP,25
10,13,Unknown,67,67,2015,AAAP,100
10,1605,10th Pass,1,3,2015,BJP,33.33
10,1605,Graduate,1,3,2015,BJP,33.33
10,1605,Post Graduate,1,3,2015,BJP,33.33
9,13,Unknown,28,28,2013,AAAP,100
9,1605,10th Pass,4,31,2013,BJP,12.9
9,1605,12th Pass,8,31,2013,BJP,25.81
9,1605,8th Pass,2,31,2013,BJP,6.45
9,1605,Doctorate,3,31,2013,BJP,9.68
9,1605,Graduate,5,31,2013,BJP,16.13
9,1605,Graduate Professional,2,31,2013,BJP,6.45
9,1605,Post Graduate,7,31,2013,BJP,22.58
9,3482,10th Pass,1,8,2013,INC,12.5
9,3482,12th Pass,4,8,2013,INC,50
9,3482,Graduate,3,8,2013,INC,37.5
9,10809,12th Pass,1,1,2013,IND,100
9,11002,12th Pass,1,1,2013,JD(U),100
9,16994,12th Pass,1,1,2013,SAD,100
8,1605,10th Pass,3,23,2008,BJP,13.04
8,1605,12th Pass,6,23,2008,BJP,26.09
8,1605,Doctorate,2,23,2008,BJP,8.7
8,1605,Graduate,4,23,2008,BJP,17.39
8,1605,Graduate Professional,2,23,2008,BJP,8.7
8,1605,Post Graduate,6,23,2008,BJP,26.09
8,16651,10th Pass,1,2,2008,BSP,50
8,16651,5th Pass,1,2,2008,BSP,50
8,3482,10th Pass,2,43,2008,INC,4.65
8,3482,12th Pass,13,43,2008,INC,30.23
8,3482,Doctorate,1,43,2008,INC,2.33
8,3482,Graduate,12,43,2008,INC,27.91
8,3482,Graduate Professional,4,43,2008,INC,9.3
8,3482,Others,1,43,2008,INC,2.33
8,3482,Post Graduate,7,43,2008,INC,16.28
8,3482,Unknown,3,43,2008,INC,6.98
8,10809,8th Pass,1,1,2008,IND,100
8,5029,12th Pass,1,1,2008,LJP,100
