Assembly_No,Total_Candidates,No_Incumbents,Successful_Incumbents,Total_Seats,Turncoats,Successful_Turncoats,No_Recontests,First_contests,Second_contests,Multiple_contests,No_first_time_winners,First_Contest_winners,Year,Party_ID,pty_Total_Candidates,pty_Incumbents,pty_Turncoats,pty_Recontests,pty_First_contests,pty_Second_contests,pty_Multiple_contests,pty_first_time_winners,pty_First_Contest_winners,pty_Successful_Incumbents,pty_Successful_Turncoats,Party,pty_recontests_pct,Color,pty_incm_recontests_pct,hover_pty_incm_recontests_pct,pty_incm_Strike_Rate,hover_pty_incm_Strike_Rate,pty_turn_Strike_Rate,hover_pty_turn_Strike_Rate,pty_fist_time_winners_pct
11,672,52,42,70,31,9,133,496,84,92,21,15,2020,13,70,43,9,48,16,24,30,17,13,40,8,AAAP,36.09,#87CEEB,82.69,43 (82.69%),93.02,93.02% (40/43),88.89,88.89% (8/9),80.95
11,672,52,42,70,31,9,133,496,84,92,21,15,2020,18403,15,0,1,1,13,2,0,0,0,0,0,AAPP,0.75,,0,0 (0.0%),nan,nan% (0/0),0,0.0% (0/1),0
11,672,52,42,70,31,9,133,496,84,92,21,15,2020,24480,1,0,0,0,1,0,0,0,0,0,0,AASPS,0,,0,0 (0.0%),nan,nan% (0/0),nan,nan% (0/0),0
11,672,52,42,70,31,9,133,496,84,92,21,15,2020,268,1,0,0,0,1,0,0,0,0,0,0,ABHM,0,,0,0 (0.0%),nan,nan% (0/0),nan,nan% (0/0),0
11,672,52,42,70,31,9,133,496,84,92,21,15,2020,107,1,0,0,0,1,0,0,0,0,0,0,AHNP,0,,0,0 (0.0%),nan,nan% (0/0),nan,nan% (0/0),0
11,672,52,42,70,31,9,133,496,84,92,21,15,2020,3040,3,0,0,0,3,0,0,0,0,0,0,AIFB,0,#DA0000,0,0 (0.0%),nan,nan% (0/0),nan,nan% (0/0),0
11,672,52,42,70,31,9,133,496,84,92,21,15,2020,17584,3,0,0,0,3,0,0,0,0,0,0,AJPI,0,,0,0 (0.0%),nan,nan% (0/0),nan,nan% (0/0),0
11,672,52,42,70,31,9,133,496,84,92,21,15,2020,24481,2,0,0,0,2,0,0,0,0,0,0,AJPSH,0,,0,0 (0.0%),nan,nan% (0/0),nan,nan% (0/0),0
11,672,52,42,70,31,9,133,496,84,92,21,15,2020,24484,4,0,0,0,4,0,0,0,0,0,0,AKBHJSP,0,,0,0 (0.0%),nan,nan% (0/0),nan,nan% (0/0),0
11,672,52,42,70,31,9,133,496,84,92,21,15,2020,840,2,0,0,0,2,0,0,0,0,0,0,ANC,0,,0,0 (0.0%),nan,nan% (0/0),nan,nan% (0/0),0
11,672,52,42,70,31,9,133,496,84,92,21,15,2020,1005,1,0,0,0,0,1,0,0,0,0,0,AP,0,,0,0 (0.0%),nan,nan% (0/0),nan,nan% (0/0),0
11,672,52,42,70,31,9,133,496,84,92,21,15,2020,880,1,0,0,0,1,0,0,0,0,0,0,APoI,0,,0,0 (0.0%),nan,nan% (0/0),nan,nan% (0/0),0
11,672,52,42,70,31,9,133,496,84,92,21,15,2020,972,5,0,0,0,5,0,0,0,0,0,0,ASSP,0,,0,0 (0.0%),nan,nan% (0/0),nan,nan% (0/0),0
11,672,52,42,70,31,9,133,496,84,92,21,15,2020,928,1,0,0,0,1,0,0,0,0,0,0,AnAP,0,,0,0 (0.0%),nan,nan% (0/0),nan,nan% (0/0),0
