Assembly_No,MyNeta_education,MLAs_var
8,10th Pass,6
8,12th Pass,6
8,8th Pass,1
8,Graduate,13
8,Graduate Professional,4
8,Others,6
8,Post Graduate,4
7,10th Pass,7
7,12th Pass,8
7,8th Pass,3
7,Graduate,10
7,Graduate Professional,4
7,Others,4
7,Post Graduate,3
7,Unknown,1
6,10th Pass,7
6,12th Pass,8
6,5th Pass,2
6,8th Pass,1
6,Graduate,8
6,Graduate Professional,3
6,Others,2
6,Post Graduate,5
6,Unknown,4
5,10th Pass,8
5,12th Pass,7
5,5th Pass,1
5,8th Pass,1
5,Graduate,11
5,Graduate Professional,5
5,Post Graduate,4
5,Unknown,3
