State_Name,Year,Assembly_No,Party,Total_Seats_in_Assembly,Total_Votes_in_Assembly,Total_Votes_in_Contested_Seats,Total_Candidates,Winners,Deposits_Lost,Strike_Rate,Seat_Share,Vote_Share_in_Assembly,Vote_Share_in_Contested_Seats,position,Expanded_Party_Name
Goa,2022,8,AAAP,40,950445,924559,39,2,35,5.128205128205129,5,6.77,6.96,4,AAM AADMI PARTY
Goa,2022,8,AITC,40,950445,594796,26,0,21,0.0,0,5.21,8.32,8,ALL INDIA TRINAMOOL CONGRESS
Goa,2022,8,BJP,40,950445,950445,40,20,5,50.0,50,33.31,33.31,1,BHARATIYA JANATA PARTY
Goa,2022,8,GFP,40,950445,79281,3,1,1,33.333333333333336,2.5,1.84,22.04,6,GOA FORWARD PARTY
Goa,2022,8,Goencho Swabhiman Party,40,950445,89791,4,0,4,0.0,0,0.1,1.1,9,
Goa,2022,8,INC,40,950445,871164,37,11,10,29.72972972972973,27.5,23.46,25.59,2,INDIAN NATIONAL CONGRESS
Goa,2022,8,IND,40,950445,950445,68,3,58,4.411764705882353,7.5,9.35,9.35,3,INDEPENDENT
Goa,2022,8,Jai Maha Bharath Party,40,950445,156049,6,0,6,0.0,0,0.08,0.47,10,
Goa,2022,8,MAG,40,950445,338230,13,2,7,15.384615384615385,5,7.6,21.37,5,MAHARASHTRAWADI GOMANTAK
Goa,2022,8,NCP,40,950445,292743,13,0,13,0.0,0,1.14,3.7,11,NATIONAL CONGRESS PARTY
Goa,2022,8,NOTA,40,950445,950445,40,0,0,0.0,0,1.12,1.12,12,
Goa,2022,8,RGP,40,950445,906712,38,1,32,2.6315789473684212,2.5,9.81,10.28,7,REVOLUTIONARY GOANS PARTY
Goa,2022,8,SHS,40,950445,289287,11,0,11,0.0,0,0.18,0.6,13,
Goa,2022,8,Sambhaji Brigade Party,40,950445,79617,3,0,3,0.0,0,0.03,0.34,14,
Goa,2017,7,AAAP,40,916216,890839,39,0,38,0.0,0,6.27,6.45,7,AAM AADMI PARTY
Goa,2017,7,APOI,40,916216,23527,1,0,1,0.0,0,0,0.19,8,
Goa,2017,7,BJP,40,916216,825159,36,13,2,36.111111111111114,32.5,32.48,36.06,2,BHARATIYA JANATA PARTY
Goa,2017,7,BMUP,40,916216,79192,3,0,3,0.0,0,0.03,0.35,9,
Goa,2017,7,CPI,40,916216,43243,2,0,2,0.0,0,0.03,0.59,10,
Goa,2017,7,GFP,40,916216,91089,4,3,1,75.0,7.5,3.48,35.02,3,GOA FORWARD PARTY
Goa,2017,7,GOPRP,40,916216,74522,3,0,3,0.0,0,0.05,0.61,11,
Goa,2017,7,GSM,40,916216,110311,5,0,4,0.0,0,1.17,9.74,12,
Goa,2017,7,GSRP,40,916216,179454,8,0,7,0.0,0,0.63,3.2,13,
Goa,2017,7,GVP,40,916216,116321,5,0,5,0.0,0,0.59,4.62,14,GOA VIKAS PARTY
Goa,2017,7,INC,40,916216,855725,37,17,12,45.945945945945944,42.5,28.35,30.36,1,INDIAN NATIONAL CONGRESS
Goa,2017,7,IND,40,916216,916216,58,3,46,5.172413793103448,7.5,11.12,11.12,4,INDEPENDENT
Goa,2017,7,MAG,40,916216,593053,25,3,17,12.0,7.5,11.27,17.42,5,MAHARASHTRAWADI GOMANTAK
Goa,2017,7,NCP,40,916216,382581,17,1,16,5.882352941176471,2.5,2.28,5.47,6,NATIONAL CONGRESS PARTY
Goa,2017,7,NGRF,40,916216,43572,2,0,2,0.0,0,0.01,0.26,15,
Goa,2017,7,NOTA,40,916216,916216,40,0,0,0.0,0,1.19,1.19,16,
Goa,2017,7,SAJPCS,40,916216,19656,1,0,1,0.0,0,0.01,0.68,17,
Goa,2017,7,SHS,40,916216,60808,3,0,3,0.0,0,0.09,1.3,18,
Goa,2017,7,UGP,40,916216,40825,2,0,1,0.0,0,0.93,20.97,19,
Goa,2012,6,AIMF,40,848861,62601,3,0,3,0.0,0,0.03,0.34,6,
Goa,2012,6,AITC,40,848861,430729,20,0,19,0.0,0,1.81,3.56,7,ALL INDIA TRINAMOOL CONGRESS
Goa,2012,6,BJP,40,848861,593707,28,21,0,75.0,52.5,34.68,49.59,1,BHARATIYA JANATA PARTY
Goa,2012,6,CPI,40,848861,57553,3,0,3,0.0,0,0.09,1.34,8,
Goa,2012,6,CPM,40,848861,45755,2,0,2,0.0,0,0.06,1.17,9,
Goa,2012,6,GSRP,40,848861,41285,2,0,2,0.0,0,0.07,1.38,10,
Goa,2012,6,GVP,40,848861,202139,9,2,6,22.22222222222222,5,3.5,14.68,5,GOA VIKAS PARTY
Goa,2012,6,INC,40,848861,706635,33,9,4,27.272727272727273,22.5,30.78,36.98,2,INDIAN NATIONAL CONGRESS
Goa,2012,6,IND,40,848861,848861,72,5,57,6.944444444444445,12.5,16.67,16.67,3,INDEPENDENT
Goa,2012,6,JD(U),40,848861,97681,5,0,5,0.0,0,0.08,0.74,11,
Goa,2012,6,JMBP,40,848861,57688,3,0,3,0.0,0,0.06,0.85,12,
Goa,2012,6,MAG,40,848861,153685,7,3,1,42.857142857142854,7.5,6.72,37.1,4,MAHARASHTRAWADI GOMANTAK
Goa,2012,6,NCP,40,848861,142226,7,0,3,0.0,0,4.08,24.35,13,NATIONAL CONGRESS PARTY
Goa,2012,6,RPI(A),40,848861,25890,1,0,1,0.0,0,0.01,0.22,14,
Goa,2012,6,SHS,40,848861,58301,3,0,3,0.0,0,0.02,0.36,15,
