State_Name,Year,Assembly_No,Constituency_No,Constituency_Name,Constituency_Type,Candidate,Party,Votes,Position,Vote_Share_Percentage,Last_Position,Last_Candidate,Position_Change,Vote_Share_Change_pct
Goa,2022,8,1,MANDREM,GEN,JIT VINAYAK AROLKAR,MAG,10387,1,35.04,3,SHRIDHAR LADU MANJREKAR,2,32.62
Goa,2022,8,1,MANDREM,GEN,DAYANAND RAGHUNATH SOPTE,BJP,9672,2,32.63,2,LAXMIKANT PARSEKAR,0,-0.88
Goa,2022,8,1,MANDREM,GEN,DEEPAK BHALCHANDRA KALANGUTKAR,GFP,1676,4,5.65,,,,5.65
Goa,2022,8,1,MANDREM,GEN,SUNAYANA RAJANIKANT GAWDE,RGP,1219,5,4.11,,,,4.11
Goa,2022,8,1,MANDREM,GEN,PRASAD K. SHAHAPURKAR,AAAP,268,6,0.9,4,DEVENDRA KRISHNAJI PRABHU PARSEKAR DESAI,-2,-1.32
Goa,2022,8,1,MANDREM,GEN,None Of The Above,NOTA,261,7,0.88,5,None of the Above,-2,-0.6
Goa,2022,8,1,MANDREM,GEN,BABLI BHASKAR NAIK,SHS,119,9,0.4,,,,0.4
Goa,2022,8,1,MANDREM,GEN,D'COSTA MARIA,Sambhaji Brigade Party,46,10,0.16,,,,0.16
Goa,2022,8,2,PERNEM,SC,PRAVIN PRABHAKAR ARLEKAR,BJP,13063,1,44.73,2,RAJENDRA ARLEKAR,1,9.7
Goa,2022,8,2,PERNEM,SC,RAJAN BABUSO KORGAONKAR,MAG,9645,2,33.03,1,AJGAONKAR MANOHAR TRIMBAK,-1,-23.75
Goa,2022,8,2,PERNEM,SC,SUJAY D. MHAPSEKAR,RGP,2755,3,9.43,,,,9.43
Goa,2022,8,2,PERNEM,SC,JITENDRA YESHWANT GAONKAR,INC,1827,4,6.26,3,VIKESH RAMESH ASSOTIKAR,-1,2.61
Goa,2022,8,2,PERNEM,SC,None Of The Above,NOTA,363,6,1.24,4,None of the Above,-2,-0.45
Goa,2022,8,2,PERNEM,SC,PUNDALIK DHARGALKAR,AAAP,273,7,0.93,5,SHIVANAND KRISHNA PILARNKAR,-2,-0.18
Goa,2022,8,2,PERNEM,SC,SUBHASH BARKELO KERKAR,SHS,223,8,0.76,,,,0.76
Goa,2022,8,3,BICHOLIM,GEN,NARESH RAJARAM SAWAL,MAG,9290,2,35.89,2,NARESH SAWAL,0,-6.97
Goa,2022,8,3,BICHOLIM,GEN,RAJESH TULSHIDAS PATNEKAR,BJP,5141,3,19.86,1,RAJESH PATNEKAR,-2,-25.85
Goa,2022,8,3,BICHOLIM,GEN,MEGHASHYAM VAMAN RAUT,INC,913,4,3.53,3,MANOHAR PANDURANG SHIRODKAR,-1,-4.03
Goa,2022,8,3,BICHOLIM,GEN,ANISH AVINASH NAIK,RGP,593,5,2.29,,,,2.29
