State_Name,Year,Assembly_No,Party,Total_Cand,Winners,Deposit_Lost,Avg_Winning_Margin,Strike_Rate,position
Goa,2022,8,AAAP,39,2,35,0.17,5.13,5
Goa,2022,8,BJP,40,20,5,6.09,50.0,1
Goa,2022,8,GFP,3,1,1,2.11,33.33,2
Goa,2022,8,INC,37,11,10,4.44,29.73,3
Goa,2022,8,IND,68,3,58,0.42,4.41,6
Goa,2022,8,MAG,13,2,7,3.42,15.38,4
Goa,2022,8,RGP,38,1,32,0.01,2.63,7
Goa,2017,7,BJP,36,13,2,5.94,36.11,3
Goa,2017,7,GFP,4,3,1,5.52,75.0,1
Goa,2017,7,INC,37,17,12,7.47,45.95,2
Goa,2017,7,IND,58,3,46,0.74,5.17,6
Goa,2017,7,MAG,25,3,17,4.04,12.0,4
Goa,2017,7,NCP,17,1,16,1.43,5.88,5
Goa,2012,6,BJP,28,21,0,13.91,75.0,1
Goa,2012,6,GVP,9,2,6,3.21,22.22,4
Goa,2012,6,INC,33,9,4,3.63,27.27,3
Goa,2012,6,IND,72,5,57,0.79,6.94,5
Goa,2012,6,MAG,7,3,1,7.73,42.86,2
Goa,2007,5,BJP,33,14,2,4.98,42.42,3
Goa,2007,5,INC,32,16,2,6.17,50.0,1
Goa,2007,5,IND,49,2,41,1.24,4.08,7
Goa,2007,5,MAG,26,2,19,2.33,7.69,6
Goa,2007,5,NCP,6,3,1,1.61,50.0,2
Goa,2007,5,SGF,17,2,11,1.78,11.76,4
Goa,2007,5,UGDP,11,1,6,1.89,9.09,5
Goa,2002,4,BJP,39,17,4,5.97,43.59,1
Goa,2002,4,INC,40,16,3,5.57,40.0,2
Goa,2002,4,IND,48,1,43,0.89,2.08,6
Goa,2002,4,MAG,25,2,20,1.87,8.0,4
Goa,2002,4,NCP,20,1,12,0.24,5.0,5
Goa,2002,4,UGDP,10,3,5,2.5,30.0,3
Goa,1999,3,BJP,39,10,10,3.16,25.64,2
Goa,1999,3,GRCP,14,2,7,0.96,14.29,3
Goa,1999,3,INC,40,21,2,11.14,52.5,1
Goa,1999,3,IND,47,1,44,0.33,2.13,6
Goa,1999,3,MAG,31,4,17,0.46,12.9,4
Goa,1999,3,UGDP,17,2,12,0.78,11.76,5
Goa,1994,2,BJP,12,4,4,4.45,33.33,3
Goa,1994,2,INC,40,18,3,5.92,45.0,2
Goa,1994,2,IND,154,3,137,0.27,1.95,5
Goa,1994,2,MAG,25,12,4,8.57,48.0,1
Goa,1994,2,UGDP,20,3,11,2.41,15.0,4
Goa,1989,1,INC,40,20,1,6.27,50.0,2
Goa,1989,1,IND,132,2,118,0.11,1.52,3
Goa,1989,1,MAG,32,18,0,12.8,56.25,1
