State_Name,Year,Assembly_No,Party,Sub_Region,Total_Cand,Winners,Deposit_Lost,Avg_Winning_Margin,Strike_Rate,position
Goa,2022,8,AAAP,NORTH GOA,22,0,20,0,0.0,11
Goa,2022,8,AAAP,SOUTH GOA,17,2,15,0.4,11.76,7
Goa,2022,8,AITC,NORTH GOA,11,0,9,0,0.0,12
Goa,2022,8,AITC,SOUTH GOA,15,0,12,0,0.0,13
Goa,2022,8,BJP,NORTH GOA,23,13,0,7.82,56.52,2
Goa,2022,8,BJP,SOUTH GOA,17,7,5,3.75,41.18,3
Goa,2022,8,GFP,NORTH GOA,2,0,1,0,0.0,14
Goa,2022,8,GFP,SOUTH GOA,1,1,0,6.32,100.0,1
Goa,2022,8,Goencho Swabhiman Party,NORTH GOA,4,0,4,0,0.0,15
Goa,2022,8,INC,NORTH GOA,21,6,9,3.41,28.57,5
Goa,2022,8,INC,SOUTH GOA,16,5,1,5.79,31.25,4
Goa,2022,8,IND,NORTH GOA,39,1,35,0.03,2.56,10
Goa,2022,8,IND,SOUTH GOA,29,2,23,0.95,6.9,8
Goa,2022,8,Jai Maha Bharath Party,NORTH GOA,5,0,5,0,0.0,16
Goa,2022,8,Jai Maha Bharath Party,SOUTH GOA,1,0,1,0,0.0,17
Goa,2022,8,MAG,NORTH GOA,11,2,5,4.04,18.18,6
Goa,2022,8,MAG,SOUTH GOA,2,0,2,0,0.0,18
Goa,2022,8,NCP,NORTH GOA,6,0,6,0,0.0,19
Goa,2022,8,NCP,SOUTH GOA,7,0,7,0,0.0,20
Goa,2022,8,NOTA,NORTH GOA,23,0,0,0,0.0,21
Goa,2022,8,NOTA,SOUTH GOA,17,0,0,0,0.0,22
Goa,2022,8,RGP,NORTH GOA,21,1,17,0.02,4.76,9
Goa,2022,8,RGP,SOUTH GOA,17,0,15,0,0.0,23
Goa,2022,8,SHS,NORTH GOA,8,0,8,0,0.0,24
Goa,2022,8,SHS,SOUTH GOA,3,0,3,0,0.0,25
Goa,2022,8,Sambhaji Brigade Party,NORTH GOA,3,0,3,0,0.0,26
Goa,2017,7,AAAP,NORTH GOA,23,0,23,0,0.0,12
Goa,2017,7,AAAP,SOUTH GOA,16,0,15,0,0.0,13
Goa,2017,7,APOI,SOUTH GOA,1,0,1,0,0.0,14
Goa,2017,7,BJP,NORTH GOA,22,8,1,6.79,36.36,5
Goa,2017,7,BJP,SOUTH GOA,14,5,1,4.6,35.71,6
Goa,2017,7,BMUP,NORTH GOA,3,0,3,0,0.0,15
Goa,2017,7,CPI,NORTH GOA,2,0,2,0,0.0,16
Goa,2017,7,GFP,NORTH GOA,2,2,0,8.14,100.0,1
Goa,2017,7,GFP,SOUTH GOA,2,1,1,2.9,50.0,2
Goa,2017,7,GOPRP,NORTH GOA,2,0,2,0,0.0,17
Goa,2017,7,GOPRP,SOUTH GOA,1,0,1,0,0.0,18
Goa,2017,7,GSM,NORTH GOA,4,0,4,0,0.0,19
Goa,2017,7,GSM,SOUTH GOA,1,0,0,0,0.0,20
Goa,2017,7,GSRP,NORTH GOA,3,0,3,0,0.0,21
Goa,2017,7,GSRP,SOUTH GOA,5,0,4,0,0.0,22
Goa,2017,7,GVP,NORTH GOA,1,0,1,0,0.0,23
Goa,2017,7,GVP,SOUTH GOA,4,0,4,0,0.0,24
Goa,2017,7,INC,NORTH GOA,20,9,6,7.2,45.0,4
Goa,2017,7,INC,SOUTH GOA,17,8,6,7.79,47.06,3
Goa,2017,7,IND,NORTH GOA,29,2,25,1.34,6.9,10
Goa,2017,7,IND,SOUTH GOA,29,1,21,0.14,3.45,11
Goa,2017,7,MAG,NORTH GOA,14,2,8,5.74,14.29,8
Goa,2017,7,MAG,SOUTH GOA,11,1,9,1.87,9.09,9
Goa,2017,7,NCP,NORTH GOA,11,0,11,0,0.0,25
Goa,2017,7,NCP,SOUTH GOA,6,1,5,4.06,16.67,7
Goa,2017,7,NGRF,SOUTH GOA,2,0,2,0,0.0,26
Goa,2017,7,NOTA,NORTH GOA,23,0,0,0,0.0,27
Goa,2017,7,NOTA,SOUTH GOA,17,0,0,0,0.0,28
Goa,2017,7,SAJPCS,NORTH GOA,1,0,1,0,0.0,29
Goa,2017,7,SHS,NORTH GOA,1,0,1,0,0.0,30
Goa,2017,7,SHS,SOUTH GOA,2,0,2,0,0.0,31
Goa,2017,7,UGP,NORTH GOA,1,0,0,0,0.0,32
Goa,2017,7,UGP,SOUTH GOA,1,0,1,0,0.0,33
Goa,2012,6,AIMF,NORTH GOA,1,0,1,0,0.0,9
Goa,2012,6,AIMF,SOUTH GOA,2,0,2,0,0.0,10
Goa,2012,6,AITC,NORTH GOA,9,0,8,0,0.0,11
Goa,2012,6,AITC,SOUTH GOA,11,0,11,0,0.0,12
Goa,2012,6,BJP,NORTH GOA,18,13,0,15.51,72.22,3
Goa,2012,6,BJP,SOUTH GOA,10,8,0,11.03,80.0,1
Goa,2012,6,CPI,NORTH GOA,3,0,3,0,0.0,13
Goa,2012,6,CPM,NORTH GOA,1,0,1,0,0.0,14
Goa,2012,6,CPM,SOUTH GOA,1,0,1,0,0.0,15
Goa,2012,6,GSRP,NORTH GOA,2,0,2,0,0.0,16
Goa,2012,6,GVP,NORTH GOA,3,0,3,0,0.0,17
Goa,2012,6,GVP,SOUTH GOA,6,2,3,4.82,33.33,4
Goa,2012,6,INC,NORTH GOA,18,5,1,2.63,27.78,5
Goa,2012,6,INC,SOUTH GOA,15,4,3,4.84,26.67,6
Goa,2012,6,IND,NORTH GOA,40,2,33,0.35,5.0,8
Goa,2012,6,IND,SOUTH GOA,32,3,24,1.34,9.38,7
Goa,2012,6,JD(U),NORTH GOA,1,0,1,0,0.0,18
Goa,2012,6,JD(U),SOUTH GOA,4,0,4,0,0.0,19
Goa,2012,6,JMBP,NORTH GOA,2,0,2,0,0.0,20
Goa,2012,6,JMBP,SOUTH GOA,1,0,1,0,0.0,21
