Assembly_No,TCPD_Prof_Main,MLAs_var
8,Agriculture,2
8,Business,26
8,Liberal Profession or Professional,2
8,Other,7
8,Politics,1
8,Small Business or Self-employed,1
8,Social Work,1
7,Agriculture,1
7,Business,21
7,Liberal Profession or Professional,1
7,Other,11
7,Salaried Work or Employed,2
7,Small Business or Self-employed,3
7,Unknown,1
6,Agriculture,4
6,Business,19
6,Liberal Profession or Professional,1
6,Other,9
6,Retired or Pension,1
6,Small Business or Self-employed,2
6,Unknown,4
5,Other,38
5,Unknown,2
