Assembly_No,Party_ID,MyNeta_education,MLAs_var_Party,Party_MLAs,Year,Party,pty_mla_var_perc
8,13,Graduate Professional,1,2,2022,AAAP,50
8,13,Others,1,2,2022,AAAP,50
8,1605,10th Pass,1,20,2022,BJP,5
8,1605,12th Pass,3,20,2022,BJP,15
8,1605,8th Pass,1,20,2022,BJP,5
8,1605,Graduate,6,20,2022,BJP,30
8,1605,Graduate Professional,2,20,2022,BJP,10
8,1605,Others,4,20,2022,BJP,20
8,1605,Post Graduate,3,20,2022,BJP,15
8,3096,Graduate,1,1,2022,GFP,100
8,3482,10th Pass,2,11,2022,INC,18.18
8,3482,12th Pass,2,11,2022,INC,18.18
8,3482,Graduate,5,11,2022,INC,45.45
8,3482,Graduate Professional,1,11,2022,INC,9.09
8,3482,Others,1,11,2022,INC,9.09
8,10809,10th Pass,2,3,2022,IND,66.67
8,10809,Post Graduate,1,3,2022,IND,33.33
8,5270,10th Pass,1,2,2022,MAG,50
8,5270,Graduate,1,2,2022,MAG,50
8,25039,12th Pass,1,1,2022,RGP,100
7,1605,10th Pass,1,13,2017,BJP,7.69
7,1605,12th Pass,4,13,2017,BJP,30.77
7,1605,Graduate,3,13,2017,BJP,23.08
7,1605,Graduate Professional,3,13,2017,BJP,23.08
7,1605,Others,1,13,2017,BJP,7.69
7,1605,Post Graduate,1,13,2017,BJP,7.69
7,3096,12th Pass,1,3,2017,GFP,33.33
7,3096,Graduate,2,3,2017,GFP,66.67
7,3482,10th Pass,5,17,2017,INC,29.41
7,3482,12th Pass,2,17,2017,INC,11.76
7,3482,8th Pass,2,17,2017,INC,11.76
7,3482,Graduate,4,17,2017,INC,23.53
7,3482,Graduate Professional,1,17,2017,INC,5.88
7,3482,Others,1,17,2017,INC,5.88
7,3482,Post Graduate,2,17,2017,INC,11.76
7,10809,12th Pass,1,3,2017,IND,33.33
7,10809,Others,1,3,2017,IND,33.33
7,10809,Unknown,1,3,2017,IND,33.33
7,5270,10th Pass,1,3,2017,MAG,33.33
7,5270,8th Pass,1,3,2017,MAG,33.33
7,5270,Graduate,1,3,2017,MAG,33.33
7,5792,Others,1,1,2017,NCP,100
6,1605,10th Pass,3,21,2012,BJP,14.29
6,1605,12th Pass,5,21,2012,BJP,23.81
6,1605,Graduate,5,21,2012,BJP,23.81
6,1605,Graduate Professional,3,21,2012,BJP,14.29
6,1605,Others,1,21,2012,BJP,4.76
6,1605,Post Graduate,4,21,2012,BJP,19.05
6,3105,5th Pass,2,2,2012,GVP,100
6,3482,10th Pass,2,9,2012,INC,22.22
6,3482,12th Pass,2,9,2012,INC,22.22
6,3482,8th Pass,1,9,2012,INC,11.11
6,3482,Graduate,3,9,2012,INC,33.33
6,3482,Post Graduate,1,9,2012,INC,11.11
6,10809,10th Pass,2,5,2012,IND,40
6,10809,12th Pass,1,5,2012,IND,20
6,10809,Others,1,5,2012,IND,20
6,10809,Unknown,1,5,2012,IND,20
6,5270,Unknown,3,3,2012,MAG,100
5,1605,10th Pass,2,14,2007,BJP,14.29
5,1605,12th Pass,3,14,2007,BJP,21.43
5,1605,Graduate,5,14,2007,BJP,35.71
5,1605,Graduate Professional,3,14,2007,BJP,21.43
5,1605,Post Graduate,1,14,2007,BJP,7.14
5,3482,10th Pass,4,16,2007,INC,25
5,3482,12th Pass,2,16,2007,INC,12.5
5,3482,8th Pass,1,16,2007,INC,6.25
5,3482,Graduate,5,16,2007,INC,31.25
5,3482,Graduate Professional,2,16,2007,INC,12.5
5,3482,Post Graduate,2,16,2007,INC,12.5
5,10809,Graduate,1,2,2007,IND,50
5,10809,Post Graduate,1,2,2007,IND,50
5,5270,Unknown,2,2,2007,MAG,100
5,5792,12th Pass,2,3,2007,NCP,66.67
5,5792,5th Pass,1,3,2007,NCP,33.33
5,7733,10th Pass,1,2,2007,SGF,50
5,7733,Unknown,1,2,2007,SGF,50
5,8392,10th Pass,1,1,2007,UGDP,100
