Assembly_No,Total_Candidates,No_Incumbents,Successful_Incumbents,Total_Seats,Turncoats,Successful_Turncoats,No_Recontests,First_contests,Second_contests,Multiple_contests,No_first_time_winners,First_Contest_winners,Year,Party_ID,pty_Total_Candidates,pty_Incumbents,pty_Turncoats,pty_Recontests,pty_First_contests,pty_Second_contests,pty_Multiple_contests,pty_first_time_winners,pty_First_Contest_winners,pty_Successful_Incumbents,pty_Successful_Turncoats,Party,pty_recontests_pct,Color,pty_incm_recontests_pct,hover_pty_incm_recontests_pct,pty_incm_Strike_Rate,hover_pty_incm_Strike_Rate,pty_turn_Strike_Rate,hover_pty_turn_Strike_Rate,pty_fist_time_winners_pct
8,301,35,17,40,42,7,86,194,47,60,20,13,2022,13,39,1,7,12,26,9,4,2,1,0,0,AAAP,13.95,#87CEEB,2.86,1 (2.86%),0,0.0% (0/1),0,0.0% (0/7),10
8,301,35,17,40,42,7,86,194,47,60,20,13,2022,18228,26,1,10,7,15,6,5,0,0,0,0,AITC,8.14,#4285F4,2.86,1 (2.86%),0,0.0% (0/1),0,0.0% (0/10),0
8,301,35,17,40,42,7,86,194,47,60,20,13,2022,1605,40,21,12,27,13,5,22,6,5,12,5,BJP,31.4,#ff9933,60,21 (60.0%),57.14,57.14% (12/21),41.67,41.67% (5/12),30
8,301,35,17,40,42,7,86,194,47,60,20,13,2022,3096,3,1,1,2,1,1,1,0,0,1,0,GFP,2.33,#40a33c,2.86,1 (2.86%),100,100.0% (1/1),0,0.0% (0/1),0
8,301,35,17,40,42,7,86,194,47,60,20,13,2022,25040,4,0,0,0,4,0,0,0,0,0,0,Goencho Swabhiman Party,0,,0,0 (0.0%),nan,nan% (0/0),nan,nan% (0/0),0
8,301,35,17,40,42,7,86,194,47,60,20,13,2022,3482,37,4,8,13,20,8,9,8,5,2,2,INC,15.12,#138808,11.43,4 (11.43%),50,50.0% (2/4),25,25.0% (2/8),40
8,301,35,17,40,42,7,86,194,47,60,20,13,2022,10809,68,4,0,17,43,13,12,2,1,1,0,IND,19.77,#808080,11.43,4 (11.43%),25,25.0% (1/4),nan,nan% (0/0),10
8,301,35,17,40,42,7,86,194,47,60,20,13,2022,4036,6,0,0,0,6,0,0,0,0,0,0,Jai Maha Bharath Party,0,,0,0 (0.0%),nan,nan% (0/0),nan,nan% (0/0),0
8,301,35,17,40,42,7,86,194,47,60,20,13,2022,5270,13,2,2,5,7,2,4,1,0,1,0,MAG,5.81,#05dc46,5.71,2 (5.71%),50,50.0% (1/2),0,0.0% (0/2),5
8,301,35,17,40,42,7,86,194,47,60,20,13,2022,5792,13,1,2,3,9,1,3,0,0,0,0,NCP,3.49,#99003d,2.86,1 (2.86%),0,0.0% (0/1),0,0.0% (0/2),0
8,301,35,17,40,42,7,86,194,47,60,20,13,2022,25039,38,0,0,0,38,0,0,1,1,0,0,RGP,0,#25f251,0,0 (0.0%),nan,nan% (0/0),nan,nan% (0/0),5
8,301,35,17,40,42,7,86,194,47,60,20,13,2022,18691,11,0,0,0,9,2,0,0,0,0,0,SHS,0,#EA5A03,0,0 (0.0%),nan,nan% (0/0),nan,nan% (0/0),0
8,301,35,17,40,42,7,86,194,47,60,20,13,2022,24549,3,0,0,0,3,0,0,0,0,0,0,Sambhaji Brigade Party,0,,0,0 (0.0%),nan,nan% (0/0),nan,nan% (0/0),0
7,251,37,18,40,26,6,86,148,42,61,12,7,2017,13,39,0,3,0,35,2,2,0,0,0,0,AAAP,0,#87CEEB,0,0 (0.0%),nan,nan% (0/0),0,0.0% (0/3),0
7,251,37,18,40,26,6,86,148,42,61,12,7,2017,880,1,0,0,1,0,1,0,0,0,0,0,APOI,1.16,,0,0 (0.0%),nan,nan% (0/0),nan,nan% (0/0),0
7,251,37,18,40,26,6,86,148,42,61,12,7,2017,1605,36,18,3,26,8,10,18,3,2,9,3,BJP,30.23,#ff9933,48.65,18 (48.65%),50,50.0% (9/18),100,100.0% (3/3),25
7,251,37,18,40,26,6,86,148,42,61,12,7,2017,1074,3,0,0,0,3,0,0,0,0,0,0,BMUP,0,,0,0 (0.0%),nan,nan% (0/0),nan,nan% (0/0),0
7,251,37,18,40,26,6,86,148,42,61,12,7,2017,2444,2,0,0,2,0,1,1,0,0,0,0,CPI,2.33,#ff3300,0,0 (0.0%),nan,nan% (0/0),nan,nan% (0/0),0
7,251,37,18,40,26,6,86,148,42,61,12,7,2017,3096,4,1,0,1,3,0,1,2,2,1,0,GFP,1.16,#40a33c,2.7,1 (2.7%),100,100.0% (1/1),nan,nan% (0/0),16.67
7,251,37,18,40,26,6,86,148,42,61,12,7,2017,3097,3,0,1,1,2,0,1,0,0,0,0,GOPRP,1.16,,0,0 (0.0%),nan,nan% (0/0),0,0.0% (0/1),0
7,251,37,18,40,26,6,86,148,42,61,12,7,2017,3104,5,0,3,1,2,1,2,0,0,0,0,GSM,1.16,,0,0 (0.0%),nan,nan% (0/0),0,0.0% (0/3),0
7,251,37,18,40,26,6,86,148,42,61,12,7,2017,3100,8,1,2,2,6,0,2,0,0,0,0,GSRP,2.33,,2.7,1 (2.7%),0,0.0% (0/1),0,0.0% (0/2),0
7,251,37,18,40,26,6,86,148,42,61,12,7,2017,3105,5,0,0,2,3,2,0,0,0,0,0,GVP,2.33,#815a53,0,0 (0.0%),nan,nan% (0/0),nan,nan% (0/0),0
7,251,37,18,40,26,6,86,148,42,61,12,7,2017,3482,37,6,3,16,18,3,16,4,3,6,1,INC,18.6,#138808,16.22,6 (16.22%),100,100.0% (6/6),33.33,33.33% (1/3),33.33
7,251,37,18,40,26,6,86,148,42,61,12,7,2017,10809,58,6,0,15,38,11,9,2,0,1,0,IND,17.44,#808080,16.22,6 (16.22%),16.67,16.67% (1/6),nan,nan% (0/0),16.67
7,251,37,18,40,26,6,86,148,42,61,12,7,2017,5270,25,4,3,9,15,4,6,1,0,1,1,MAG,10.47,#05dc46,10.81,4 (10.81%),25,25.0% (1/4),33.33,33.33% (1/3),8.33
7,251,37,18,40,26,6,86,148,42,61,12,7,2017,5792,17,0,5,7,10,5,2,0,0,0,1,NCP,8.14,#99003d,0,0 (0.0%),nan,nan% (0/0),20,20.0% (1/5),0
7,251,37,18,40,26,6,86,148,42,61,12,7,2017,5880,2,0,0,0,2,0,0,0,0,0,0,NGRF,0,,0,0 (0.0%),nan,nan% (0/0),nan,nan% (0/0),0
7,251,37,18,40,26,6,86,148,42,61,12,7,2017,7369,1,0,1,1,0,1,0,0,0,0,0,SAJPCS,1.16,,0,0 (0.0%),nan,nan% (0/0),0,0.0% (0/1),0
7,251,37,18,40,26,6,86,148,42,61,12,7,2017,18691,3,0,0,0,3,0,0,0,0,0,0,SHS,0,#EA5A03,0,0 (0.0%),nan,nan% (0/0),nan,nan% (0/0),0
7,251,37,18,40,26,6,86,148,42,61,12,7,2017,8396,2,1,2,2,0,1,1,0,0,0,0,UGP,2.33,,2.7,1 (2.7%),0,0.0% (0/1),0,0.0% (0/2),0
6,215,36,20,40,24,7,76,124,44,47,18,10,2012,726,3,0,1,0,2,1,0,0,0,0,0,AIMF,0,,0,0 (0.0%),nan,nan% (0/0),0,0.0% (0/1),0
6,215,36,20,40,24,7,76,124,44,47,18,10,2012,18228,20,0,4,6,13,5,2,0,0,0,0,AITC,7.89,#4285F4,0,0 (0.0%),nan,nan% (0/0),0,0.0% (0/4),0
6,215,36,20,40,24,7,76,124,44,47,18,10,2012,1605,28,10,3,14,12,6,10,10,7,9,3,BJP,18.42,#ff9933,27.78,10 (27.78%),90,90.0% (9/10),100,100.0% (3/3),55.56
6,215,36,20,40,24,7,76,124,44,47,18,10,2012,2444,3,0,0,2,1,0,2,0,0,0,0,CPI,2.63,#ff3300,0,0 (0.0%),nan,nan% (0/0),nan,nan% (0/0),0
6,215,36,20,40,24,7,76,124,44,47,18,10,2012,14635,2,0,0,0,1,0,1,0,0,0,0,CPM,0,#991f00,0,0 (0.0%),nan,nan% (0/0),nan,nan% (0/0),0
