Assembly_No,Party_ID,TCPD_Prof_Main,MLAs_var_Party,Party_MLAs,Year,Party,pty_mla_var_perc
8,13,Business,1,2,2022,AAAP,50
8,13,Other,1,2,2022,AAAP,50
8,1605,Agriculture,1,20,2022,BJP,5
8,1605,Business,12,20,2022,BJP,60
8,1605,Liberal Profession or Professional,1,20,2022,BJP,5
8,1605,Other,3,20,2022,BJP,15
8,1605,Politics,1,20,2022,BJP,5
8,1605,Small Business or Self-employed,1,20,2022,BJP,5
8,1605,Social Work,1,20,2022,BJP,5
8,3096,Business,1,1,2022,GFP,100
8,3482,Agriculture,1,11,2022,INC,9.09
8,3482,Business,8,11,2022,INC,72.73
8,3482,Liberal Profession or Professional,1,11,2022,INC,9.09
8,3482,Other,1,11,2022,INC,9.09
8,10809,Business,1,3,2022,IND,33.33
8,10809,Other,2,3,2022,IND,66.67
8,5270,Business,2,2,2022,MAG,100
8,25039,Business,1,1,2022,RGP,100
7,1605,Business,5,13,2017,BJP,38.46
7,1605,Liberal Profession or Professional,1,13,2017,BJP,7.69
7,1605,Other,5,13,2017,BJP,38.46
7,1605,Small Business or Self-employed,2,13,2017,BJP,15.38
7,3096,Business,2,3,2017,GFP,66.67
7,3096,Other,1,3,2017,GFP,33.33
7,3482,Agriculture,1,17,2017,INC,5.88
7,3482,Business,11,17,2017,INC,64.71
7,3482,Other,3,17,2017,INC,17.65
7,3482,Salaried Work or Employed,2,17,2017,INC,11.76
7,10809,Other,1,3,2017,IND,33.33
7,10809,Small Business or Self-employed,1,3,2017,IND,33.33
7,10809,Unknown,1,3,2017,IND,33.33
7,5270,Business,2,3,2017,MAG,66.67
7,5270,Other,1,3,2017,MAG,33.33
7,5792,Business,1,1,2017,NCP,100
6,1605,Agriculture,2,21,2012,BJP,9.52
6,1605,Business,8,21,2012,BJP,38.1
6,1605,Liberal Profession or Professional,1,21,2012,BJP,4.76
6,1605,Other,7,21,2012,BJP,33.33
6,1605,Retired or Pension,1,21,2012,BJP,4.76
6,1605,Small Business or Self-employed,2,21,2012,BJP,9.52
6,3105,Business,1,2,2012,GVP,50
6,3105,Other,1,2,2012,GVP,50
6,3482,Agriculture,2,9,2012,INC,22.22
6,3482,Business,6,9,2012,INC,66.67
6,3482,Other,1,9,2012,INC,11.11
6,10809,Business,4,5,2012,IND,80
6,10809,Unknown,1,5,2012,IND,20
6,5270,Unknown,3,3,2012,MAG,100
5,1605,Other,14,14,2007,BJP,100
5,3482,Other,16,16,2007,INC,100
5,10809,Other,2,2,2007,IND,100
5,5270,Unknown,2,2,2007,MAG,100
5,5792,Other,3,3,2007,NCP,100
5,7733,Other,2,2,2007,SGF,100
5,8392,Other,1,1,2007,UGDP,100
