State_Name,Assembly_No,Year,month,Constituency_No,Constituency_Name,Turnout_Percentage,Vote_Share_Percentage,Constituency_Type,Electors,N_Cand,Position,Sex,Party,Votes,Elected,Margin_Percentage,Runner,Runner_Party,Runner_Sex,Nota_Percentage,Last_Party,Last_Elected,Vote_Share_Change_pct,Turnout_Change_pct,Margin_Change_pct,Party_Change
Goa_Daman_&_Diu,5,1984,12,1,PERNEM,68.51,40.2,SC,16878,7,1,Male,INC,4648,BANDEKAR SHAMBHU BHAVTI,0.14,PEDNEKAR MAHOHAR,MAG,M,nan,MAG,MANDREKAR DEU GUNAJI,-11.75,9.85,-26.5,INC
Goa_Daman_&_Diu,5,1984,12,2,MANDREM,77.29,51.21,General,16805,6,1,Male,MAG,6652,KHALAP RAMAKANT DATTARAM,15.28,PARAB GOPAL ATMARAM,INC,M,nan,MAG,KHALAP RAMAKANT DATTARAM,0.48,5.74,11.7,
Goa_Daman_&_Diu,5,1984,12,3,SIOLIM,72.43,40.48,General,20354,10,1,Male,MAG,5967,NAIK ASHOK TUKARAM,5.2,CHODANKAR CHANDRAKANT UTTAM,INC,M,nan,IND,CHODANKAR CHANDRAKANT UTTAM,-5.87,4.68,-8.74,MAG
Goa_Daman_&_Diu,5,1984,12,4,CALANGUTE,71.39,38.87,General,21605,5,1,Male,MAG,5995,MALIK SHRIKANT KESHAV,1.49,D' SOUZA WILFRED A.,IND,M,nan,INC(U),DE SOUZA WILFRED TITO FERMINO,-12.14,3.84,-8.93,MAG
Goa_Daman_&_Diu,5,1984,12,5,MAPUSA,70.84,33.16,General,19791,8,1,Male,MAG,4649,DIUCAR CHANDRESHKAR SIHIVRAM,2.8,DHURI ULHAS BHIKU,INC,M,nan,INC(U),NEVAGI SHAMSUNDER JAIRAM,-16.04,0.59,-5.21,MAG
Goa_Daman_&_Diu,5,1984,12,6,TIVIM,70.09,50.24,General,22313,7,1,Male,INC,7858,NARVEKAR DAYANAND GANESH,22.1,ALVARES GABRIEL FELIX,IND,M,nan,INC(U),NARVEKAR DAYANAND GANESH,-11.19,2.47,-6.34,INC
Goa_Daman_&_Diu,5,1984,12,7,BICHOLIM,73,57.25,General,20592,8,1,Male,INC,8607,PRABHU ZANTYE HARISH NARAYAN,25.44,NAIK VINAYAK VASUDEO,MAG,M,nan,IND,PRABHU ZANTYE HARISH NARAYAN,-1.03,-7.47,8.89,INC
Goa_Daman_&_Diu,5,1984,12,8,PALE,71.06,40.58,General,20451,10,1,Male,INC,5897,VERENKAR CHANDRAKANT VISHWANATH,11.79,PARAB DASHARATH KASHINATH,MAG,M,nan,MAG,NAIK VISHNU RAMA,-2.49,-4.24,5.18,INC
Goa_Daman_&_Diu,5,1984,12,9,SATARI,76.05,52.76,General,19361,8,1,Male,INC,7769,RANE SARDESAR PRATAPSING RAOJI,21.26,SADEKAR VASUDEO JANARDHAN,MAG,M,nan,INC(U),RANE PRATAPSING RAVAJI,8.05,3.59,3.72,INC
Goa_Daman_&_Diu,5,1984,12,10,PANAJI,64.2,45.85,General,16457,12,1,Male,INC,4844,GONSALVES JOAO BAPTISTA FLORINO,28.18,NAIK BABAN ANANT,MAG,M,nan,IND,NAIK VISHNU ANANT,9.29,-1.43,20.54,INC
