State_Name,Year,Assembly_No,Constituency_No,Constituency_Name,Constituency_Type,Candidate,Party,Votes,Position,Vote_Share_Percentage,Last_Position,Last_Candidate,Position_Change,Vote_Share_Change_pct
Goa_Daman_&_Diu,1984,5,1,PERNEM,SC,BANDEKAR SHAMBHU BHAVTI,INC,4648,1,40.2,,,,40.2
Goa_Daman_&_Diu,1984,5,1,PERNEM,SC,PEDNEKAR MAHOHAR,MAG,4632,2,40.06,1,MANDREKAR DEU GUNAJI,-1,-11.89
Goa_Daman_&_Diu,1984,5,1,PERNEM,SC,PANCHWADKER MUKUND GANESH,BJP,260,5,2.25,,,,2.25
Goa_Daman_&_Diu,1984,5,2,MANDREM,GEN,KHALAP RAMAKANT DATTARAM,MAG,6652,1,51.21,1,KHALAP RAMAKANT DATTARAM,0,0.48
Goa_Daman_&_Diu,1984,5,2,MANDREM,GEN,PARAB GOPAL ATMARAM,INC,4667,2,35.93,,,,35.93
Goa_Daman_&_Diu,1984,5,2,MANDREM,GEN,HARMALKAR NAMDEV SHANKAR,CPI,166,5,1.28,,,,1.28
Goa_Daman_&_Diu,1984,5,3,SIOLIM,GEN,NAIK ASHOK TUKARAM,MAG,5967,1,40.48,2,SALGAUKAR LADU BUTHI,1,8.08
Goa_Daman_&_Diu,1984,5,3,SIOLIM,GEN,CHODANKAR CHANDRAKANT UTTAM,INC,5201,2,35.28,,,,35.28
Goa_Daman_&_Diu,1984,5,4,CALANGUTE,GEN,MALIK SHRIKANT KESHAV,MAG,5995,1,38.87,2,D' SOUZA FRANCISCO AGUSTA,1,-1.72
Goa_Daman_&_Diu,1984,5,4,CALANGUTE,GEN,SHIRODKAR VENKATESH RAMACHANDRA,INC,3322,3,21.54,,,,21.54
Goa_Daman_&_Diu,1984,5,5,MAPUSA,GEN,DIUCAR CHANDRESHKAR SIHIVRAM,MAG,4649,1,33.16,2,SIRSAT SURENDRA VASANT,1,-8.03
Goa_Daman_&_Diu,1984,5,5,MAPUSA,GEN,DHURI ULHAS BHIKU,INC,4257,2,30.37,,,,30.37
Goa_Daman_&_Diu,1984,5,5,MAPUSA,GEN,CHANDRAKANT JAIRAM,BJP,589,5,4.2,,,,4.2
Goa_Daman_&_Diu,1984,5,6,TIVIM,GEN,NARVEKAR DAYANAND GANESH,INC,7858,1,50.24,,,,50.24
Goa_Daman_&_Diu,1984,5,6,TIVIM,GEN,POLE PANDARINATH VAMAN,MAG,2913,3,18.63,2,CHODANKAR MADAN VARNAN,-1,-14.36
Goa_Daman_&_Diu,1984,5,6,TIVIM,GEN,D'SOUZA JACINTO CAJETANO,BJP,157,4,1,,,,1
Goa_Daman_&_Diu,1984,5,7,BICHOLIM,GEN,PRABHU ZANTYE HARISH NARAYAN,INC,8607,1,57.25,,,,57.25
Goa_Daman_&_Diu,1984,5,7,BICHOLIM,GEN,NAIK VINAYAK VASUDEO,MAG,4782,2,31.81,2,KAKODKAR SHASHIKALA GURUDUTTA,0,-9.91
Goa_Daman_&_Diu,1984,5,7,BICHOLIM,GEN,GADEKAR KAMLAKANT KRISHNA,CPM,429,4,2.85,,,,2.85
Goa_Daman_&_Diu,1984,5,8,PALE,GEN,VERENKAR CHANDRAKANT VISHWANATH,INC,5897,1,40.58,,,,40.58
Goa_Daman_&_Diu,1984,5,8,PALE,GEN,PARAB DASHARATH KASHINATH,MAG,4184,2,28.79,1,NAIK VISHNU RAMA,-1,-14.28
Goa_Daman_&_Diu,1984,5,8,PALE,GEN,GAONKAR BABRUVAHAN NAGESH,CPI,608,4,4.18,,,,4.18
Goa_Daman_&_Diu,1984,5,9,SATARI,GEN,RANE SARDESAR PRATAPSING RAOJI,INC,7769,1,52.76,,,,52.76
Goa_Daman_&_Diu,1984,5,9,SATARI,GEN,SADEKAR VASUDEO JANARDHAN,MAG,4639,2,31.5,2,PRABHU TENDULKAR SADANAND SONU,0,4.32
Goa_Daman_&_Diu,1984,5,9,SATARI,GEN,GONSALVES VINCY,CPI,472,4,3.21,,,,3.21
Goa_Daman_&_Diu,1984,5,10,PANAJI,GEN,GONSALVES JOAO BAPTISTA FLORINO,INC,4844,1,45.85,,,,45.85
Goa_Daman_&_Diu,1984,5,10,PANAJI,GEN,NAIK BABAN ANANT,MAG,1867,2,17.67,2,NAIK BABAN ANANT,0,-11.25
Goa_Daman_&_Diu,1984,5,10,PANAJI,GEN,SARMALKAR JAYPRAKASH GAJANAN,BJP,254,7,2.4,,,,2.4
Goa_Daman_&_Diu,1984,5,11,SANTA CRUZ,GEN,MONTEIRO ANTONICIO ANTONIO AGNELO MARCOS,INC,2939,2,23.87,,,,23.87
Goa_Daman_&_Diu,1984,5,11,SANTA CRUZ,GEN,FERNANDES VICTOREIA ROMEO,JNP,674,4,5.48,4,DHOND MADHAV MANOHAR,0,1.37
Goa_Daman_&_Diu,1984,5,12,CHUM BARJUA,GEN,JHALMI KASHINATH GOVIND,MAG,3721,1,29.84,1,CHODANKAR VINAYAK DHARMA,0,-11.52
Goa_Daman_&_Diu,1984,5,12,CHUM BARJUA,GEN,MAHAMBRE PREMANAND PARSHURAM,INC,3267,2,26.2,,,,26.2
Goa_Daman_&_Diu,1984,5,12,CHUM BARJUA,GEN,AFONSO LUIS MANUEL,BJP,73,7,0.59,,,,0.59
Goa_Daman_&_Diu,1984,5,13,SANTO ANDRE,GEN,CONCOLINKAR SRIPAD LAXMIAN,INC,4478,1,39.55,,,,39.55
Goa_Daman_&_Diu,1984,5,13,SANTO ANDRE,GEN,SAWANT DASHRATH YESHWANT,MAG,1410,3,12.45,2,CUNCOLENKAR SRIPAD LAXMAN,-1,-23.79
Goa_Daman_&_Diu,1984,5,13,SANTO ANDRE,GEN,SANTIAGO DIAS,CPI,93,8,0.82,,,,0.82
Goa_Daman_&_Diu,1984,5,14,MARCAIM,GEN,GAUNKAR BABUSSO SANVLO,MAG,6448,1,47.57,1,GAUNKAR BABUSO SAULO,0,-7.19
Goa_Daman_&_Diu,1984,5,14,MARCAIM,GEN,NAIK SHAMA MAHANANDU,INC,4449,2,32.82,,,,32.82
Goa_Daman_&_Diu,1984,5,14,MARCAIM,GEN,PARAB KASHINATH BABLI,BJP,190,5,1.4,,,,1.4
Goa_Daman_&_Diu,1984,5,15,PONDA,GEN,NAIK RAVI SITARAM,MAG,7384,1,46.15,2,NAIK RAVI SITARAM,1,3.31
Goa_Daman_&_Diu,1984,5,15,PONDA,GEN,NAIK GAUNEKAR ANIL NORSU,INC,4762,2,29.76,,,,29.76
Goa_Daman_&_Diu,1984,5,15,PONDA,GEN,KORDE MADHAV SHIVRAM,BJP,282,5,1.76,,,,1.76
Goa_Daman_&_Diu,1984,5,16,SIRODA,GEN,SHIRODKER SUBHASH ANKUSH,INC,6722,1,48.5,,,,48.5
Goa_Daman_&_Diu,1984,5,16,SIRODA,GEN,NAIK GAJANAN TILU,MAG,2487,3,17.94,2,NAIK JAYKRISHNA PUTU,-1,-26.71
Goa_Daman_&_Diu,1984,5,16,SIRODA,GEN,SHET SHIRODKAR,BJP,328,6,2.37,,,,2.37
Goa_Daman_&_Diu,1984,5,17,SANGUEM,GEN,NAIK PANDU VASSU,INC,5553,1,39.09,,,,39.09
Goa_Daman_&_Diu,1984,5,17,SANGUEM,GEN,KARMALAKAR VINAYAK DHARMU,MAG,2508,3,17.65,2,KARMALKAR VINAYAK DHARMU,-1,-19.3
Goa_Daman_&_Diu,1984,5,17,SANGUEM,GEN,PAVASKAR MANGALDAS ANANT,CPI,215,7,1.51,,,,1.51
Goa_Daman_&_Diu,1984,5,17,SANGUEM,GEN,NAIK TARI MAGUESH KRISHNA,BJP,182,8,1.28,,,,1.28
