State_Name,Year,Assembly_No,Party,Total_Cand,Winners,Deposit_Lost,Avg_Winning_Margin,Strike_Rate,position
Goa_Daman_&_Diu,1984,5,INC,30,18,1,10.83,60.0,1
Goa_Daman_&_Diu,1984,5,IND,158,4,134,0.54,2.53,3
Goa_Daman_&_Diu,1984,5,MAG,26,8,7,2.61,30.77,2
Goa_Daman_&_Diu,1980,4,INC(U),22,20,1,21.69,90.91,1
Goa_Daman_&_Diu,1980,4,IND,79,3,71,0.48,3.8,3
Goa_Daman_&_Diu,1980,4,MAG,30,7,0,3.7,23.33,2
Goa_Daman_&_Diu,1977,3,INC,27,10,2,4.4,37.04,2
Goa_Daman_&_Diu,1977,3,IND,57,2,53,0.35,3.51,4
Goa_Daman_&_Diu,1977,3,JNP,30,3,12,1.02,10.0,3
Goa_Daman_&_Diu,1977,3,MAG,29,15,0,8.53,51.72,1
Goa_Daman_&_Diu,1972,2,INC,19,1,8,0.13,5.26,3
Goa_Daman_&_Diu,1972,2,IND,36,1,30,0.45,2.78,4
Goa_Daman_&_Diu,1972,2,MAG,23,18,0,20.82,78.26,1
Goa_Daman_&_Diu,1972,2,UGS,26,10,7,13.29,38.46,2
Goa_Daman_&_Diu,1967,1,IND,156,2,148,0.02,1.28,3
Goa_Daman_&_Diu,1967,1,MAG,26,16,2,21.58,61.54,1
Goa_Daman_&_Diu,1967,1,UGS,30,12,8,12.32,40.0,2
