Assembly_No,MyNeta_education,MLAs_var
14,10th Pass,36
14,12th Pass,30
14,5th Pass,4
14,8th Pass,16
14,Doctorate,6
14,Graduate,34
14,Graduate Professional,24
14,Literate,7
14,Others,6
14,Post Graduate,19
13,10th Pass,44
13,12th Pass,29
13,5th Pass,7
13,8th Pass,14
13,Doctorate,3
13,Graduate,34
13,Graduate Professional,23
13,Illiterate,1
13,Literate,7
13,Others,9
13,Post Graduate,9
13,Unknown,2
12,10th Pass,35
12,12th Pass,23
12,5th Pass,7
12,8th Pass,12
12,Graduate,28
12,Graduate Professional,27
12,Literate,6
12,Others,5
12,Post Graduate,17
12,Unknown,22
11,10th Pass,36
11,12th Pass,27
11,5th Pass,7
11,8th Pass,6
11,Doctorate,1
11,Graduate,40
11,Graduate Professional,10
11,Illiterate,1
11,Literate,17
11,Others,6
11,Post Graduate,23
11,Unknown,8
