State_Name,Year,Assembly_No,Party,Total_Seats_in_Assembly,Total_Votes_in_Assembly,Total_Votes_in_Contested_Seats,Total_Candidates,Winners,Deposits_Lost,Strike_Rate,Seat_Share,Vote_Share_in_Assembly,Vote_Share_in_Contested_Seats,position,Expanded_Party_Name
Gujarat,2022,14,AAAP,182,31827563,31688103,181,5,126,2.7624309392265194,2.75,12.92,12.98,3,
Gujarat,2022,14,AIMIM,182,31827563,2216324,13,0,12,0.0,0,0.29,4.21,6,
Gujarat,2022,14,Aadi Bharat Party,182,31827563,793975,4,0,4,0.0,0,0,0.19,7,
Gujarat,2022,14,Akhil Bharat Hindu Mahasabha,182,31827563,323169,2,0,2,0.0,0,0,0.39,8,
Gujarat,2022,14,All India Hindustan Congress Party,182,31827563,154306,1,0,1,0.0,0,0,0.08,9,
Gujarat,2022,14,Apni Janta Party,182,31827563,159361,1,0,1,0.0,0,0,0.1,10,
Gujarat,2022,14,BJP,182,31827563,31827563,182,156,0,85.71428571428571,85.71,52.5,52.5,1,BHARATIYA JANATA PARTY
Gujarat,2022,14,BSP,182,31827563,17878685,101,0,100,0.0,0,0.5,0.88,11,
Gujarat,2022,14,Bahujan RepublicanSocialist Party,182,31827563,726568,4,0,4,0.0,0,0.01,0.35,12,
Gujarat,2022,14,Bahujan Suraksha Dal,182,31827563,121724,1,0,1,0.0,0,0,0.07,13,
Gujarat,2022,14,Bharatiya Bahujan Congress,182,31827563,288291,2,0,2,0.0,0,0,0.32,14,
Gujarat,2022,14,Bharatiya Hitrakshak Party,182,31827563,169773,1,0,1,0.0,0,0,0.66,15,
Gujarat,2022,14,Bharatiya National Janta Dal,182,31827563,858596,5,0,5,0.0,0,0.01,0.37,16,
Gujarat,2022,14,Bharatiya Rashtravadi Paksha,182,31827563,162656,1,0,1,0.0,0,0,0.28,17,
Gujarat,2022,14,Bharatiya Republican Paksha,182,31827563,176048,1,0,1,0.0,0,0,0.19,18,
Gujarat,2022,14,Bharatiya Yuva Jan Ekta Party,182,31827563,227943,1,0,1,0.0,0,0,0.09,19,
Gujarat,2022,14,Bhartiya Jan Parishad,182,31827563,1967067,12,0,12,0.0,0,0.03,0.52,20,
Gujarat,2022,14,Bhartiya Nagrik Suraksha Party,182,31827563,157749,1,0,1,0.0,0,0,0.34,21,
Gujarat,2022,14,Bhartiya Tribal Party,182,31827563,4770642,26,0,26,0.0,0,0.13,0.87,22,
Gujarat,2022,14,CPI,182,31827563,506859,3,0,3,0.0,0,0.01,0.53,23,COMMUNIST PARTY OF INDIA
Gujarat,2022,14,Communist Party of India(Marxist),182,31827563,1613417,9,0,9,0.0,0,0.03,0.66,24,
Gujarat,2022,14,Communist Party of India(Marxist-Leninist)(Liberation),182,31827563,584430,3,0,3,0.0,0,0.01,0.53,25,
Gujarat,2022,14,Democratic Bharatiya Samaj Party,182,31827563,156606,1,0,1,0.0,0,0,0.19,26,
Gujarat,2022,14,Dhanwan Bharat Party,182,31827563,125366,1,0,1,0.0,0,0,0.11,27,
Gujarat,2022,14,Gana Suraksha Party,182,31827563,322785,1,0,1,0.0,0,0,0.17,28,
Gujarat,2022,14,Garvi Gujarat Party,182,31827563,4793695,27,0,27,0.0,0,0.08,0.52,29,
Gujarat,2022,14,Gujarat Nav Nirman Sena,182,31827563,2271153,13,0,13,0.0,0,0.04,0.56,30,
Gujarat,2022,14,Gujarat Sarva Samaj Party,182,31827563,471978,3,0,3,0.0,0,0.01,0.35,31,
Gujarat,2022,14,Gunj Satya Ni Janata Party,182,31827563,1378426,7,0,7,0.0,0,0.02,0.52,32,
Gujarat,2022,14,INC,182,31827563,31288634,179,17,41,9.497206703910615,9.34,27.28,27.75,2,INDIA NATIONAL CONGRESS
Gujarat,2022,14,IND,182,31827563,31827563,623,3,612,0.48154093097913325,1.65,3.69,3.69,4,
Gujarat,2022,14,Insaniyat Party,182,31827563,358325,2,0,2,0.0,0,0,0.37,33,
Gujarat,2022,14,Jan Man Party,182,31827563,394464,2,0,2,0.0,0,0,0.12,34,
Gujarat,2022,14,Jan Sangh Party,182,31827563,182243,1,0,1,0.0,0,0,0.35,35,
Gujarat,2022,14,Jan Sangharsh Virat Party,182,31827563,981672,6,0,6,0.0,0,0,0.1,36,
Gujarat,2022,14,Jan Sewa Driver Party,182,31827563,2966536,16,0,16,0.0,0,0.02,0.19,37,
