State_Name,Year,Assembly_No,Constituency_No,Constituency_Name,Constituency_Type,Candidate,Party,Votes,Position,Vote_Share_Percentage,Last_Position,Last_Candidate,Position_Change,Vote_Share_Change_pct
Gujarat,2022,14,1,ABDASA,GEN,JADEJA PRADHYUMANSINH MAHIPATSINH,BJP,80195,1,49.15,2,CHHABILBHAI NARANBHAI PATEL,1,6.85
Gujarat,2022,14,1,ABDASA,GEN,JAT MAMAD JUNG,INC,70764,2,43.37,1,JADEJA PRADHYUMANSINH MAHIPATSINH,-1,-5.42
Gujarat,2022,14,1,ABDASA,GEN,NOTA,None of the Above,2942,4,1.8,,,,1.8
Gujarat,2022,14,1,ABDASA,GEN,VASANTBHAI VALJI KHETANI,AAAP,1704,6,1.04,,,,1.04
Gujarat,2022,14,1,ABDASA,GEN,MEGHWAL NAGSHI KHAMUBHAI,BSP,1042,7,0.64,6,VAGHELA LAXMANBHAI KANJI,-1,-0.29
Gujarat,2022,14,1,ABDASA,GEN,K. D. JADEJA,Praja Vijay Paksh,304,10,0.19,,,,0.19
Gujarat,2022,14,1,ABDASA,GEN,JOSHI JAGDISHCHANDRA KAKULAL,SP,197,11,0.12,,,,0.12
Gujarat,2022,14,2,MANDVI,GEN,Aniruddha Bhailal Dave,BJP,90303,1,53.3,1,JADEJA VIRENDRASINH BAHADURSINH,0,3.65
Gujarat,2022,14,2,MANDVI,GEN,Rajendrasinh A. Jadeja,INC,42006,2,24.79,2,GOHIL SHAKTISINHJI HARICHANDRASINHJI,0,-19.21
Gujarat,2022,14,2,MANDVI,GEN,Kailasdan K. Gadhvi,AAAP,22791,3,13.45,,,,13.45
Gujarat,2022,14,2,MANDVI,GEN,Advocate Mahamadiqbal Manjaliya,AIMIM,8494,4,5.01,,,,5.01
Gujarat,2022,14,2,MANDVI,GEN,NOTA,None of the Above,2427,5,1.43,,,,1.43
Gujarat,2022,14,2,MANDVI,GEN,Kishorbhai Dheda,BSP,1846,6,1.09,5,KENEEYA BHANJIBHAI KHIMJIBHAI,-1,0.37
Gujarat,2022,14,2,MANDVI,GEN,Vachhiya Lakhmir Rabari,Praja Vijay Paksh,379,9,0.22,,,,0.22
Gujarat,2022,14,3,BHUJ,GEN,KESHUBHAI SHIVDAS PATEL,BJP,96582,1,53.59,1,ACHARYA DR.NIMABEN BHAVESHBHAI,0,2.86
Gujarat,2022,14,3,BHUJ,GEN,ARJAN BHUDIA,INC,36768,2,20.4,2,CHAKI ADAMBHAI BUDHABHAI,0,-22.11
Gujarat,2022,14,3,BHUJ,GEN,SAKIL MAHAMAD SAMA,AIMIM,31295,3,17.36,,,,17.36
Gujarat,2022,14,3,BHUJ,GEN,RAJESH KESARA PINDORIA,AAAP,8060,4,4.47,,,,4.47
Gujarat,2022,14,3,BHUJ,GEN,NOTA,None of the Above,3462,5,1.92,,,,1.92
Gujarat,2022,14,3,BHUJ,GEN,SAIYAD JUSABSHA MAMADSHA,BSP,1043,7,0.58,5,NODE KASAM MAHAMAD,-2,-0.09
Gujarat,2022,14,3,BHUJ,GEN,NODE KASAM MOHAMAD,Right to Recall Party,448,10,0.25,,,,0.25
Gujarat,2022,14,3,BHUJ,GEN,MEHULRAJ BHARATSINH RATHOD,Praja Vijay Paksh,439,11,0.24,,,,0.24
Gujarat,2022,14,4,ANJAR,GEN,CHHANGA TRIKAM BIJAL,BJP,99076,1,56.52,1,AHIR VASANBHAI GOPALBHAI,0,8.28
Gujarat,2022,14,4,ANJAR,GEN,DANGAR RAMESHBHAI SHAMJIBHAI,INC,61367,2,35.01,2,V. K. HUMBAL,0,-5.98
Gujarat,2022,14,4,ANJAR,GEN,ARJANBHAI CHANABHAI RABARI,AAAP,7335,3,4.18,,,,4.18
Gujarat,2022,14,4,ANJAR,GEN,NOTA,None of the Above,2485,4,1.42,,,,1.42
Gujarat,2022,14,4,ANJAR,GEN,CHAVDA SUDHA BAKUL,BSP,2359,5,1.35,7,KOCHARA JAGDISHBHAI KANJIBHAI,2,0.41
Gujarat,2022,14,4,ANJAR,GEN,ROSHANALI IBRAHIM SANDHANI,SDPI,957,7,0.55,,,,0.55
Gujarat,2022,14,4,ANJAR,GEN,KAKAL GANIBHAI ADAMBHAI,Gujarat Sarva Samaj Party,638,8,0.36,,,,0.36
Gujarat,2022,14,5,GANDHIDHAM,SC,MALTI KISHOR MAHESHWARI,BJP,83760,1,55.23,1,MAHESHWARI MALTI KISHOR,0,2.6
Gujarat,2022,14,5,GANDHIDHAM,SC,BHARATBHAI VELJIBHAI SOLANKI,INC,45929,2,30.28,2,KISHOR GANGJIBHAI PINGOL,0,-8.97
Gujarat,2022,14,5,GANDHIDHAM,SC,BUDHABHAI THAVAR MAHESHWARI,AAAP,14827,3,9.78,6,DANICHA GOVINDBHAI PUNAMCHAND,3,9.05
Gujarat,2022,14,5,GANDHIDHAM,SC,NOTA,None of the Above,3105,4,2.05,,,,2.05
Gujarat,2022,14,5,GANDHIDHAM,SC,MAURYA K. D.,BSP,1010,5,0.67,5,BHARYA JUMABHAI SAVALI,0,-0.14
Gujarat,2022,14,5,GANDHIDHAM,SC,LALJIBHAI KARABHAI BALIYA,SP,968,6,0.64,,,,0.64
Gujarat,2022,14,5,GANDHIDHAM,SC,ARVIND ASHOK SANGHELA,Gujarat Sarva Samaj Party,429,9,0.28,,,,0.28
Gujarat,2022,14,5,GANDHIDHAM,SC,MAHESHWARI VANITA DAHYALAL,Sanyukt Vikas Party,285,10,0.19,,,,0.19
Gujarat,2022,14,6,RAPAR,GEN,VIRENDRASINH BAHADURSINH JADEJA,BJP,66961,1,46.17,2,PANKAJBHAI ANOPCHAND MAHETA,1,8.81
Gujarat,2022,14,6,RAPAR,GEN,BHACHUBHAI DHARAMSHI AARETHIYA,INC,66384,2,45.77,1,AARETHIYA SANTOKBEN BHACHUBHAI,-1,-3.28
Gujarat,2022,14,6,RAPAR,GEN,NOTA,None of the Above,3942,3,2.72,,,,2.72
Gujarat,2022,14,6,RAPAR,GEN,AMBA PARAVANT PATEL,AAAP,2434,4,1.68,,,,1.68
Gujarat,2022,14,6,RAPAR,GEN,MANSUKH VAJERAM MAKVANA,Gujarat Sarva Samaj Party,589,8,0.41,,,,0.41
Gujarat,2022,14,7,VAV,GEN,THAKOR GENIBEN NAGAJI,INC,102513,1,45.26,1,THAKOR GENIBEN NAGAJI,0,-3.74
Gujarat,2022,14,7,VAV,GEN,THAKOR SWARUPJI SARDARJI,BJP,86912,2,38.37,2,CHAUDHARY SHANKARBHAI LAGDHIRBHAI,0,-7.45
Gujarat,2022,14,7,VAV,GEN,NOTA,None of the Above,3997,4,1.76,,,,1.76
Gujarat,2022,14,7,VAV,GEN,PARMAR NAYANABEN RANABHAI,BSP,1849,6,0.82,5,PARMAR VAJRAMBHAI NAVABHAI,-1,-0.32
Gujarat,2022,14,7,VAV,GEN,BHEMAJIBHAI PATEL,AAAP,1596,7,0.7,,,,0.7
