State_Name,Year,Assembly_No,Party,Total_Cand,Winners,Deposit_Lost,Avg_Winning_Margin,Strike_Rate,position
Gujarat,2022,14,AAAP,181,5,126,0.21,2.76,4
Gujarat,2022,14,BJP,182,156,0,21.71,85.71,1
Gujarat,2022,14,INC,179,17,41,0.5,9.5,2
Gujarat,2022,14,IND,623,3,612,0.05,0.48,5
Gujarat,2022,14,SP,17,1,16,1.21,5.88,3
Gujarat,2017,13,BJP,182,99,0,9.64,54.4,1
Gujarat,2017,13,BTP,6,2,4,6.5,33.33,3
Gujarat,2017,13,INC,177,77,1,3.65,43.5,2
Gujarat,2017,13,IND,794,3,784,0.02,0.38,5
Gujarat,2017,13,NCP,58,1,56,0.35,1.72,4
Gujarat,2012,12,BJP,182,115,0,11.02,63.19,1
Gujarat,2012,12,GPP,167,2,159,0.18,1.2,5
Gujarat,2012,12,INC,176,61,0,3.11,34.66,2
Gujarat,2012,12,IND,668,1,662,0.02,0.15,6
Gujarat,2012,12,JD(U),65,1,64,0.12,1.54,4
Gujarat,2012,12,NCP,12,2,7,1.41,16.67,3
Gujarat,2007,11,BJNKP,1,1,0,12.67,100.0,1
Gujarat,2007,11,BJP,182,116,4,9.47,63.74,2
Gujarat,2007,11,INC,173,59,1,4.25,34.1,3
Gujarat,2007,11,IND,480,2,468,0.04,0.42,6
Gujarat,2007,11,JD(U),35,1,33,0.2,2.86,5
Gujarat,2007,11,NCP,10,3,5,1.76,30.0,4
Gujarat,2002,10,BJP,182,127,1,11.59,69.78,1
Gujarat,2002,10,INC,180,51,0,2.61,28.33,2
Gujarat,2002,10,IND,344,2,330,0.07,0.58,4
Gujarat,2002,10,JD(U),29,2,27,0.66,6.9,3
Gujarat,1998,9,AIRJP,168,4,114,0.32,2.38,5
Gujarat,1998,9,BJP,182,117,3,11.29,64.29,1
Gujarat,1998,9,INC,179,53,13,4.23,29.61,2
Gujarat,1998,9,IND,415,3,396,0.07,0.72,6
Gujarat,1998,9,JD,91,4,83,0.61,4.4,3
Gujarat,1998,9,SP,33,1,32,0.74,3.03,4
Gujarat,1995,8,BJP,182,121,8,11.34,66.48,1
Gujarat,1995,8,INC,181,45,13,3.05,24.86,2
Gujarat,1995,8,IND,1617,16,1552,0.14,0.99,3
Gujarat,1990,7,BJP,143,67,40,8.81,46.85,2
Gujarat,1990,7,INC,181,33,26,2.01,18.23,3
Gujarat,1990,7,IND,980,11,940,0.15,1.12,5
Gujarat,1990,7,JD,147,70,22,10.43,47.62,1
Gujarat,1990,7,YVP,61,1,59,0.13,1.64,4
Gujarat,1985,6,BJP,124,11,63,1.24,8.87,3
Gujarat,1985,6,INC,182,149,0,26.04,81.87,1
Gujarat,1985,6,IND,515,8,489,0.13,1.55,4
Gujarat,1985,6,JNP,141,14,55,1.26,9.93,2
Gujarat,1980,5,BJP,127,9,66,0.95,7.09,3
Gujarat,1980,5,INC(I),182,141,0,20.4,77.47,1
Gujarat,1980,5,IND,436,10,405,0.26,2.29,5
Gujarat,1980,5,JNP(JP),152,21,36,1.2,13.82,2
Gujarat,1980,5,JNP(SC),16,1,14,0.49,6.25,4
Gujarat,1975,4,BJS,40,18,5,11.32,45.0,3
Gujarat,1975,4,BLD,11,2,4,4.68,18.18,5
Gujarat,1975,4,INC,181,75,4,7.19,41.44,4
Gujarat,1975,4,IND,365,15,334,0.47,4.11,8
Gujarat,1975,4,KLP,131,12,80,0.84,9.16,7
Gujarat,1975,4,NCO,101,56,9,10.01,55.45,2
Gujarat,1975,4,RMP,6,1,0,2.13,16.67,6
Gujarat,1975,4,SP,3,2,1,12.32,66.67,1
Gujarat,1972,3,BJS,100,3,69,0.15,3.0,4
Gujarat,1972,3,CPI,11,1,10,0.11,9.09,3
Gujarat,1972,3,INC,168,140,1,21.32,83.33,1
Gujarat,1972,3,IND,337,8,299,0.54,2.37,5
Gujarat,1972,3,NCO,138,16,29,1.52,11.59,2
Gujarat,1967,2,BJS,16,1,8,1.66,6.25,4
Gujarat,1967,2,INC,168,93,2,9.7,55.36,1
Gujarat,1967,2,IND,227,5,195,0.28,2.2,5
Gujarat,1967,2,PSP,37,3,23,1.27,8.11,3
Gujarat,1967,2,SWA,147,66,5,7.52,44.9,2
Gujarat,1962,1,INC,154,113,2,18.81,73.38,1
Gujarat,1962,1,IND,131,7,81,0.97,5.34,4
Gujarat,1962,1,NJP,20,1,11,0.94,5.0,5
Gujarat,1962,1,PSP,53,7,25,1.87,13.21,3
Gujarat,1962,1,SWA,105,26,20,4.8,24.76,2
