State_Name,Year,Assembly_No,Party,Sub_Region,Total_Cand,Winners,Deposit_Lost,Avg_Winning_Margin,Strike_Rate,position
Gujarat,2022,14,AAAP,Central Gujarat,40,0,29,0,0.0,14
Gujarat,2022,14,AAAP,North Gujarat,53,0,48,0,0.0,15
Gujarat,2022,14,AAAP,Saurashtra-Kutch,54,4,30,0.31,7.41,8
Gujarat,2022,14,AAAP,South Gujarat,34,1,19,0.64,2.94,10
Gujarat,2022,14,AIMIM,Central Gujarat,1,0,1,0,0.0,16
Gujarat,2022,14,AIMIM,North Gujarat,6,0,6,0,0.0,17
Gujarat,2022,14,AIMIM,Saurashtra-Kutch,4,0,3,0,0.0,18
Gujarat,2022,14,AIMIM,South Gujarat,2,0,2,0,0.0,19
Gujarat,2022,14,Aadi Bharat Party,North Gujarat,3,0,3,0,0.0,20
Gujarat,2022,14,Aadi Bharat Party,Saurashtra-Kutch,1,0,1,0,0.0,21
Gujarat,2022,14,Akhil Bharat Hindu Mahasabha,Central Gujarat,2,0,2,0,0.0,22
Gujarat,2022,14,All India Hindustan Congress Party,North Gujarat,1,0,1,0,0.0,23
Gujarat,2022,14,Apni Janta Party,North Gujarat,1,0,1,0,0.0,24
Gujarat,2022,14,BJP,Central Gujarat,40,36,0,21.59,90.0,2
Gujarat,2022,14,BJP,North Gujarat,53,41,0,20.38,77.36,4
Gujarat,2022,14,BJP,Saurashtra-Kutch,54,46,0,17.8,85.19,3
Gujarat,2022,14,BJP,South Gujarat,35,33,0,29.9,94.29,1
Gujarat,2022,14,BSP,Central Gujarat,20,0,20,0,0.0,25
Gujarat,2022,14,BSP,North Gujarat,24,0,24,0,0.0,26
Gujarat,2022,14,BSP,Saurashtra-Kutch,37,0,36,0,0.0,27
Gujarat,2022,14,BSP,South Gujarat,20,0,20,0,0.0,28
Gujarat,2022,14,Bahujan RepublicanSocialist Party,North Gujarat,1,0,1,0,0.0,29
Gujarat,2022,14,Bahujan RepublicanSocialist Party,Saurashtra-Kutch,1,0,1,0,0.0,30
Gujarat,2022,14,Bahujan RepublicanSocialist Party,South Gujarat,2,0,2,0,0.0,31
Gujarat,2022,14,Bahujan Suraksha Dal,North Gujarat,1,0,1,0,0.0,32
Gujarat,2022,14,Bharatiya Bahujan Congress,South Gujarat,2,0,2,0,0.0,33
Gujarat,2022,14,Bharatiya Hitrakshak Party,Saurashtra-Kutch,1,0,1,0,0.0,34
Gujarat,2022,14,Bharatiya National Janta Dal,Central Gujarat,2,0,2,0,0.0,35
Gujarat,2022,14,Bharatiya National Janta Dal,North Gujarat,2,0,2,0,0.0,36
Gujarat,2022,14,Bharatiya National Janta Dal,Saurashtra-Kutch,1,0,1,0,0.0,37
Gujarat,2022,14,Bharatiya Rashtravadi Paksha,North Gujarat,1,0,1,0,0.0,38
Gujarat,2022,14,Bharatiya Republican Paksha,South Gujarat,1,0,1,0,0.0,39
Gujarat,2022,14,Bharatiya Yuva Jan Ekta Party,North Gujarat,1,0,1,0,0.0,40
Gujarat,2022,14,Bhartiya Jan Parishad,Central Gujarat,4,0,4,0,0.0,41
Gujarat,2022,14,Bhartiya Jan Parishad,North Gujarat,7,0,7,0,0.0,42
Gujarat,2022,14,Bhartiya Jan Parishad,Saurashtra-Kutch,1,0,1,0,0.0,43
Gujarat,2022,14,Bhartiya Nagrik Suraksha Party,North Gujarat,1,0,1,0,0.0,44
Gujarat,2022,14,Bhartiya Tribal Party,Central Gujarat,9,0,9,0,0.0,45
Gujarat,2022,14,Bhartiya Tribal Party,North Gujarat,3,0,3,0,0.0,46
Gujarat,2022,14,Bhartiya Tribal Party,Saurashtra-Kutch,1,0,1,0,0.0,47
Gujarat,2022,14,Bhartiya Tribal Party,South Gujarat,13,0,13,0,0.0,48
Gujarat,2022,14,CPI,North Gujarat,1,0,1,0,0.0,49
Gujarat,2022,14,CPI,Saurashtra-Kutch,2,0,2,0,0.0,50
Gujarat,2022,14,Communist Party of India(Marxist),Central Gujarat,2,0,2,0,0.0,51
Gujarat,2022,14,Communist Party of India(Marxist),North Gujarat,2,0,2,0,0.0,52
